39,  State-gov,  Bachelors,  Never-married,  Adm-clerical,  White,  Male,  United-States, 92579
44,  Private,  Masters,  Divorced,  Exec-managerial,  White,  Female,  United-States, 161272
41,  State-gov,  Assoc-voc,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 145596
29,  Private,  Assoc-voc,  Never-married,  Prof-specialty,  White,  Male,  United-States, 102231
25,  Private,  Some-college,  Married-civ-spouse,  Exec-managerial,  Other,  Female,  United-States, 59996
18,  Private,  HS-grad,  Never-married,  Other-service,  White,  Female,  ?, 45367
47,  Private,  Prof-school,  Married-civ-spouse,  Prof-specialty,  White,  Female,  Honduras, 53192
50,  Federal-gov,  Bachelors,  Divorced,  Exec-managerial,  White,  Male,  United-States, 48179
47,  Self-emp-inc,  HS-grad,  Divorced,  Exec-managerial,  White,  Male,  United-States, 141955
43,  Private,  Some-college,  Married-civ-spouse,  Tech-support,  White,  Male,  United-States, 91160
46,  Private,  5th-6th,  Married-civ-spouse,  Machine-op-inspct,  White,  Male,  Mexico, 83359
35,  Private,  Assoc-voc,  Married-civ-spouse,  Other-service,  White,  Male,  Puerto-Rico, 99888
41,  Private,  HS-grad,  Married-civ-spouse,  Adm-clerical,  White,  Male,  United-States, 171422
30,  Private,  HS-grad,  Married-civ-spouse,  Machine-op-inspct,  White,  Male,  United-States, 118930
30,  Private,  Bachelors,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 30418
32,  ?,  7th-8th,  Married-spouse-absent,  ?,  White,  Male,  ?, 53424
48,  Private,  HS-grad,  Married-civ-spouse,  Transport-moving,  White,  Male,  United-States, 74750
42,  Private,  Doctorate,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 32425
29,  Private,  Some-college,  Divorced,  Tech-support,  White,  Male,  United-States, 170022
36,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 53695
28,  Private,  Some-college,  Divorced,  Adm-clerical,  White,  Female,  United-States, 144954
53,  Private,  HS-grad,  Married-civ-spouse,  Adm-clerical,  White,  Female,  United-States, 59058
49,  Self-emp-inc,  Some-college,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 77621
25,  ?,  Some-college,  Never-married,  ?,  White,  Male,  United-States, 64728
19,  Private,  Some-college,  Never-married,  Prof-specialty,  White,  Male,  United-States, 170927
31,  Private,  Bachelors,  Separated,  Sales,  Black,  Female,  United-States, 138041
29,  Self-emp-not-inc,  Bachelors,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 13553
23,  Private,  Some-college,  Never-married,  Machine-op-inspct,  White,  Male,  United-States, 178980
79,  Private,  Some-college,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 181783
27,  Private,  HS-grad,  Never-married,  Other-service,  White,  Male,  Mexico, 84202
40,  Private,  Assoc-acdm,  Married-civ-spouse,  Adm-clerical,  White,  Male,  United-States, 86629
67,  ?,  10th,  Married-civ-spouse,  ?,  White,  Male,  United-States, 22435
18,  Private,  11th,  Never-married,  Other-service,  White,  Female,  United-States, 74075
31,  Local-gov,  7th-8th,  Married-civ-spouse,  Farming-fishing,  White,  Male,  United-States, 148231
18,  Private,  HS-grad,  Never-married,  Sales,  White,  Male,  United-States, 199426
52,  Private,  Bachelors,  Married-civ-spouse,  Other-service,  White,  Male,  Cuba, 153518
46,  Private,  HS-grad,  Married-civ-spouse,  Other-service,  White,  Female,  United-States, 99421
59,  Private,  HS-grad,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 47324
44,  Private,  HS-grad,  Divorced,  Craft-repair,  White,  Female,  United-States, 34149
53,  Private,  HS-grad,  Divorced,  Sales,  White,  Female,  United-States, 124960
49,  Local-gov,  HS-grad,  Married-civ-spouse,  Protective-serv,  White,  Male,  United-States, 70397
33,  Private,  Masters,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 148059
30,  Private,  9th,  Never-married,  Sales,  White,  Male,  United-States, 59555
43,  Federal-gov,  Doctorate,  Never-married,  Prof-specialty,  White,  Female,  United-States, 145433
57,  Private,  Assoc-voc,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 37675
37,  Private,  Some-college,  Divorced,  Craft-repair,  White,  Female,  United-States, 19358
28,  Private,  Some-college,  Divorced,  Machine-op-inspct,  Black,  Female,  United-States, 88143
30,  Private,  HS-grad,  Married-civ-spouse,  Sales,  Asian-Pac-Islander,  Female,  ?, 195388
34,  Local-gov,  Bachelors,  Married-civ-spouse,  Protective-serv,  White,  Male,  United-States, 149116
29,  Local-gov,  Some-college,  Never-married,  Handlers-cleaners,  White,  Male,  United-States, 58239
48,  Self-emp-not-inc,  Doctorate,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 52919
37,  Private,  Some-college,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 53501
48,  Private,  Assoc-acdm,  Divorced,  Exec-managerial,  White,  Female,  England, 140370
32,  Federal-gov,  HS-grad,  Never-married,  Other-service,  Black,  Male,  United-States, 69676
76,  Private,  Masters,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 52854
44,  Private,  Bachelors,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 19911
47,  Self-emp-not-inc,  Masters,  Never-married,  Prof-specialty,  White,  Female,  United-States, 182347
20,  Private,  Some-college,  Never-married,  Tech-support,  White,  Female,  United-States, 91221
29,  Private,  HS-grad,  Never-married,  Craft-repair,  White,  Male,  United-States, 38230
32,  Self-emp-inc,  HS-grad,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 158724
17,  ?,  10th,  Never-married,  ?,  White,  Female,  United-States, 18021
30,  Private,  11th,  Never-married,  Handlers-cleaners,  White,  Male,  United-States, 61149
31,  Local-gov,  HS-grad,  Never-married,  Adm-clerical,  White,  Female,  United-States, 163390
42,  Private,  HS-grad,  Married-civ-spouse,  Handlers-cleaners,  White,  Male,  United-States, 158855
24,  Private,  Bachelors,  Never-married,  Sales,  White,  Male,  United-States, 32046
38,  Private,  Prof-school,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 28160
56,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Other-service,  White,  Male,  Canada, 80635
28,  Private,  Some-college,  Married-civ-spouse,  Sales,  White,  Female,  United-States, 197336
36,  Private,  HS-grad,  Never-married,  Machine-op-inspct,  White,  Female,  United-States, 183516
53,  Private,  9th,  Married-civ-spouse,  Handlers-cleaners,  White,  Male,  United-States, 107954
56,  Self-emp-inc,  Some-college,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 190258
49,  Local-gov,  Assoc-voc,  Married-civ-spouse,  Craft-repair,  Black,  Male,  United-States, 69551
55,  Private,  Some-college,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 131442
22,  Private,  HS-grad,  Never-married,  Craft-repair,  White,  Male,  United-States, 67300
21,  Private,  Some-college,  Never-married,  Other-service,  White,  Female,  United-States, 130843
40,  Private,  Bachelors,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 111587
30,  Private,  Bachelors,  Never-married,  Exec-managerial,  Black,  Male,  Germany, 155965
29,  State-gov,  Bachelors,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 139493
19,  Private,  Some-college,  Never-married,  Other-service,  Black,  Male,  United-States, 136140
47,  Private,  Bachelors,  Married-civ-spouse,  Exec-managerial,  White,  Female,  United-States, 199983
20,  Private,  Some-college,  Never-married,  Adm-clerical,  White,  Female,  United-States, 82512
31,  Private,  Assoc-acdm,  Married-civ-spouse,  Adm-clerical,  White,  Male,  United-States, 122381
35,  ?,  HS-grad,  Married-civ-spouse,  ?,  White,  Male,  United-States, 19770
39,  Private,  Some-college,  Divorced,  Craft-repair,  White,  Male,  United-States, 42530
28,  Private,  Assoc-acdm,  Never-married,  Sales,  White,  Female,  United-States, 104291
24,  Private,  HS-grad,  Never-married,  Other-service,  White,  Female,  United-States, 22524
38,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 161824
37,  Private,  Bachelors,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 43779
46,  Private,  Assoc-acdm,  Divorced,  Tech-support,  Black,  Female,  United-States, 92171
38,  Federal-gov,  Masters,  Married-civ-spouse,  Prof-specialty,  White,  Male,  Iran, 150891
43,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 84582
27,  Private,  Assoc-voc,  Married-civ-spouse,  Adm-clerical,  White,  Female,  United-States, 52991
20,  Private,  Some-college,  Never-married,  Sales,  White,  Male,  United-States, 31324
49,  Private,  Some-college,  Married-civ-spouse,  Craft-repair,  Asian-Pac-Islander,  Male,  United-States, 93157
61,  Self-emp-inc,  HS-grad,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 64793
27,  Private,  Some-college,  Never-married,  Sales,  White,  Female,  United-States, 35152
19,  Private,  Some-college,  Never-married,  Other-service,  White,  Male,  Mexico, 145966
45,  Private,  Assoc-voc,  Never-married,  Prof-specialty,  White,  Female,  United-States, 176754
70,  Private,  Some-college,  Never-married,  Tech-support,  White,  Male,  United-States, 50068
31,  Private,  HS-grad,  Never-married,  Transport-moving,  Black,  Female,  United-States, 127829
22,  Private,  Some-college,  Married-civ-spouse,  Other-service,  White,  Male,  United-States, 32439
36,  Private,  HS-grad,  Widowed,  Other-service,  White,  Female,  United-States, 112089
64,  Private,  11th,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 64734
43,  ?,  Some-college,  Divorced,  ?,  White,  Female,  United-States, 89264
47,  Local-gov,  Some-college,  Divorced,  Adm-clerical,  White,  Female,  Mexico, 199118
34,  Private,  HS-grad,  Never-married,  Adm-clerical,  White,  Female,  United-States, 188821
33,  Private,  Bachelors,  Never-married,  Exec-managerial,  Asian-Pac-Islander,  Female,  Philippines, 46745
21,  Private,  HS-grad,  Never-married,  Craft-repair,  White,  Male,  United-States, 159887
52,  ?,  HS-grad,  Divorced,  ?,  White,  Male,  United-States, 68510
48,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 168361
23,  Private,  Bachelors,  Never-married,  Handlers-cleaners,  White,  Male,  United-States, 89393
71,  Self-emp-not-inc,  Some-college,  Separated,  Sales,  Black,  Male,  United-States, 199549
29,  Private,  HS-grad,  Divorced,  Craft-repair,  White,  Male,  United-States, 14813
42,  Private,  Bachelors,  Separated,  Other-service,  Black,  Male,  United-States, 83010
68,  ?,  1st-4th,  Divorced,  ?,  White,  Female,  United-States, 130657
25,  Private,  HS-grad,  Never-married,  Other-service,  White,  Female,  United-States, 87276
44,  Self-emp-inc,  Masters,  Divorced,  Exec-managerial,  Asian-Pac-Islander,  Female,  United-States, 38938
28,  Private,  HS-grad,  Never-married,  Exec-managerial,  Asian-Pac-Islander,  Female,  England, 62126
45,  Self-emp-not-inc,  Masters,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 52056
36,  Private,  Some-college,  Divorced,  Other-service,  White,  Female,  Mexico, 112653
39,  Federal-gov,  Assoc-acdm,  Never-married,  Exec-managerial,  White,  Male,  United-States, 166189
46,  State-gov,  Masters,  Widowed,  Protective-serv,  White,  Male,  United-States, 177822
18,  Private,  11th,  Never-married,  Handlers-cleaners,  White,  Male,  United-States, 116912
66,  Local-gov,  Assoc-voc,  Widowed,  Prof-specialty,  White,  Female,  United-States, 133003
27,  Private,  HS-grad,  Never-married,  Other-service,  White,  Male,  United-States, 128701
28,  State-gov,  HS-grad,  Married-civ-spouse,  Protective-serv,  White,  Male,  United-States, 35114
51,  Private,  Some-college,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 172769
27,  Private,  Bachelors,  Never-married,  Craft-repair,  White,  Male,  United-States, 19181
28,  State-gov,  Bachelors,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 110135
27,  Private,  HS-grad,  Married-spouse-absent,  Sales,  White,  Female,  United-States, 172589
21,  Private,  HS-grad,  Never-married,  Craft-repair,  Black,  Male,  United-States, 189885
34,  Private,  HS-grad,  Never-married,  Handlers-cleaners,  Black,  Male,  United-States, 38927
18,  Private,  HS-grad,  Never-married,  Other-service,  White,  Male,  United-States, 96707
33,  Private,  Bachelors,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 80363
44,  Local-gov,  Some-college,  Married-civ-spouse,  Exec-managerial,  Black,  Male,  United-States, 15718
43,  Private,  Some-college,  Divorced,  Adm-clerical,  White,  Female,  United-States, 48692
30,  Private,  Some-college,  Never-married,  Craft-repair,  Black,  Male,  United-States, 94647
40,  Private,  7th-8th,  Married-civ-spouse,  Machine-op-inspct,  White,  Male,  Mexico, 126183
37,  Federal-gov,  Some-college,  Married-civ-spouse,  Adm-clerical,  White,  Male,  United-States, 21088
34,  Private,  HS-grad,  Married-civ-spouse,  Adm-clerical,  Black,  Male,  United-States, 158588
41,  Self-emp-not-inc,  Bachelors,  Divorced,  Exec-managerial,  White,  Female,  United-States, 146161
53,  ?,  Bachelors,  Divorced,  ?,  White,  Female,  United-States, 155648
31,  Private,  Masters,  Married-civ-spouse,  Prof-specialty,  White,  Female,  United-States, 163111
58,  State-gov,  Doctorate,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 21281
38,  Private,  Some-college,  Divorced,  Machine-op-inspct,  Black,  Female,  United-States, 174653
24,  Private,  Some-college,  Married-civ-spouse,  Machine-op-inspct,  White,  Male,  United-States, 172600
41,  Local-gov,  Bachelors,  Married-civ-spouse,  Craft-repair,  Black,  Male,  United-States, 114407
47,  Private,  Some-college,  Married-civ-spouse,  Tech-support,  White,  Male,  United-States, 102898
41,  Federal-gov,  Bachelors,  Married-civ-spouse,  Tech-support,  White,  Male,  United-States, 173037
23,  Private,  5th-6th,  Married-civ-spouse,  Transport-moving,  White,  Male,  Mexico, 188499
36,  Private,  Some-college,  Divorced,  Craft-repair,  White,  Male,  United-States, 186873
40,  Federal-gov,  Masters,  Never-married,  Exec-managerial,  White,  Female,  United-States, 144710
35,  Private,  Masters,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 140022
24,  Self-emp-not-inc,  HS-grad,  Never-married,  Sales,  White,  Male,  United-States, 32749
26,  Private,  Masters,  Never-married,  Prof-specialty,  White,  Female,  United-States, 136309
19,  ?,  HS-grad,  Never-married,  ?,  White,  Male,  Italy, 127190
51,  Private,  Bachelors,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 48963
42,  Local-gov,  Some-college,  Never-married,  Prof-specialty,  White,  Female,  United-States, 48496
37,  State-gov,  HS-grad,  Divorced,  Adm-clerical,  White,  Female,  United-States, 131074
18,  Private,  11th,  Never-married,  Sales,  White,  Female,  United-States, 107838
36,  Private,  Bachelors,  Married-civ-spouse,  Other-service,  Black,  Male,  United-States, 137098
35,  Private,  HS-grad,  Divorced,  Craft-repair,  White,  Male,  United-States, 22828
58,  Self-emp-inc,  HS-grad,  Married-civ-spouse,  Sales,  White,  Female,  United-States, 40164
17,  Private,  11th,  Never-married,  Sales,  White,  Female,  United-States, 190977
44,  Local-gov,  HS-grad,  Married-civ-spouse,  Transport-moving,  Black,  Male,  United-States, 193308
37,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 33236
35,  Private,  Some-college,  Never-married,  Sales,  Amer-Indian-Eskimo,  Female,  United-States, 50719
60,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  Asian-Pac-Islander,  Male,  United-States, 20473
54,  Self-emp-inc,  7th-8th,  Married-civ-spouse,  Machine-op-inspct,  White,  Male,  United-States, 75730
37,  Private,  Bachelors,  Never-married,  Exec-managerial,  Black,  Male,  United-States, 167256
50,  Private,  Assoc-acdm,  Divorced,  Sales,  White,  Female,  United-States, 56199
38,  Private,  Bachelors,  Married-civ-spouse,  Sales,  White,  Male,  Poland, 75275
45,  Private,  Bachelors,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 132010
25,  Private,  10th,  Never-married,  Craft-repair,  White,  Male,  United-States, 138659
31,  Private,  Some-college,  Married-civ-spouse,  Handlers-cleaners,  White,  Male,  United-States, 11466
64,  ?,  1st-4th,  Divorced,  ?,  White,  Male,  United-States, 186076
90,  Private,  HS-grad,  Never-married,  Other-service,  Black,  Male,  United-States, 89799
54,  Private,  HS-grad,  Married-civ-spouse,  Adm-clerical,  Black,  Male,  United-States, 19371
53,  Local-gov,  Preschool,  Never-married,  Machine-op-inspct,  White,  Female,  United-States, 15019
18,  Private,  HS-grad,  Never-married,  Sales,  White,  Female,  United-States, 166492
60,  ?,  10th,  Divorced,  ?,  Amer-Indian-Eskimo,  Female,  United-States, 58841
66,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Farming-fishing,  White,  Male,  United-States, 92753
75,  Private,  Assoc-voc,  Widowed,  Adm-clerical,  White,  Female,  Columbia, 68226
65,  Private,  HS-grad,  Divorced,  Adm-clerical,  White,  Female,  United-States, 164002
35,  Private,  11th,  Separated,  Transport-moving,  Black,  Male,  United-States, 35452
41,  Private,  HS-grad,  Divorced,  Sales,  Black,  Female,  United-States, 81647
25,  Private,  Some-college,  Never-married,  Adm-clerical,  White,  Male,  United-States, 63377
33,  Private,  Some-college,  Divorced,  Craft-repair,  Other,  Female,  United-States, 142006
28,  Private,  Prof-school,  Never-married,  Prof-specialty,  White,  Male,  United-States, 46454
59,  State-gov,  HS-grad,  Married-civ-spouse,  Other-service,  White,  Male,  United-States, 70346
40,  State-gov,  Some-college,  Never-married,  Adm-clerical,  White,  Female,  United-States, 177144
41,  Private,  Bachelors,  Married-civ-spouse,  Exec-managerial,  White,  Male,  Iran, 47690
38,  Local-gov,  Masters,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 79018
23,  Private,  HS-grad,  Never-married,  Transport-moving,  White,  Male,  United-States, 119313
40,  Private,  Bachelors,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 111525
41,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Other-service,  White,  Female,  United-States, 14404
24,  State-gov,  Assoc-acdm,  Married-civ-spouse,  Protective-serv,  White,  Male,  United-States, 141393
20,  ?,  Some-college,  Never-married,  ?,  White,  Male,  United-States, 148953
38,  Private,  Some-college,  Divorced,  Craft-repair,  White,  Male,  United-States, 177474
56,  Private,  HS-grad,  Married-civ-spouse,  Adm-clerical,  White,  Male,  ?, 189003
58,  Private,  HS-grad,  Married-civ-spouse,  Adm-clerical,  White,  Male,  United-States, 67313
32,  Private,  HS-grad,  Never-married,  Other-service,  White,  Female,  United-States, 132597
40,  Private,  Assoc-acdm,  Married-civ-spouse,  Tech-support,  White,  Male,  United-States, 176704
45,  Private,  HS-grad,  Married-civ-spouse,  Adm-clerical,  White,  Male,  ?, 13493
41,  Private,  Prof-school,  Married-civ-spouse,  Prof-specialty,  White,  Female,  United-States, 123567
42,  Private,  Bachelors,  Married-civ-spouse,  Adm-clerical,  Black,  Female,  United-States, 103324
59,  Local-gov,  10th,  Widowed,  Other-service,  Black,  Female,  United-States, 196534
19,  Local-gov,  Some-college,  Never-married,  Adm-clerical,  White,  Male,  United-States, 98418
58,  Private,  Some-college,  Never-married,  Transport-moving,  White,  Male,  United-States, 152571
42,  Self-emp-not-inc,  HS-grad,  Married-civ-spouse,  Farming-fishing,  Asian-Pac-Islander,  Male,  Cambodia, 19542
20,  Private,  HS-grad,  Never-married,  Other-service,  White,  Female,  United-States, 183807
32,  Private,  HS-grad,  Separated,  Other-service,  White,  Female,  United-States, 89433
45,  Private,  Assoc-voc,  Widowed,  Exec-managerial,  White,  Female,  United-States, 51401
50,  Private,  7th-8th,  Divorced,  Craft-repair,  White,  Male,  United-States, 106264
36,  Private,  Bachelors,  Divorced,  Prof-specialty,  White,  Female,  United-States, 184488
45,  Private,  HS-grad,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 92847
17,  Private,  11th,  Never-married,  Other-service,  White,  Male,  United-States, 25661
59,  Private,  Some-college,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 73212
26,  Private,  11th,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 112021
37,  Self-emp-inc,  Some-college,  Married-civ-spouse,  Exec-managerial,  Asian-Pac-Islander,  Male,  Thailand, 172167
19,  ?,  Some-college,  Never-married,  ?,  White,  Male,  Canada, 61776
64,  Private,  HS-grad,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 96216
33,  Private,  Bachelors,  Never-married,  Prof-specialty,  White,  Female,  United-States, 114120
33,  Private,  HS-grad,  Married-civ-spouse,  Craft-repair,  White,  Female,  United-States, 53129
61,  Private,  HS-grad,  Married-civ-spouse,  Exec-managerial,  White,  Male,  United-States, 85907
17,  Private,  9th,  Never-married,  Other-service,  White,  Male,  United-States, 190163
50,  Self-emp-not-inc,  Masters,  Married-civ-spouse,  Farming-fishing,  White,  Male,  United-States, 79863
27,  Local-gov,  Masters,  Never-married,  Prof-specialty,  White,  Male,  United-States, 126069
30,  Private,  HS-grad,  Divorced,  Prof-specialty,  White,  Female,  United-States, 94804
43,  Private,  HS-grad,  Married-civ-spouse,  Handlers-cleaners,  Black,  Male,  United-States, 154490
44,  Private,  Some-college,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 88047
35,  Private,  Some-college,  Never-married,  Exec-managerial,  White,  Female,  United-States, 54876
25,  Private,  Some-college,  Never-married,  Tech-support,  White,  Female,  United-States, 196953
24,  Private,  Some-college,  Married-civ-spouse,  Machine-op-inspct,  White,  Female,  United-States, 180226
22,  Private,  Bachelors,  Never-married,  Prof-specialty,  White,  Female,  Germany, 70169
42,  Local-gov,  Some-college,  Married-civ-spouse,  Craft-repair,  White,  Male,  United-States, 114438
34,  Private,  Assoc-acdm,  Divorced,  Sales,  Black,  Female,  United-States, 60634
60,  Private,  Bachelors,  Divorced,  Prof-specialty,  White,  Female,  United-States, 159323
21,  Private,  HS-grad,  Never-married,  Handlers-cleaners,  White,  Male,  United-States, 188941
57,  Federal-gov,  Masters,  Married-civ-spouse,  Sales,  White,  Male,  United-States, 53733
41,  Private,  Prof-school,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 25733
50,  Private,  Some-college,  Divorced,  Other-service,  White,  Male,  United-States, 11175
25,  Private,  Bachelors,  Never-married,  Exec-managerial,  White,  Female,  United-States, 154351
50,  Private,  7th-8th,  Married-civ-spouse,  Craft-repair,  White,  Male,  Ecuador, 137316
36,  Private,  Bachelors,  Married-civ-spouse,  Prof-specialty,  White,  Male,  United-States, 110377
31,  Private,  HS-grad,  Divorced,  Prof-specialty,  White,  Female,  United-States, 57598
29,  Local-gov,  Bachelors,  Never-married,  Protective-serv,  White,  Male,  United-States, 194489
21,  Private,  Some-college,  Never-married,  Sales,  White,  Male,  United-States, 103759
27,  Private,  Bachelors,  Never-married,  Tech-support,  Black,  Female,  United-States, 81655
65,  Private,  HS-grad,  Married-civ-spouse,  Transport-moving,  White,  Male,  United-States, 99126
37,  Self-emp-inc,  Bachelors,  Divorced,  Sales,  White,  Female,  United-States, 184984
39,  ?,  Masters,  Married-civ-spouse,  ?,  Asian-Pac-Islander,  Female,  ?, 51761
