AGE,EMPLOYER,EDUCATION,MARRIAGE,JOB,RACE,GENDER,COUNTRY,SALARY
41, Private, HS-grad, Separated, Adm-clerical, Black, Female, ?,27867
50, Private, Bachelors, Married-civ-spouse, Adm-clerical, White, Male, ?,38091
31, Private, HS-grad, Married-civ-spouse, Adm-clerical, White, Female, ?,12987
65, Private, Some-college, Divorced, Adm-clerical, White, Female, ?,78048
19, Private, Some-college, Never-married, Adm-clerical, White, Female, ?,40336
36, Private, HS-grad, Divorced, Adm-clerical, Black, Female, ?,62083
24, Private, Some-college, Never-married, Adm-clerical, Black, Female, ?,168465
26, Private, HS-grad, Never-married, Adm-clerical, Asian-Pac-Islander, Male, ?,169002
25, Private, Assoc-voc, Never-married, Adm-clerical, White, Male, ?,188847
21, Private, 12th, Never-married, Adm-clerical, Black, Male, ?,131383
55, Private, Some-college, Never-married, Adm-clerical, Black, Female, ?,45595
22, Local-gov, Assoc-voc, Never-married, Adm-clerical, White, Female, ?,89544
39, Self-emp-not-inc, Doctorate, Divorced, Adm-clerical, Other, Male, ?,100568
42, Private, HS-grad, Never-married, Adm-clerical, Black, Female, ?,173182
39, Private, Masters, Never-married, Adm-clerical, White, Male, ?,190290
28, Private, HS-grad, Never-married, Adm-clerical, Black, Male, ?,77972
30, Private, Some-college, Never-married, Adm-clerical, Black, Female, ?,58062
32, Private, Some-college, Married-civ-spouse, Adm-clerical, Other, Female, ?,190564
27, Private, Some-college, Never-married, Adm-clerical, White, Female, ?,173708
26, Private, HS-grad, Never-married, Adm-clerical, White, Male, ?,155429
40, Self-emp-inc, HS-grad, Divorced, Adm-clerical, White, Female, ?,48279
19, Private, 12th, Never-married, Adm-clerical, White, Male, ?,36482
20, Private, Some-college, Never-married, Adm-clerical, White, Female, ?,13943
24, State-gov, Some-college, Never-married, Adm-clerical, Asian-Pac-Islander, Male, ?,187687
26, Private, Assoc-acdm, Married-civ-spouse, Adm-clerical, White, Female, ?,123477
24, Local-gov, Assoc-acdm, Never-married, Adm-clerical, White, Female, ?,75821
21, Private, Some-college, Never-married, Adm-clerical, White, Male, ?,62405
32, Private, Bachelors, Married-civ-spouse, Adm-clerical, White, Female, ?,27820
28, Private, Some-college, Never-married, Adm-clerical, Asian-Pac-Islander, Female, ?,118035
39, State-gov, Some-college, Married-civ-spouse, Adm-clerical, White, Male, ?,64897
34, Private, Some-college, Separated, Adm-clerical, Black, Female, ?,123131
25, Private, Some-college, Never-married, Adm-clerical, White, Male, ?,109692
28, Private, Bachelors, Married-civ-spouse, Adm-clerical, White, Male, ?,178759
44, Private, Bachelors, Divorced, Adm-clerical, White, Male, ?,137699
28, Private, Bachelors, Never-married, Adm-clerical, White, Female, ?,105287
30, Private, Some-college, Never-married, Adm-clerical, Other, Male, ?,45257
40, Private, Assoc-voc, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male, ?,48645
43, State-gov, Some-college, Married-civ-spouse, Craft-repair, White, Male, ?,109830
33, Self-emp-inc, Some-college, Married-civ-spouse, Craft-repair, White, Male, ?,157987
41, Private, 10th, Married-civ-spouse, Craft-repair, White, Male, ?,19319
50, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male, ?,95728
40, Local-gov, 7th-8th, Married-civ-spouse, Craft-repair, Black, Male, ?,69858
47, Federal-gov, Some-college, Married-civ-spouse, Craft-repair, White, Male, ?,76393
52, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male, ?,17676
61, Self-emp-not-inc, Masters, Married-civ-spouse, Craft-repair, White, Male, ?,20862
34, Private, 9th, Separated, Craft-repair, White, Male, ?,139942
33, Private, Some-college, Married-spouse-absent, Craft-repair, White, Male, ?,106371
35, Private, HS-grad, Married-spouse-absent, Craft-repair, Asian-Pac-Islander, Male, ?,165139
38, Private, 10th, Never-married, Craft-repair, Black, Male, ?,169267
53, Private, Some-college, Married-civ-spouse, Craft-repair, White, Male, ?,42358
42, Private, HS-grad, Never-married, Craft-repair, Black, Male, ?,130699
34, Self-emp-inc, HS-grad, Married-civ-spouse, Craft-repair, White, Male, ?,12210
41, Private, Some-college, Never-married, Craft-repair, White, Male, ?,158424
53, Local-gov, HS-grad, Divorced, Craft-repair, Other, Male, ?,172779
40, Private, Some-college, Married-civ-spouse, Craft-repair, White, Male, ?,141422
45, Self-emp-inc, 5th-6th, Married-civ-spouse, Craft-repair, White, Male, ?,149105
52, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male, ?,184443
39, Self-emp-not-inc, Bachelors, Divorced, Craft-repair, Black, Male, ?,148701
28, Private, 11th, Never-married, Craft-repair, White, Male, ?,151474
53, Private, HS-grad, Never-married, Craft-repair, Other, Female, ?,36007
37, Local-gov, HS-grad, Married-civ-spouse, Craft-repair, White, Male, ?,177150
54, Self-emp-not-inc, Some-college, Divorced, Craft-repair, White, Male, ?,30117
46, Private, 12th, Married-civ-spouse, Craft-repair, White, Male, ?,54578
45, Private, 11th, Married-civ-spouse, Craft-repair, White, Male, ?,173339
28, Private, 9th, Never-married, Craft-repair, White, Male, ?,82203
59, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male, ?,171183
30, Private, Some-college, Married-spouse-absent, Craft-repair, White, Male, ?,17468
38, Private, Assoc-voc, Married-civ-spouse, Craft-repair, White, Male, ?,181626
42, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male, ?,58868
60, Self-emp-not-inc, HS-grad, Divorced, Craft-repair, Black, Male, ?,41701
74, Private, 9th, Widowed, Craft-repair, White, Male, ?,133495
46, Private, HS-grad, Separated, Craft-repair, Black, Female, ?,120851
41, Private, Assoc-voc, Never-married, Craft-repair, White, Female, ?,38669
47, Self-emp-inc, 7th-8th, Never-married, Craft-repair, Other, Male, ?,23591
39, Private, Bachelors, Married-spouse-absent, Craft-repair, White, Male, ?,179591
63, Private, Bachelors, Married-civ-spouse, Craft-repair, White, Male, ?,137621
58, Self-emp-not-inc, 10th, Married-civ-spouse, Craft-repair, White, Female, ?,96426
35, Private, HS-grad, Divorced, Craft-repair, White, Male, ?,195165
29, Private, 10th, Never-married, Craft-repair, Black, Male, ?,137560
46, Self-emp-inc, 12th, Married-civ-spouse, Craft-repair, White, Male, ?,142183
55, Private, Bachelors, Separated, Craft-repair, White, Male, ?,15015
27, Private, 5th-6th, Never-married, Craft-repair, White, Male, ?,172876
42, Private, 12th, Married-civ-spouse, Craft-repair, Black, Male, ?,37622
56, Private, 10th, Married-civ-spouse, Craft-repair, White, Male, ?,95329
44, Private, HS-grad, Married-civ-spouse, Craft-repair, Black, Male, ?,60705
36, Private, Some-college, Married-civ-spouse, Craft-repair, White, Male, ?,125710
24, Private, HS-grad, Never-married, Craft-repair, White, Male, ?,32289
30, Private, HS-grad, Never-married, Craft-repair, White, Male, ?,62486
47, Private, Assoc-voc, Married-civ-spouse, Craft-repair, White, Male, ?,136374
32, Private, 10th, Separated, Craft-repair, Black, Female, ?,66340
37, Private, Some-college, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male, ?,17596
47, Self-emp-inc, 7th-8th, Married-civ-spouse, Craft-repair, White, Male, ?,50471
50, Self-emp-inc, 7th-8th, Married-civ-spouse, Craft-repair, White, Male, ?,126898
43, Self-emp-not-inc, 10th, Married-civ-spouse, Craft-repair, White, Male, ?,35450
21, Private, HS-grad, Never-married, Craft-repair, White, Male, ?,54653
41, Private, 7th-8th, Married-civ-spouse, Craft-repair, White, Male, ?,34056
27, Private, HS-grad, Married-civ-spouse, Craft-repair, White, Male, ?,159822
27, Private, Some-college, Married-civ-spouse, Craft-repair, White, Male, ?,66970
37, Self-emp-not-inc, Some-college, Married-civ-spouse, Craft-repair, White, Male, ?,174884
50, Private, Bachelors, Married-civ-spouse, Craft-repair, White, Male, ?,54826
38, Private, HS-grad, Divorced, Craft-repair, White, Male, ?,16152
45, Private, Some-college, Married-civ-spouse, Craft-repair, White, Male, ?,76238
26, Private, Assoc-acdm, Married-spouse-absent, Craft-repair, Asian-Pac-Islander, Female, ?,115316
41, Private, Bachelors, Married-civ-spouse, Craft-repair, Asian-Pac-Islander, Male, ?,101931
47, Private, Some-college, Married-civ-spouse, Craft-repair, White, Male, ?,88198
34, State-gov, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, ?,168635
42, Private, Assoc-acdm, Married-civ-spouse, Exec-managerial, Black, Male, ?,152912
65, Self-emp-not-inc, 11th, Married-civ-spouse, Exec-managerial, White, Male, ?,42209
66, Self-emp-inc, 9th, Married-civ-spouse, Exec-managerial, White, Male, ?,23629
36, Private, Bachelors, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Male, ?,137234
55, Self-emp-inc, Prof-school, Married-civ-spouse, Exec-managerial, White, Male, ?,28018
37, Private, HS-grad, Never-married, Exec-managerial, White, Male, ?,173672
56, Self-emp-not-inc, 1st-4th, Separated, Exec-managerial, White, Male, ?,33492
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, ?,157394
41, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, ?,108436
33, Private, Assoc-acdm, Never-married, Exec-managerial, White, Female, ?,133076
56, Private, HS-grad, Divorced, Exec-managerial, Black, Male, ?,159814
28, Private, Bachelors, Never-married, Exec-managerial, White, Female, ?,36256
52, Private, Some-college, Married-civ-spouse, Exec-managerial, White, Male, ?,89282
41, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, ?,132607
54, Self-emp-not-inc, HS-grad, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Male, ?,196155
42, Local-gov, Doctorate, Married-civ-spouse, Exec-managerial, White, Male, ?,163498
45, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Female, ?,173825
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Male, ?,28373
30, Self-emp-inc, Masters, Married-civ-spouse, Exec-managerial, White, Male, ?,106817
52, Private, Bachelors, Divorced, Exec-managerial, White, Male, ?,195939
22, Private, Some-college, Never-married, Exec-managerial, White, Female, ?,45611
29, State-gov, Masters, Never-married, Exec-managerial, White, Male, ?,98953
36, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, White, Male, ?,110878
51, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, ?,175423
38, Private, Masters, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Male, ?,132912
26, Private, Bachelors, Never-married, Exec-managerial, Black, Male, ?,67282
44, Private, HS-grad, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Female, ?,186023
31, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, ?,189672
43, Local-gov, HS-grad, Married-civ-spouse, Exec-managerial, White, Male, ?,10925
45, Self-emp-inc, 7th-8th, Married-civ-spouse, Exec-managerial, White, Male, ?,124181
32, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, Black, Male, ?,179185
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, ?,96668
34, Self-emp-not-inc, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, ?,79697
52, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, ?,13227
28, Private, Masters, Never-married, Exec-managerial, White, Female, ?,170065
51, Private, Masters, Married-civ-spouse, Exec-managerial, White, Male, ?,123105
45, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, ?,96793
43, Private, Bachelors, Married-civ-spouse, Exec-managerial, Black, Female, ?,67838
48, Self-emp-not-inc, Masters, Widowed, Exec-managerial, White, Female, ?,109582
33, Private, Masters, Never-married, Exec-managerial, White, Female, ?,21007
50, Self-emp-not-inc, Some-college, Divorced, Exec-managerial, Asian-Pac-Islander, Female, ?,71739
33, Private, Bachelors, Never-married, Exec-managerial, Asian-Pac-Islander, Male, ?,99759
34, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, ?,42492
52, Private, Bachelors, Separated, Exec-managerial, White, Female, ?,27496
38, Private, Masters, Married-civ-spouse, Exec-managerial, Black, Male, ?,66255
34, Private, Prof-school, Married-civ-spouse, Exec-managerial, White, Male, ?,53504
33, Private, Bachelors, Married-civ-spouse, Exec-managerial, Black, Male, ?,12259
30, Federal-gov, Prof-school, Never-married, Exec-managerial, White, Male, ?,73296
46, Self-emp-inc, Bachelors, Widowed, Exec-managerial, White, Female, ?,142228
41, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, ?,186837
32, Private, HS-grad, Separated, Exec-managerial, White, Male, ?,96368
47, Private, Masters, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Male, ?,25492
26, Private, Bachelors, Never-married, Exec-managerial, White, Male, ?,169796
56, Self-emp-inc, HS-grad, Married-civ-spouse, Exec-managerial, White, Male, ?,109922
45, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Female, ?,14138
36, Private, Bachelors, Never-married, Exec-managerial, White, Male, ?,105535
35, Private, Bachelors, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Male, ?,130190
43, State-gov, Some-college, Divorced, Exec-managerial, Black, Female, ?,185229
46, Private, Some-college, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Male, ?,172493
57, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, ?,52696
46, Private, Masters, Married-civ-spouse, Exec-managerial, White, Male, ?,89047
45, Self-emp-not-inc, Some-college, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Male, ?,95562
45, Self-emp-inc, Prof-school, Married-civ-spouse, Exec-managerial, Asian-Pac-Islander, Male, ?,10278
50, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, ?,148552
38, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, ?,82078
54, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, ?,147442
28, Private, Some-college, Never-married, Exec-managerial, White, Female, ?,175563
49, Self-emp-inc, Some-college, Married-civ-spouse, Exec-managerial, White, Male, ?,138422
23, Private, Bachelors, Never-married, Exec-managerial, White, Male, ?,120559
28, Private, Bachelors, Never-married, Exec-managerial, Black, Female, ?,187319
23, Private, Some-college, Never-married, Exec-managerial, White, Male, ?,120568
66, Private, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, ?,163677
42, Self-emp-inc, Bachelors, Married-civ-spouse, Exec-managerial, White, Male, ?,148449
34, Private, 10th, Never-married, Farming-fishing, White, Male, ?,25860
25, Private, HS-grad, Never-married, Farming-fishing, White, Male, ?,73869
27, Private, 7th-8th, Never-married, Farming-fishing, White, Male, ?,39175
29, Private, HS-grad, Never-married, Farming-fishing, White, Male, ?,130824
51, Private, HS-grad, Never-married, Farming-fishing, White, Male, ?,129566
47, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male, ?,55924
50, Private, 5th-6th, Married-civ-spouse, Handlers-cleaners, White, Male, ?,98839
39, Private, HS-grad, Widowed, Handlers-cleaners, White, Male, ?,148745
29, Private, Bachelors, Married-civ-spouse, Handlers-cleaners, Black, Male, ?,180245
31, Private, 12th, Never-married, Handlers-cleaners, Black, Male, ?,102111
63, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Black, Male, ?,126128
22, Private, Assoc-acdm, Never-married, Handlers-cleaners, White, Male, ?,152552
51, Federal-gov, Some-college, Married-civ-spouse, Handlers-cleaners, Other, Male, ?,98906
33, Local-gov, Some-college, Married-civ-spouse, Handlers-cleaners, White, Male, ?,196033
41, Private, Bachelors, Never-married, Handlers-cleaners, Black, Male, ?,183040
28, Private, HS-grad, Never-married, Handlers-cleaners, White, Male, ?,51257
41, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, White, Male, ?,161511
22, Private, Assoc-acdm, Never-married, Handlers-cleaners, Black, Male, ?,108362
44, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Black, Male, ?,53622
23, Private, HS-grad, Married-civ-spouse, Handlers-cleaners, Black, Male, ?,41563
17, Private, 11th, Never-married, Handlers-cleaners, White, Male, ?,66025
34, Private, Some-college, Never-married, Handlers-cleaners, Black, Male, ?,156091
26, Private, Some-college, Never-married, Handlers-cleaners, Black, Male, ?,85346
42, Private, HS-grad, Married-spouse-absent, Handlers-cleaners, Asian-Pac-Islander, Male, ?,191750
29, Private, Some-college, Married-civ-spouse, Handlers-cleaners, White, Male, ?,105590
60, Self-emp-inc, Assoc-voc, Married-civ-spouse, Machine-op-inspct, White, Male, ?,80144
28, Private, 5th-6th, Never-married, Machine-op-inspct, White, Female, ?,83368
45, Private, 12th, Married-civ-spouse, Machine-op-inspct, Asian-Pac-Islander, Male, ?,188954
46, Self-emp-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, White, Male, ?,131208
35, Private, 7th-8th, Married-civ-spouse, Machine-op-inspct, White, Male, ?,60641
38, Self-emp-not-inc, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male, ?,175012
32, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Asian-Pac-Islander, Male, ?,185501
46, Private, Bachelors, Divorced, Machine-op-inspct, White, Male, ?,14041
20, Private, Some-college, Never-married, Machine-op-inspct, Asian-Pac-Islander, Female, ?,46446
41, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Black, Female, ?,35283
43, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Asian-Pac-Islander, Female, ?,176722
39, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Asian-Pac-Islander, Male, ?,143781
59, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male, ?,137629
27, Private, Bachelors, Never-married, Machine-op-inspct, Asian-Pac-Islander, Male, ?,98314
31, Private, HS-grad, Never-married, Machine-op-inspct, Black, Male, ?,36294
31, Local-gov, Bachelors, Married-civ-spouse, Machine-op-inspct, White, Male, ?,180798
34, Private, Bachelors, Married-spouse-absent, Machine-op-inspct, Asian-Pac-Islander, Male, ?,61699
55, Private, Bachelors, Widowed, Machine-op-inspct, White, Female, ?,188956
35, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, Asian-Pac-Islander, Male, ?,137798
72, Private, HS-grad, Married-spouse-absent, Machine-op-inspct, White, Male, ?,79722
22, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, White, Male, ?,97407
44, Private, Prof-school, Married-civ-spouse, Machine-op-inspct, White, Male, ?,181382
47, Private, 9th, Married-civ-spouse, Machine-op-inspct, Black, Male, ?,46509
33, Private, HS-grad, Never-married, Machine-op-inspct, White, Female, ?,64783
52, Private, 5th-6th, Never-married, Machine-op-inspct, White, Female, ?,66544
21, Private, Some-college, Never-married, Machine-op-inspct, White, Male, ?,24193
38, Private, HS-grad, Divorced, Machine-op-inspct, White, Male, ?,96750
43, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, White, Male, ?,89595
54, Self-emp-inc, Bachelors, Married-civ-spouse, Machine-op-inspct, Asian-Pac-Islander, Male, ?,102272
21, Private, Some-college, Never-married, Machine-op-inspct, White, Male, ?,33112
39, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, White, Male, ?,164538
20, Private, HS-grad, Never-married, Machine-op-inspct, Black, Male, ?,96296
41, Private, Bachelors, Married-civ-spouse, Machine-op-inspct, White, Male, ?,193565
34, Private, HS-grad, Married-civ-spouse, Machine-op-inspct, Black, Male, ?,132125
29, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, White, Male, ?,53417
45, Private, 5th-6th, Married-civ-spouse, Machine-op-inspct, White, Male, ?,28027
18, Private, HS-grad, Never-married, Other-service, White, Female, ?,45367
45, Private, Bachelors, Divorced, Other-service, White, Male, ?,44956
29, Private, Some-college, Never-married, Other-service, Other, Male, ?,162764
28, Private, HS-grad, Never-married, Other-service, Black, Female, ?,48062
40, Private, Bachelors, Married-spouse-absent, Other-service, White, Female, ?,156158
55, Private, 7th-8th, Widowed, Other-service, White, Female, ?,73962
21, Private, Some-college, Never-married, Other-service, Black, Male, ?,52825
46, Private, Some-college, Divorced, Other-service, White, Female, ?,28467
48, Private, Assoc-voc, Divorced, Other-service, White, Female, ?,149217
18, Private, Some-college, Never-married, Other-service, White, Female, ?,120784
66, Local-gov, Some-college, Divorced, Other-service, White, Female, ?,157960
43, Private, Bachelors, Married-civ-spouse, Other-service, White, Female, ?,161051
38, Private, HS-grad, Married-spouse-absent, Other-service, White, Male, ?,162521
42, Private, HS-grad, Married-civ-spouse, Other-service, White, Male, ?,77756
38, Private, HS-grad, Never-married, Other-service, White, Male, ?,193383
57, Private, 1st-4th, Married-spouse-absent, Other-service, White, Male, ?,14467
23, Private, 10th, Married-civ-spouse, Other-service, White, Male, ?,144428
29, Private, 12th, Never-married, Other-service, Black, Female, ?,115735
40, Local-gov, HS-grad, Married-civ-spouse, Other-service, Other, Male, ?,144991
26, Private, HS-grad, Never-married, Other-service, Asian-Pac-Islander, Male, ?,172156
42, Private, Doctorate, Married-spouse-absent, Other-service, White, Male, ?,57011
29, Private, Assoc-voc, Married-civ-spouse, Other-service, White, Male, ?,150550
18, Private, Some-college, Never-married, Other-service, Black, Male, ?,75204
33, Private, Bachelors, Married-civ-spouse, Other-service, White, Female, ?,41286
37, Private, Some-college, Separated, Other-service, Black, Male, ?,47090
40, Private, HS-grad, Never-married, Other-service, White, Male, ?,42081
50, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, White, Female, ?,106025
55, Private, HS-grad, Divorced, Other-service, White, Male, ?,69830
18, Private, Some-college, Never-married, Other-service, White, Female, ?,98052
37, Private, 5th-6th, Married-civ-spouse, Other-service, Asian-Pac-Islander, Male, ?,164001
45, Private, Bachelors, Married-civ-spouse, Other-service, Asian-Pac-Islander, Male, ?,64665
32, Self-emp-not-inc, HS-grad, Married-civ-spouse, Other-service, White, Female, ?,61524
42, Private, 7th-8th, Married-civ-spouse, Other-service, Asian-Pac-Islander, Female, ?,176803
34, Private, Assoc-voc, Never-married, Other-service, White, Male, ?,103951
56, Private, 5th-6th, Married-civ-spouse, Other-service, White, Male, ?,68906
43, Private, Bachelors, Married-civ-spouse, Other-service, Asian-Pac-Islander, Female, ?,22395
30, Private, HS-grad, Never-married, Other-service, Black, Male, ?,168955
29, Private, 1st-4th, Married-civ-spouse, Other-service, White, Male, ?,102970
34, Private, Some-college, Married-civ-spouse, Other-service, White, Female, ?,131389
36, Private, Bachelors, Never-married, Other-service, White, Male, ?,170947
32, Private, Some-college, Never-married, Other-service, Asian-Pac-Islander, Male, ?,73148
37, Private, Some-college, Widowed, Other-service, White, Female, ?,99253
30, Private, HS-grad, Never-married, Other-service, Black, Male, ?,38136
57, Private, HS-grad, Widowed, Other-service, White, Female, ?,41851
30, Private, Bachelors, Never-married, Other-service, White, Male, ?,95014
21, Private, Some-college, Never-married, Other-service, White, Female, ?,127192
72, Private, 7th-8th, Widowed, Other-service, White, Female, ?,72756
22, Private, HS-grad, Never-married, Other-service, White, Male, ?,83250
34, Private, HS-grad, Married-civ-spouse, Other-service, White, Male, ?,88052
36, Private, 9th, Separated, Other-service, Black, Female, ?,71318
24, Private, HS-grad, Never-married, Other-service, Black, Female, ?,188553
49, Private, Preschool, Married-civ-spouse, Other-service, White, Male, ?,119109
32, Private, Assoc-voc, Divorced, Other-service, White, Female, ?,198874
24, State-gov, Some-college, Married-civ-spouse, Other-service, Asian-Pac-Islander, Male, ?,159981
21, Private, Some-college, Never-married, Other-service, White, Female, ?,88912
57, Private, 9th, Widowed, Other-service, Black, Male, ?,136079
27, Private, 7th-8th, Never-married, Other-service, White, Male, ?,123130
37, Private, HS-grad, Married-civ-spouse, Other-service, White, Male, ?,42777
34, Private, HS-grad, Separated, Other-service, White, Female, ?,157222
52, Private, Some-college, Widowed, Other-service, Black, Female, ?,59361
37, Private, HS-grad, Divorced, Other-service, Black, Female, ?,109130
32, Private, HS-grad, Never-married, Other-service, Black, Female, ?,128343
27, Private, Bachelors, Never-married, Other-service, White, Male, ?,30940
38, Private, Masters, Married-civ-spouse, Other-service, Black, Male, ?,17283
55, Federal-gov, Bachelors, Separated, Other-service, White, Female, ?,103137
30, Private, HS-grad, Never-married, Other-service, White, Male, ?,37352
70, Private, 5th-6th, Widowed, Other-service, White, Female, ?,134003
37, Private, HS-grad, Divorced, Other-service, Black, Female, ?,140017
42, Local-gov, HS-grad, Separated, Other-service, Black, Female, ?,134671
22, Private, HS-grad, Never-married, Other-service, White, Female, ?,45854
25, Private, Assoc-voc, Never-married, Other-service, Asian-Pac-Islander, Female, ?,103576
64, Local-gov, 5th-6th, Divorced, Other-service, White, Female, ?,193267
38, Private, Bachelors, Divorced, Other-service, Black, Female, ?,176027
40, Private, 12th, Married-civ-spouse, Other-service, White, Male, ?,48884
20, Private, HS-grad, Never-married, Other-service, Asian-Pac-Islander, Female, ?,177334
