17 - 29, *, *, married, *, *, male, *, 99793
17 - 29, *, *, married, *, *, male, *, 63193
17 - 29, *, *, married, *, *, male, *, 12004
17 - 29, *, *, married, *, *, male, *, 54781
17 - 29, *, *, married, *, *, male, *, 16133
17 - 29, *, *, married, *, *, male, *, 19800
17 - 29, *, *, married, *, *, male, *, 6255
17 - 29, *, *, married, *, *, male, *, 73059
17 - 29, *, *, married, *, *, male, *, 19728
17 - 29, *, *, married, *, *, male, *, 6394
17 - 29, *, *, married, *, *, male, *, 41622
17 - 29, *, *, married, *, *, male, *, 77789
17 - 29, *, *, married, *, *, male, *, 16125
17 - 29, *, *, married, *, *, male, *, 48513
17 - 29, *, *, married, *, *, male, *, 92217
17 - 29, *, *, married, *, *, male, *, 56395
17 - 29, *, *, married, *, *, male, *, 29146
17 - 29, *, *, married, *, *, male, *, 7979
17 - 29, *, *, married, *, *, male, *, 79272
17 - 29, *, *, married, *, *, male, *, 42604
17 - 29, *, *, married, *, *, male, *, 11443
17 - 29, *, *, married, *, *, male, *, 52695
17 - 29, *, *, married, *, *, male, *, 35342
17 - 29, *, *, married, *, *, male, *, 28491
17 - 29, *, *, married, *, *, male, *, 16917
17 - 29, *, *, married, *, *, male, *, 10165
17 - 29, *, *, married, *, *, male, *, 6604
17 - 29, *, *, married, *, *, male, *, 13067
17 - 29, *, *, married, *, *, male, *, 72471
17 - 29, *, *, married, *, *, male, *, 9156
17 - 29, *, *, married, *, *, male, *, 12882
17 - 29, *, *, married, *, *, male, *, 35283
17 - 29, *, *, married, *, *, male, *, 63687
17 - 29, *, *, married, *, *, male, *, 86851
17 - 29, *, *, married, *, *, male, *, 8735
17 - 29, *, *, married, *, *, male, *, 34954
17 - 29, *, *, married, *, *, male, *, 79183
17 - 29, *, *, married, *, *, male, *, 24880
17 - 29, *, *, married, *, *, male, *, 130557
17 - 29, *, *, married, *, *, male, *, 10522
17 - 29, *, *, married, *, *, male, *, 42173
17 - 29, *, *, married, *, *, male, *, 24936
17 - 29, *, *, married, *, *, male, *, 10337
17 - 29, *, *, married, *, *, male, *, 64970
17 - 29, *, *, married, *, *, male, *, 6578
17 - 29, *, *, married, *, *, male, *, 8417
17 - 29, *, *, married, *, *, male, *, 32817
17 - 29, *, *, married, *, *, male, *, 9553
17 - 29, *, *, married, *, *, male, *, 66253
17 - 29, *, *, married, *, *, male, *, 69131
17 - 29, *, *, married, *, *, male, *, 53673
17 - 29, *, *, married, *, *, male, *, 74145
17 - 29, *, *, married, *, *, male, *, 5033
17 - 29, *, *, married, *, *, male, *, 60439
17 - 29, *, *, married, *, *, male, *, 44754
17 - 29, *, *, married, *, *, male, *, 69812
17 - 29, *, *, married, *, *, male, *, 46758
17 - 29, *, *, married, *, *, male, *, 87561
17 - 29, *, *, married, *, *, male, *, 11103
17 - 29, *, *, married, *, *, male, *, 37411
17 - 29, *, *, married, *, *, male, *, 13015
17 - 29, *, *, married, *, *, male, *, 38582
17 - 29, *, *, married, *, *, male, *, 94411
17 - 29, *, *, married, *, *, male, *, 68955
17 - 29, *, *, married, *, *, male, *, 50509
17 - 29, *, *, married, *, *, male, *, 89400
17 - 29, *, *, married, *, *, male, *, 84324
17 - 29, *, *, married, *, *, male, *, 43827
17 - 29, *, *, married, *, *, male, *, 40597
17 - 29, *, *, married, *, *, male, *, 35851
17 - 29, *, *, married, *, *, male, *, 69227
17 - 29, *, *, married, *, *, male, *, 73103
17 - 29, *, *, married, *, *, male, *, 109363
17 - 29, *, *, married, *, *, male, *, 139312
17 - 29, *, *, married, *, *, male, *, 91842
17 - 29, *, *, married, *, *, male, *, 47011
17 - 29, *, *, married, *, *, male, *, 78810
17 - 29, *, *, married, *, *, male, *, 61843
17 - 29, *, *, married, *, *, male, *, 94100
17 - 29, *, *, married, *, *, male, *, 41418
17 - 29, *, *, married, *, *, male, *, 42819
17 - 29, *, *, married, *, *, male, *, 35665
17 - 29, *, *, married, *, *, male, *, 85778
17 - 29, *, *, married, *, *, male, *, 95672
17 - 29, *, *, married, *, *, male, *, 41680
17 - 29, *, *, married, *, *, male, *, 49084
17 - 29, *, *, married, *, *, male, *, 94275
17 - 29, *, *, married, *, *, male, *, 49040
17 - 29, *, *, married, *, *, male, *, 84428
17 - 29, *, *, married, *, *, male, *, 73046
17 - 29, *, *, married, *, *, male, *, 48892
17 - 29, *, *, married, *, *, male, *, 60396
17 - 29, *, *, married, *, *, male, *, 123778
17 - 29, *, *, married, *, *, male, *, 115262
17 - 29, *, *, married, *, *, male, *, 48695
17 - 29, *, *, married, *, *, male, *, 57993
17 - 29, *, *, married, *, *, male, *, 68240
17 - 29, *, *, married, *, *, male, *, 49725
17 - 29, *, *, married, *, *, male, *, 45959
17 - 29, *, *, married, *, *, male, *, 121042
17 - 29, *, *, married, *, *, male, *, 117189
17 - 29, *, *, married, *, *, male, *, 77615
17 - 29, *, *, married, *, *, male, *, 107789
17 - 29, *, *, married, *, *, male, *, 63348
17 - 29, *, *, married, *, *, male, *, 55128
17 - 29, *, *, married, *, *, male, *, 104642
17 - 29, *, *, married, *, *, male, *, 34023
17 - 29, *, *, married, *, *, male, *, 69871
17 - 29, *, *, married, *, *, male, *, 54063
17 - 29, *, *, married, *, *, male, *, 83745
17 - 29, *, *, married, *, *, male, *, 88155
17 - 29, *, *, married, *, *, male, *, 93679
17 - 29, *, *, married, *, *, male, *, 42123
17 - 29, *, *, married, *, *, male, *, 16016
17 - 29, *, *, married, *, *, male, *, 39820
17 - 29, *, *, married, *, *, male, *, 100021
17 - 29, *, *, married, *, *, male, *, 83520
17 - 29, *, *, married, *, *, male, *, 45478
17 - 29, *, *, married, *, *, male, *, 79454
17 - 29, *, *, married, *, *, male, *, 50276
17 - 29, *, *, married, *, *, male, *, 58372
17 - 29, *, *, married, *, *, male, *, 71961
17 - 29, *, *, married, *, *, male, *, 92192
17 - 29, *, *, married, *, *, male, *, 58915
17 - 29, *, *, married, *, *, male, *, 94381
17 - 29, *, *, married, *, *, male, *, 89987
17 - 29, *, *, married, *, *, male, *, 103825
17 - 29, *, *, married, *, *, male, *, 50670
17 - 29, *, *, married, *, *, male, *, 77337
17 - 29, *, *, married, *, *, male, *, 78160
17 - 29, *, *, married, *, *, male, *, 92793
17 - 29, *, *, married, *, *, male, *, 81019
17 - 29, *, *, married, *, *, male, *, 101830
17 - 29, *, *, married, *, *, male, *, 40897
17 - 29, *, *, married, *, *, male, *, 71755
17 - 29, *, *, married, *, *, male, *, 90804
17 - 29, *, *, married, *, *, male, *, 47006
17 - 29, *, *, married, *, *, male, *, 56006
17 - 29, *, *, married, *, *, male, *, 49345
17 - 29, *, *, married, *, *, male, *, 37033
17 - 29, *, *, married, *, *, male, *, 54137
17 - 29, *, *, married, *, *, male, *, 65575
17 - 29, *, *, married, *, *, male, *, 63474
17 - 29, *, *, married, *, *, male, *, 70580
17 - 29, *, *, married, *, *, male, *, 129141
17 - 29, *, *, married, *, *, male, *, 67727
17 - 29, *, *, married, *, *, male, *, 65826
17 - 29, *, *, married, *, *, male, *, 55171
17 - 29, *, *, married, *, *, male, *, 102780
17 - 29, *, *, married, *, *, male, *, 97500
17 - 29, *, *, married, *, *, male, *, 89292
17 - 29, *, *, married, *, *, male, *, 78720
17 - 29, *, *, married, *, *, male, *, 54233
17 - 29, *, *, married, *, *, male, *, 98747
17 - 29, *, *, married, *, *, male, *, 74673
17 - 29, *, *, married, *, *, male, *, 66356
17 - 29, *, *, married, *, *, male, *, 83574
17 - 29, *, *, married, *, *, male, *, 55651
17 - 29, *, *, married, *, *, male, *, 92488
17 - 29, *, *, married, *, *, male, *, 66019
17 - 29, *, *, married, *, *, male, *, 62508
17 - 29, *, *, married, *, *, male, *, 77268
17 - 29, *, *, married, *, *, male, *, 107264
17 - 29, *, *, married, *, *, male, *, 50349
17 - 29, *, *, married, *, *, male, *, 48441
17 - 29, *, *, married, *, *, male, *, 51365
17 - 29, *, *, married, *, *, male, *, 81784
17 - 29, *, *, married, *, *, male, *, 65052
17 - 29, *, *, married, *, *, male, *, 97046
17 - 29, *, *, married, *, *, male, *, 46460
17 - 29, *, *, married, *, *, male, *, 74969
17 - 29, *, *, married, *, *, male, *, 44734
17 - 29, *, *, married, *, *, male, *, 93308
17 - 29, *, *, married, *, *, male, *, 43372
17 - 29, *, *, married, *, *, male, *, 46795
17 - 29, *, *, married, *, *, male, *, 54227
17 - 29, *, *, married, *, *, male, *, 57683
17 - 29, *, *, married, *, *, male, *, 54585
17 - 29, *, *, married, *, *, male, *, 92782
17 - 29, *, *, married, *, *, male, *, 90415
17 - 29, *, *, married, *, *, male, *, 64044
17 - 29, *, *, married, *, *, male, *, 119222
17 - 29, *, *, married, *, *, male, *, 68815
17 - 29, *, *, married, *, *, male, *, 74372
17 - 29, *, *, married, *, *, male, *, 82620
17 - 29, *, *, married, *, *, male, *, 66127
17 - 29, *, *, married, *, *, male, *, 89469
17 - 29, *, *, married, *, *, male, *, 75889
17 - 29, *, *, married, *, *, male, *, 71630
17 - 29, *, *, married, *, *, male, *, 50948
17 - 29, *, *, married, *, *, male, *, 82858
17 - 29, *, *, married, *, *, male, *, 114728
17 - 29, *, *, married, *, *, male, *, 54804
17 - 29, *, *, married, *, *, male, *, 56497
17 - 29, *, *, married, *, *, male, *, 57710
17 - 29, *, *, married, *, *, male, *, 94542
17 - 29, *, *, married, *, *, male, *, 76884
17 - 29, *, *, married, *, *, male, *, 18643
17 - 29, *, *, married, *, *, male, *, 64878
17 - 29, *, *, married, *, *, male, *, 61491
17 - 29, *, *, married, *, *, male, *, 92169
17 - 29, *, *, married, *, *, male, *, 83312
17 - 29, *, *, married, *, *, male, *, 125720
17 - 29, *, *, married, *, *, male, *, 10521
17 - 29, *, *, married, *, *, male, *, 57317
17 - 29, *, *, married, *, *, male, *, 78775
17 - 29, *, *, married, *, *, male, *, 48362
17 - 29, *, *, married, *, *, male, *, 42439
17 - 29, *, *, married, *, *, male, *, 109314
17 - 29, *, *, married, *, *, male, *, 56932
17 - 29, *, *, married, *, *, male, *, 61250
17 - 29, *, *, married, *, *, male, *, 37042
17 - 29, *, *, married, *, *, male, *, 77306
17 - 29, *, *, married, *, *, male, *, 40436
17 - 29, *, *, married, *, *, male, *, 36311
17 - 29, *, *, married, *, *, male, *, 60237
17 - 29, *, *, married, *, *, male, *, 62091
17 - 29, *, *, married, *, *, male, *, 52550
17 - 29, *, *, married, *, *, male, *, 46541
17 - 29, *, *, married, *, *, male, *, 45902
17 - 29, *, *, married, *, *, male, *, 71756
17 - 29, *, *, married, *, *, male, *, 52593
17 - 29, *, *, married, *, *, male, *, 17235
17 - 29, *, *, married, *, *, male, *, 119994
17 - 29, *, *, married, *, *, male, *, 36730
17 - 29, *, *, married, *, *, male, *, 72000
17 - 29, *, *, married, *, *, male, *, 84916
17 - 29, *, *, married, *, *, male, *, 92150
17 - 29, *, *, married, *, *, male, *, 53723
17 - 29, *, *, married, *, *, male, *, 73641
17 - 29, *, *, married, *, *, male, *, 51695
17 - 29, *, *, married, *, *, male, *, 78067
17 - 29, *, *, married, *, *, male, *, 46750
17 - 29, *, *, married, *, *, male, *, 69249
17 - 29, *, *, married, *, *, male, *, 52986
17 - 29, *, *, married, *, *, male, *, 84474
17 - 29, *, *, married, *, *, male, *, 62528
17 - 29, *, *, married, *, *, male, *, 58371
17 - 29, *, *, married, *, *, male, *, 82658
17 - 29, *, *, married, *, *, male, *, 62761
17 - 29, *, *, married, *, *, male, *, 42053
17 - 29, *, *, married, *, *, male, *, 128046
17 - 29, *, *, married, *, *, male, *, 59222
17 - 29, *, *, married, *, *, male, *, 42272
17 - 29, *, *, married, *, *, male, *, 77448
17 - 29, *, *, married, *, *, male, *, 43537
17 - 29, *, *, married, *, *, male, *, 62885
17 - 29, *, *, married, *, *, male, *, 117048
17 - 29, *, *, married, *, *, male, *, 82211
17 - 29, *, *, married, *, *, male, *, 70219
17 - 29, *, *, married, *, *, male, *, 73384
17 - 29, *, *, married, *, *, male, *, 90513
17 - 29, *, *, married, *, *, male, *, 10508
17 - 29, *, *, married, *, *, male, *, 82924
17 - 29, *, *, married, *, *, male, *, 65917
17 - 29, *, *, married, *, *, male, *, 46327
17 - 29, *, *, married, *, *, male, *, 62037
17 - 29, *, *, married, *, *, male, *, 95019
17 - 29, *, *, married, *, *, male, *, 85960
17 - 29, *, *, married, *, *, male, *, 71117
17 - 29, *, *, married, *, *, male, *, 75973
17 - 29, *, *, married, *, *, male, *, 56550
17 - 29, *, *, married, *, *, male, *, 55356
17 - 29, *, *, married, *, *, male, *, 96848
17 - 29, *, *, married, *, *, male, *, 97512
17 - 29, *, *, married, *, *, male, *, 79695
17 - 29, *, *, married, *, *, male, *, 50285
17 - 29, *, *, married, *, *, male, *, 45351
17 - 29, *, *, married, *, *, male, *, 37334
17 - 29, *, *, married, *, *, male, *, 99202
17 - 29, *, *, married, *, *, male, *, 35722
17 - 29, *, *, married, *, *, male, *, 51743
17 - 29, *, *, married, *, *, male, *, 83666
17 - 29, *, *, married, *, *, male, *, 85548
17 - 29, *, *, married, *, *, male, *, 97331
17 - 29, *, *, married, *, *, male, *, 93829
17 - 29, *, *, married, *, *, male, *, 46050
17 - 29, *, *, married, *, *, male, *, 95497
17 - 29, *, *, married, *, *, male, *, 97266
17 - 29, *, *, married, *, *, male, *, 51898
17 - 29, *, *, married, *, *, male, *, 36305
17 - 29, *, *, married, *, *, male, *, 52513
17 - 29, *, *, married, *, *, male, *, 90635
17 - 29, *, *, married, *, *, male, *, 90557
17 - 29, *, *, married, *, *, male, *, 63729
17 - 29, *, *, married, *, *, male, *, 35592
17 - 29, *, *, married, *, *, male, *, 74040
17 - 29, *, *, married, *, *, male, *, 79503
17 - 29, *, *, married, *, *, male, *, 88309
17 - 29, *, *, married, *, *, male, *, 59539
17 - 29, *, *, married, *, *, male, *, 83270
17 - 29, *, *, married, *, *, male, *, 80171
17 - 29, *, *, married, *, *, male, *, 56699
17 - 29, *, *, married, *, *, male, *, 109467
17 - 29, *, *, married, *, *, male, *, 75529
17 - 29, *, *, married, *, *, male, *, 70618
17 - 29, *, *, married, *, *, male, *, 49198
17 - 29, *, *, married, *, *, male, *, 50324
17 - 29, *, *, married, *, *, male, *, 98746
17 - 29, *, *, married, *, *, male, *, 78929
17 - 29, *, *, married, *, *, male, *, 90936
17 - 29, *, *, married, *, *, male, *, 89492
17 - 29, *, *, married, *, *, male, *, 47706
17 - 29, *, *, married, *, *, male, *, 51225
17 - 29, *, *, married, *, *, male, *, 54745
17 - 29, *, *, married, *, *, male, *, 32802
17 - 29, *, *, married, *, *, male, *, 91126
17 - 29, *, *, married, *, *, male, *, 80961
17 - 29, *, *, married, *, *, male, *, 65704
17 - 29, *, *, married, *, *, male, *, 51844
17 - 29, *, *, married, *, *, male, *, 92827
17 - 29, *, *, married, *, *, male, *, 37343
17 - 29, *, *, married, *, *, male, *, 52026
17 - 29, *, *, married, *, *, male, *, 91917
17 - 29, *, *, married, *, *, male, *, 109586
17 - 29, *, *, married, *, *, male, *, 124568
17 - 29, *, *, married, *, *, male, *, 86416
17 - 29, *, *, married, *, *, male, *, 79829
17 - 29, *, *, married, *, *, male, *, 66807
17 - 29, *, *, married, *, *, male, *, 37713
17 - 29, *, *, married, *, *, male, *, 62801
17 - 29, *, *, married, *, *, male, *, 68706
17 - 29, *, *, married, *, *, male, *, 72306
17 - 29, *, *, married, *, *, male, *, 58545
17 - 29, *, *, married, *, *, male, *, 58624
17 - 29, *, *, married, *, *, male, *, 90314
17 - 29, *, *, married, *, *, male, *, 81666
17 - 29, *, *, married, *, *, male, *, 62921
17 - 29, *, *, married, *, *, male, *, 54347
17 - 29, *, *, married, *, *, male, *, 49490
17 - 29, *, *, married, *, *, male, *, 81644
17 - 29, *, *, married, *, *, male, *, 55109
17 - 29, *, *, married, *, *, male, *, 54933
17 - 29, *, *, married, *, *, male, *, 43784
17 - 29, *, *, married, *, *, male, *, 68204
17 - 29, *, *, married, *, *, male, *, 57437
17 - 29, *, *, married, *, *, male, *, 65954
17 - 29, *, *, married, *, *, male, *, 84443
17 - 29, *, *, married, *, *, male, *, 23184
17 - 29, *, *, married, *, *, male, *, 30943
17 - 29, *, *, married, *, *, male, *, 73207
17 - 29, *, *, married, *, *, male, *, 55918
17 - 29, *, *, married, *, *, male, *, 55579
17 - 29, *, *, married, *, *, male, *, 93098
17 - 29, *, *, married, *, *, male, *, 62533
17 - 29, *, *, married, *, *, male, *, 76967
17 - 29, *, *, married, *, *, male, *, 37739
17 - 29, *, *, married, *, *, male, *, 48334
17 - 29, *, *, married, *, *, male, *, 67915
17 - 29, *, *, married, *, *, male, *, 69409
17 - 29, *, *, married, *, *, male, *, 49859
17 - 29, *, *, married, *, *, male, *, 93283
17 - 29, *, *, married, *, *, male, *, 91140
17 - 29, *, *, married, *, *, male, *, 40753
17 - 29, *, *, married, *, *, male, *, 51757
17 - 29, *, *, married, *, *, male, *, 94459
17 - 29, *, *, married, *, *, male, *, 58277
17 - 29, *, *, married, *, *, male, *, 61457
17 - 29, *, *, married, *, *, male, *, 40393
17 - 29, *, *, married, *, *, male, *, 88184
17 - 29, *, *, married, *, *, male, *, 31099
17 - 29, *, *, married, *, *, male, *, 87822
17 - 29, *, *, married, *, *, male, *, 86946
17 - 29, *, *, married, *, *, male, *, 89925
17 - 29, *, *, married, *, *, male, *, 56347
17 - 29, *, *, married, *, *, male, *, 90340
17 - 29, *, *, married, *, *, male, *, 60268
17 - 29, *, *, married, *, *, male, *, 58060
17 - 29, *, *, married, *, *, male, *, 85043
17 - 29, *, *, married, *, *, male, *, 43188
17 - 29, *, *, married, *, *, male, *, 66996
17 - 29, *, *, married, *, *, male, *, 85046
17 - 29, *, *, married, *, *, male, *, 54696
17 - 29, *, *, married, *, *, male, *, 59863
17 - 29, *, *, married, *, *, male, *, 79291
17 - 29, *, *, married, *, *, male, *, 74889
17 - 29, *, *, married, *, *, male, *, 94645
17 - 29, *, *, married, *, *, male, *, 44305
17 - 29, *, *, married, *, *, male, *, 75480
17 - 29, *, *, married, *, *, male, *, 35888
17 - 29, *, *, married, *, *, male, *, 21995
17 - 29, *, *, married, *, *, male, *, 52106
17 - 29, *, *, married, *, *, male, *, 87377
17 - 29, *, *, married, *, *, male, *, 76920
17 - 29, *, *, married, *, *, male, *, 77759
17 - 29, *, *, married, *, *, male, *, 93637
17 - 29, *, *, married, *, *, male, *, 75309
17 - 29, *, *, married, *, *, male, *, 59860
17 - 29, *, *, married, *, *, male, *, 79408
17 - 29, *, *, married, *, *, male, *, 52655
17 - 29, *, *, married, *, *, male, *, 83287
17 - 29, *, *, married, *, *, male, *, 128585
17 - 29, *, *, married, *, *, male, *, 97474
17 - 29, *, *, married, *, *, male, *, 65118
17 - 29, *, *, married, *, *, male, *, 58322
17 - 29, *, *, married, *, *, male, *, 76986
17 - 29, *, *, married, *, *, male, *, 48307
17 - 29, *, *, married, *, *, male, *, 48489
17 - 29, *, *, married, *, *, male, *, 76215
17 - 29, *, *, married, *, *, male, *, 123197
17 - 29, *, *, married, *, *, male, *, 62696
17 - 29, *, *, married, *, *, male, *, 133691
17 - 29, *, *, married, *, *, male, *, 33714
17 - 29, *, *, married, *, *, male, *, 69018
17 - 29, *, *, married, *, *, male, *, 46387
17 - 29, *, *, married, *, *, male, *, 72006
17 - 29, *, *, married, *, *, male, *, 42770
17 - 29, *, *, married, *, *, male, *, 49309
17 - 29, *, *, married, *, *, male, *, 27333
17 - 29, *, *, married, *, *, male, *, 87602
17 - 29, *, *, married, *, *, male, *, 68585
17 - 29, *, *, married, *, *, male, *, 67418
17 - 29, *, *, married, *, *, male, *, 40336
17 - 29, *, *, married, *, *, male, *, 91680
17 - 29, *, *, married, *, *, male, *, 84077
17 - 29, *, *, married, *, *, male, *, 74063
17 - 29, *, *, married, *, *, male, *, 43679
17 - 29, *, *, married, *, *, male, *, 89156
17 - 29, *, *, married, *, *, male, *, 59484
17 - 29, *, *, married, *, *, male, *, 67795
17 - 29, *, *, married, *, *, male, *, 48882
17 - 29, *, *, married, *, *, male, *, 56776
17 - 29, *, *, married, *, *, male, *, 74953
17 - 29, *, *, married, *, *, male, *, 52841
17 - 29, *, *, married, *, *, male, *, 44262
17 - 29, *, *, married, *, *, male, *, 67511
17 - 29, *, *, married, *, *, male, *, 60605
17 - 29, *, *, married, *, *, male, *, 86317
17 - 29, *, *, married, *, *, male, *, 94386
17 - 29, *, *, married, *, *, male, *, 73900
17 - 29, *, *, married, *, *, male, *, 86088
17 - 29, *, *, married, *, *, male, *, 52959
17 - 29, *, *, married, *, *, male, *, 20125
17 - 29, *, *, married, *, *, male, *, 43986
17 - 29, *, *, married, *, *, male, *, 54280
17 - 29, *, *, married, *, *, male, *, 82953
17 - 29, *, *, married, *, *, male, *, 76714
17 - 29, *, *, married, *, *, male, *, 72069
17 - 29, *, *, married, *, *, male, *, 47177
17 - 29, *, *, married, *, *, male, *, 86633
17 - 29, *, *, married, *, *, male, *, 71373
17 - 29, *, *, married, *, *, male, *, 85166
17 - 29, *, *, married, *, *, male, *, 73923
17 - 29, *, *, married, *, *, male, *, 99020
17 - 29, *, *, married, *, *, male, *, 63286
17 - 29, *, *, married, *, *, male, *, 37781
17 - 29, *, *, married, *, *, male, *, 99608
17 - 29, *, *, married, *, *, male, *, 36386
17 - 29, *, *, married, *, *, male, *, 82765
17 - 29, *, *, married, *, *, male, *, 40540
17 - 29, *, *, married, *, *, male, *, 57714
17 - 29, *, *, married, *, *, male, *, 55584
17 - 29, *, *, married, *, *, male, *, 70165
17 - 29, *, *, married, *, *, male, *, 40741
17 - 29, *, *, married, *, *, male, *, 31029
17 - 29, *, *, married, *, *, male, *, 68496
17 - 29, *, *, married, *, *, male, *, 83345
17 - 29, *, *, married, *, *, male, *, 82304
17 - 29, *, *, married, *, *, male, *, 76368
17 - 29, *, *, married, *, *, male, *, 92102
17 - 29, *, *, married, *, *, male, *, 26321
17 - 29, *, *, married, *, *, male, *, 35419
17 - 29, *, *, married, *, *, male, *, 52669
17 - 29, *, *, married, *, *, male, *, 96529
17 - 29, *, *, married, *, *, male, *, 85481
17 - 29, *, *, married, *, *, male, *, 44407
17 - 29, *, *, married, *, *, male, *, 70542
17 - 29, *, *, married, *, *, male, *, 47972
17 - 29, *, *, married, *, *, male, *, 76954
17 - 29, *, *, married, *, *, male, *, 78358
17 - 29, *, *, married, *, *, male, *, 56092
17 - 29, *, *, married, *, *, male, *, 119889
17 - 29, *, *, married, *, *, male, *, 80987
17 - 29, *, *, married, *, *, male, *, 81827
17 - 29, *, *, married, *, *, male, *, 51052
17 - 29, *, *, married, *, *, male, *, 87505
17 - 29, *, *, married, *, *, male, *, 47977
17 - 29, *, *, married, *, *, male, *, 59200
