22 - 36, government, pre-primary, *, *, *, *, north-america, 10075
17 - 18, government, pre-high-school, never-married, customer-service, *, *, united-states, 35328
17 - 18, government, pre-high-school, never-married, customer-service, *, *, united-states, 42324
17 - 18, government, pre-high-school, never-married, customer-service, *, *, united-states, 60660
17 - 18, government, pre-high-school, never-married, customer-service, *, *, united-states, 60926
17 - 18, government, pre-high-school, never-married, customer-service, *, *, united-states, 38290
21 - 34, government, pre-high-school, never-married, customer-service, *, *, central-north-america, 87043
21 - 34, government, pre-high-school, never-married, customer-service, *, *, central-north-america, 55770
21 - 34, government, pre-high-school, never-married, customer-service, *, *, central-north-america, 50119
21 - 34, government, pre-high-school, never-married, customer-service, *, *, central-north-america, 47725
17 - 18, local-gov, pre-high-school, never-married, protective-serv, white, *, united-states, 55769
17 - 18, local-gov, pre-high-school, never-married, protective-serv, white, *, united-states, 62676
17 - 18, local-gov, pre-high-school, never-married, protective-serv, white, *, united-states, 31614
17 - 18, local-gov, pre-high-school, never-married, protective-serv, white, *, united-states, 36348
17 - 18, local-gov, pre-high-school, never-married, protective-serv, white, *, united-states, 48752
17 - 18, government, pre-high-school, never-married, other-service, *, male, *, 45908
17 - 18, government, pre-high-school, never-married, other-service, *, male, *, 61863
17 - 18, government, pre-high-school, never-married, other-service, *, male, *, 79992
17 - 18, government, pre-high-school, never-married, other-service, *, male, *, 68221
17 - 18, government, pre-high-school, never-married, other-service, *, male, *, 66610
17 - 18, government, pre-high-school, never-married, other-service, *, male, *, 42394
17 - 18, government, pre-high-school, never-married, other-service, *, male, *, 52308
19 - 34, government, pre-high-school, never-married, other-service, *, male, united-states, 70488
19 - 34, government, pre-high-school, never-married, other-service, *, male, united-states, 65976
19 - 34, government, pre-high-school, never-married, other-service, *, male, united-states, 63503
19 - 34, government, pre-high-school, never-married, other-service, *, male, united-states, 32954
19 - 34, government, pre-high-school, never-married, other-service, *, male, united-states, 30491
17 - 36, government, pre-high-school, not-married, other-service, *, female, united-states, 78264
17 - 36, government, pre-high-school, not-married, other-service, *, female, united-states, 35571
17 - 36, government, pre-high-school, not-married, other-service, *, female, united-states, 36077
17 - 36, government, pre-high-school, not-married, other-service, *, female, united-states, 40070
17 - 36, government, pre-high-school, not-married, other-service, *, female, united-states, 59660
17 - 36, government, pre-high-school, not-married, other-service, *, female, united-states, 54717
17 - 36, government, pre-high-school, not-married, other-service, *, female, united-states, 34761
27 - 37, federal-gov, pre-university, married, skilled, *, male, united-states, 83312
27 - 37, federal-gov, pre-university, married, skilled, *, male, united-states, 87317
27 - 37, federal-gov, pre-university, married, skilled, *, male, united-states, 58526
27 - 37, federal-gov, pre-university, married, skilled, *, male, united-states, 85440
27 - 37, federal-gov, pre-university, married, skilled, *, male, united-states, 76978
27 - 37, federal-gov, pre-university, married, skilled, *, male, united-states, 60883
27 - 37, federal-gov, pre-university, married, skilled, *, male, united-states, 88573
27 - 37, federal-gov, pre-university, married, skilled, *, male, united-states, 99804
25 - 30, local-gov, pre-university, married-civ-spouse, skilled, white, male, united-states, 66996
25 - 30, local-gov, pre-university, married-civ-spouse, skilled, white, male, united-states, 85046
25 - 30, local-gov, pre-university, married-civ-spouse, skilled, white, male, united-states, 44305
25 - 30, local-gov, pre-university, married-civ-spouse, skilled, white, male, united-states, 80048
25 - 30, local-gov, pre-university, married-civ-spouse, skilled, white, male, united-states, 40959
25 - 30, local-gov, pre-university, married-civ-spouse, skilled, white, male, united-states, 85481
25 - 30, local-gov, pre-university, married-civ-spouse, skilled, white, male, united-states, 40971
25 - 30, local-gov, pre-university, married-civ-spouse, skilled, white, male, united-states, 77362
31 - 32, local-gov, pre-university, married-civ-spouse, craft-repair, white, male, united-states, 51269
31 - 32, local-gov, pre-university, married-civ-spouse, craft-repair, white, male, united-states, 67795
31 - 32, local-gov, pre-university, married-civ-spouse, craft-repair, white, male, united-states, 40447
31 - 32, local-gov, pre-university, married-civ-spouse, craft-repair, white, male, united-states, 41151
31 - 32, local-gov, pre-university, married-civ-spouse, craft-repair, white, male, united-states, 73461
31 - 32, local-gov, pre-university, married-civ-spouse, craft-repair, white, male, united-states, 59502
33 - 37, local-gov, hs-grad, married-civ-spouse, craft-repair, white, male, *, 83391
33 - 37, local-gov, hs-grad, married-civ-spouse, craft-repair, white, male, *, 35122
33 - 37, local-gov, hs-grad, married-civ-spouse, craft-repair, white, male, *, 88032
33 - 37, local-gov, hs-grad, married-civ-spouse, craft-repair, white, male, *, 86023
33 - 37, local-gov, hs-grad, married-civ-spouse, craft-repair, white, male, *, 65052
33 - 37, local-gov, hs-grad, married-civ-spouse, craft-repair, white, male, *, 39825
33 - 37, local-gov, hs-grad, married-civ-spouse, craft-repair, white, male, *, 69903
34 - 37, local-gov, some-college, married-civ-spouse, craft-repair, white, male, united-states, 75880
34 - 37, local-gov, some-college, married-civ-spouse, craft-repair, white, male, united-states, 70012
34 - 37, local-gov, some-college, married-civ-spouse, craft-repair, white, male, united-states, 49128
34 - 37, local-gov, some-college, married-civ-spouse, craft-repair, white, male, united-states, 83152
34 - 37, local-gov, some-college, married-civ-spouse, craft-repair, white, male, united-states, 58128
34 - 37, local-gov, some-college, married-civ-spouse, craft-repair, white, male, united-states, 74325
29 - 33, state-gov, pre-university, married-civ-spouse, skilled, white, male, united-states, 59656
29 - 33, state-gov, pre-university, married-civ-spouse, skilled, white, male, united-states, 52063
29 - 33, state-gov, pre-university, married-civ-spouse, skilled, white, male, united-states, 47860
29 - 33, state-gov, pre-university, married-civ-spouse, skilled, white, male, united-states, 84077
29 - 33, state-gov, pre-university, married-civ-spouse, skilled, white, male, united-states, 91707
29 - 33, state-gov, pre-university, married-civ-spouse, skilled, white, male, united-states, 51897
29 - 33, state-gov, pre-university, married-civ-spouse, skilled, white, male, united-states, 93835
35 - 37, state-gov, pre-university, married, skilled, white, male, united-states, 87362
35 - 37, state-gov, pre-university, married, skilled, white, male, united-states, 81562
35 - 37, state-gov, pre-university, married, skilled, white, male, united-states, 39895
35 - 37, state-gov, pre-university, married, skilled, white, male, united-states, 43835
35 - 37, state-gov, pre-university, married, skilled, white, male, united-states, 72173
35 - 37, state-gov, pre-university, married, skilled, white, male, united-states, 85853
35 - 37, state-gov, pre-university, married, skilled, white, male, united-states, 94466
35 - 37, state-gov, pre-university, married, skilled, white, male, united-states, 43353
24 - 27, government, pre-university, married-civ-spouse, unskilled, *, male, united-states, 65890
24 - 27, government, pre-university, married-civ-spouse, unskilled, *, male, united-states, 62226
24 - 27, government, pre-university, married-civ-spouse, unskilled, *, male, united-states, 92508
24 - 27, government, pre-university, married-civ-spouse, unskilled, *, male, united-states, 50382
24 - 27, government, pre-university, married-civ-spouse, unskilled, *, male, united-states, 50509
24 - 27, government, pre-university, married-civ-spouse, unskilled, *, male, united-states, 69207
24 - 27, government, pre-university, married-civ-spouse, unskilled, *, male, united-states, 91837
28, government, pre-university, married, unskilled, *, *, central-north-america, 43394
28, government, pre-university, married, unskilled, *, *, central-north-america, 66800
28, government, pre-university, married, unskilled, *, *, central-north-america, 40113
29 - 31, government, pre-university, married, unskilled, *, *, united-states, 68604
29 - 31, government, pre-university, married, unskilled, *, *, united-states, 47052
29 - 31, government, pre-university, married, unskilled, *, *, united-states, 62763
29 - 31, government, pre-university, married, unskilled, *, *, united-states, 60921
29 - 31, government, pre-university, married, unskilled, *, *, united-states, 65462
29 - 31, government, pre-university, married, unskilled, *, *, united-states, 90876
29 - 31, government, pre-university, married, unskilled, *, *, united-states, 48099
29 - 31, government, pre-university, married, unskilled, *, *, united-states, 89799
32 - 36, government, hs-grad, married-civ-spouse, transport-moving, *, *, united-states, 46186
32 - 36, government, hs-grad, married-civ-spouse, transport-moving, *, *, united-states, 36863
32 - 36, government, hs-grad, married-civ-spouse, transport-moving, *, *, united-states, 49959
32 - 36, government, hs-grad, married-civ-spouse, transport-moving, *, *, united-states, 86166
32 - 36, government, hs-grad, married-civ-spouse, transport-moving, *, *, united-states, 46429
32 - 36, government, hs-grad, married-civ-spouse, transport-moving, *, *, united-states, 90685
32 - 36, government, hs-grad, married-civ-spouse, transport-moving, *, *, united-states, 82631
32 - 36, government, hs-grad, married-civ-spouse, transport-moving, *, *, united-states, 75629
32 - 37, government, some-college, married, unskilled, white, *, *, 48077
32 - 37, government, some-college, married, unskilled, white, *, *, 54522
32 - 37, government, some-college, married, unskilled, white, *, *, 91557
32 - 37, government, some-college, married, unskilled, white, *, *, 77773
32 - 37, government, some-college, married, unskilled, white, *, *, 97308
32 - 37, government, some-college, married, unskilled, white, *, *, 53793
32 - 37, government, some-college, married, unskilled, white, *, *, 78285
32 - 37, government, some-college, married, unskilled, white, *, *, 47490
23 - 36, government, pre-university, married, professional, black, *, united-states, 37389
23 - 36, government, pre-university, married, professional, black, *, united-states, 72946
23 - 36, government, pre-university, married, professional, black, *, united-states, 55922
23 - 36, government, pre-university, married, professional, black, *, united-states, 82061
23 - 36, government, pre-university, married, professional, black, *, united-states, 94954
23 - 36, government, pre-university, married, professional, black, *, united-states, 84812
23 - 36, government, pre-university, married, professional, black, *, united-states, 97873
23 - 36, government, pre-university, married, professional, black, *, united-states, 47555
23 - 36, government, pre-university, married, professional, black, *, united-states, 40632
23 - 26, government, pre-university, married-civ-spouse, exec-managerial, white, *, united-states, 53091
23 - 26, government, pre-university, married-civ-spouse, exec-managerial, white, *, united-states, 73878
23 - 26, government, pre-university, married-civ-spouse, exec-managerial, white, *, united-states, 82393
23 - 26, government, pre-university, married-civ-spouse, exec-managerial, white, *, united-states, 79658
23 - 26, government, pre-university, married-civ-spouse, exec-managerial, white, *, united-states, 70073
27 - 31, government, pre-university, married, exec-managerial, white, male, united-states, 84280
27 - 31, government, pre-university, married, exec-managerial, white, male, united-states, 92302
27 - 31, government, pre-university, married, exec-managerial, white, male, united-states, 82522
27 - 31, government, pre-university, married, exec-managerial, white, male, united-states, 65469
27 - 31, government, pre-university, married, exec-managerial, white, male, united-states, 67009
23 - 32, government, some-college, married, prof-specialty, white, *, *, 71876
23 - 32, government, some-college, married, prof-specialty, white, *, *, 94431
23 - 32, government, some-college, married, prof-specialty, white, *, *, 67146
23 - 32, government, some-college, married, prof-specialty, white, *, *, 46194
23 - 32, government, some-college, married, prof-specialty, white, *, *, 90111
23 - 32, government, some-college, married, prof-specialty, white, *, *, 91641
34 - 36, government, hs-grad, married-civ-spouse, professional, white, male, north-america, 44370
34 - 36, government, hs-grad, married-civ-spouse, professional, white, male, north-america, 54957
34 - 36, government, hs-grad, married-civ-spouse, professional, white, male, north-america, 68788
34 - 36, government, hs-grad, married-civ-spouse, professional, white, male, north-america, 48610
34 - 36, government, hs-grad, married-civ-spouse, professional, white, male, north-america, 63403
34 - 36, government, hs-grad, married-civ-spouse, professional, white, male, north-america, 84463
33 - 35, government, some-college, married, professional, white, *, united-states, 66604
33 - 35, government, some-college, married, professional, white, *, united-states, 51194
33 - 35, government, some-college, married, professional, white, *, united-states, 69856
33 - 35, government, some-college, married, professional, white, *, united-states, 66194
33 - 35, government, some-college, married, professional, white, *, united-states, 88902
33 - 35, government, some-college, married, professional, white, *, united-states, 49075
36 - 37, government, some-college, married, professional, white, *, central-north-america, 63755
36 - 37, government, some-college, married, professional, white, *, central-north-america, 45297
36 - 37, government, some-college, married, professional, white, *, central-north-america, 71417
36 - 37, government, some-college, married, professional, white, *, central-north-america, 54171
26 - 31, federal-gov, hs-grad, married, customer-service, *, male, united-states, 86562
26 - 31, federal-gov, hs-grad, married, customer-service, *, male, united-states, 54137
26 - 31, federal-gov, hs-grad, married, customer-service, *, male, united-states, 39607
26 - 31, federal-gov, hs-grad, married, customer-service, *, male, united-states, 75046
26 - 31, federal-gov, hs-grad, married, customer-service, *, male, united-states, 65571
26 - 31, federal-gov, hs-grad, married, customer-service, *, male, united-states, 47689
26 - 31, federal-gov, hs-grad, married, customer-service, *, male, united-states, 45703
22 - 30, federal-gov, some-college, married-civ-spouse, customer-service, *, male, north-america, 42578
22 - 30, federal-gov, some-college, married-civ-spouse, customer-service, *, male, north-america, 90640
22 - 30, federal-gov, some-college, married-civ-spouse, customer-service, *, male, north-america, 70580
22 - 30, federal-gov, some-college, married-civ-spouse, customer-service, *, male, north-america, 55171
22 - 30, federal-gov, some-college, married-civ-spouse, customer-service, *, male, north-america, 62508
22 - 30, federal-gov, some-college, married-civ-spouse, customer-service, *, male, north-america, 57619
22 - 30, federal-gov, some-college, married-civ-spouse, customer-service, *, male, north-america, 75775
22 - 30, federal-gov, some-college, married-civ-spouse, customer-service, *, male, north-america, 40432
33 - 37, federal-gov, pre-university, married, adm-clerical, black, male, united-states, 40938
33 - 37, federal-gov, pre-university, married, adm-clerical, black, male, united-states, 60748
33 - 37, federal-gov, pre-university, married, adm-clerical, black, male, united-states, 72928
33 - 37, federal-gov, pre-university, married, adm-clerical, black, male, united-states, 60913
33 - 37, federal-gov, pre-university, married, adm-clerical, black, male, united-states, 87946
32 - 37, federal-gov, hs-grad, married-civ-spouse, customer-service, white, male, *, 86111
32 - 37, federal-gov, hs-grad, married-civ-spouse, customer-service, white, male, *, 88872
32 - 37, federal-gov, hs-grad, married-civ-spouse, customer-service, white, male, *, 48227
32 - 37, federal-gov, hs-grad, married-civ-spouse, customer-service, white, male, *, 67316
32 - 37, federal-gov, hs-grad, married-civ-spouse, customer-service, white, male, *, 35846
32 - 37, federal-gov, hs-grad, married-civ-spouse, customer-service, white, male, *, 40179
36 - 37, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, *, 56527
36 - 37, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, *, 84380
36 - 37, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, *, 73023
36 - 37, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, *, 90342
36 - 37, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, *, 43874
27 - 37, local-gov, pre-university, married, customer-service, *, male, north-america, 76819
27 - 37, local-gov, pre-university, married, customer-service, *, male, north-america, 67022
27 - 37, local-gov, pre-university, married, customer-service, *, male, north-america, 97661
27 - 37, local-gov, pre-university, married, customer-service, *, male, north-america, 54227
27 - 37, local-gov, pre-university, married, customer-service, *, male, north-america, 92994
27 - 37, local-gov, pre-university, married, customer-service, *, male, north-america, 62726
27 - 37, local-gov, pre-university, married, customer-service, *, male, north-america, 71003
22 - 30, state-gov, pre-university, married, customer-service, *, male, *, 94381
22 - 30, state-gov, pre-university, married, customer-service, *, male, *, 92154
22 - 30, state-gov, pre-university, married, customer-service, *, male, *, 63474
22 - 30, state-gov, pre-university, married, customer-service, *, male, *, 97046
22 - 30, state-gov, pre-university, married, customer-service, *, male, *, 85710
22 - 30, state-gov, pre-university, married, customer-service, *, male, *, 41413
22 - 30, state-gov, pre-university, married, customer-service, *, male, *, 90600
22 - 30, state-gov, pre-university, married, customer-service, *, male, *, 84857
22 - 30, state-gov, pre-university, married, customer-service, *, male, *, 63906
31 - 37, state-gov, pre-university, married, customer-service, *, male, united-states, 74042
31 - 37, state-gov, pre-university, married, customer-service, *, male, united-states, 85735
31 - 37, state-gov, pre-university, married, customer-service, *, male, united-states, 66856
31 - 37, state-gov, pre-university, married, customer-service, *, male, united-states, 36310
31 - 37, state-gov, pre-university, married, customer-service, *, male, united-states, 73711
31 - 37, state-gov, pre-university, married, customer-service, *, male, united-states, 37265
31 - 37, state-gov, pre-university, married, customer-service, *, male, united-states, 90705
31 - 37, state-gov, pre-university, married, customer-service, *, male, united-states, 51823
31 - 37, state-gov, pre-university, married, customer-service, *, male, united-states, 80538
19 - 32, federal-gov, pre-university, married, customer-service, white, female, united-states, 72171
19 - 32, federal-gov, pre-university, married, customer-service, white, female, united-states, 78823
19 - 32, federal-gov, pre-university, married, customer-service, white, female, united-states, 42754
19 - 32, federal-gov, pre-university, married, customer-service, white, female, united-states, 60233
19 - 32, federal-gov, pre-university, married, customer-service, white, female, united-states, 70297
19 - 32, federal-gov, pre-university, married, customer-service, white, female, united-states, 98973
33 - 36, federal-gov, pre-university, married, customer-service, *, female, central-north-america, 78503
33 - 36, federal-gov, pre-university, married, customer-service, *, female, central-north-america, 58553
33 - 36, federal-gov, pre-university, married, customer-service, *, female, central-north-america, 90372
33 - 36, federal-gov, pre-university, married, customer-service, *, female, central-north-america, 98639
23 - 33, local-gov, pre-university, married, adm-clerical, white, female, north-america, 58416
23 - 33, local-gov, pre-university, married, adm-clerical, white, female, north-america, 79307
23 - 33, local-gov, pre-university, married, adm-clerical, white, female, north-america, 77778
23 - 33, local-gov, pre-university, married, adm-clerical, white, female, north-america, 74252
23 - 33, local-gov, pre-university, married, adm-clerical, white, female, north-america, 36417
23 - 33, local-gov, pre-university, married, adm-clerical, white, female, north-america, 51577
23 - 33, local-gov, pre-university, married, adm-clerical, white, female, north-america, 43266
35 - 37, local-gov, pre-university, married, customer-service, *, female, *, 79146
35 - 37, local-gov, pre-university, married, customer-service, *, female, *, 41583
35 - 37, local-gov, pre-university, married, customer-service, *, female, *, 70806
35 - 37, local-gov, pre-university, married, customer-service, *, female, *, 91430
35 - 37, local-gov, pre-university, married, customer-service, *, female, *, 69141
35 - 37, local-gov, pre-university, married, customer-service, *, female, *, 81210
35 - 37, local-gov, pre-university, married, customer-service, *, female, *, 42810
35 - 37, local-gov, pre-university, married, customer-service, *, female, *, 68502
22 - 28, state-gov, pre-university, married, adm-clerical, *, female, united-states, 47949
22 - 28, state-gov, pre-university, married, adm-clerical, *, female, united-states, 77718
22 - 28, state-gov, pre-university, married, adm-clerical, *, female, united-states, 78217
22 - 28, state-gov, pre-university, married, adm-clerical, *, female, united-states, 83143
22 - 28, state-gov, pre-university, married, adm-clerical, *, female, united-states, 63319
30 - 34, state-gov, pre-university, married, adm-clerical, *, female, *, 40581
30 - 34, state-gov, pre-university, married, adm-clerical, *, female, *, 91966
30 - 34, state-gov, pre-university, married, adm-clerical, *, female, *, 47938
30 - 34, state-gov, pre-university, married, adm-clerical, *, female, *, 88862
30 - 34, state-gov, pre-university, married, adm-clerical, *, female, *, 87527
30 - 34, state-gov, pre-university, married, adm-clerical, *, female, *, 57637
20 - 29, local-gov, hs-grad, married, protective-serv, *, *, north-america, 84428
20 - 29, local-gov, hs-grad, married, protective-serv, *, *, north-america, 68624
20 - 29, local-gov, hs-grad, married, protective-serv, *, *, north-america, 82723
20 - 29, local-gov, hs-grad, married, protective-serv, *, *, north-america, 71099
20 - 29, local-gov, hs-grad, married, protective-serv, *, *, north-america, 74272
20 - 29, local-gov, hs-grad, married, protective-serv, *, *, north-america, 52878
20 - 29, local-gov, hs-grad, married, protective-serv, *, *, north-america, 36859
24 - 29, state-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 69565
24 - 29, state-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 47123
24 - 29, state-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 72126
24 - 29, state-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 74457
24 - 29, state-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 61462
24 - 29, state-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 43770
24 - 29, state-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 67895
23 - 26, government, some-college, married, protective-serv, *, male, united-states, 67002
23 - 26, government, some-college, married, protective-serv, *, male, united-states, 42069
23 - 26, government, some-college, married, protective-serv, *, male, united-states, 70748
23 - 26, government, some-college, married, protective-serv, *, male, united-states, 59780
23 - 26, government, some-college, married, protective-serv, *, male, united-states, 86849
23 - 26, government, some-college, married, protective-serv, *, male, united-states, 87123
23 - 26, government, some-college, married, protective-serv, *, male, united-states, 78690
23 - 26, government, some-college, married, protective-serv, *, male, united-states, 56361
23 - 26, government, some-college, married, protective-serv, *, male, united-states, 96541
27 - 29, government, some-college, married-civ-spouse, protective-serv, white, male, united-states, 54079
27 - 29, government, some-college, married-civ-spouse, protective-serv, white, male, united-states, 46231
27 - 29, government, some-college, married-civ-spouse, protective-serv, white, male, united-states, 78518
27 - 29, government, some-college, married-civ-spouse, protective-serv, white, male, united-states, 42886
27 - 29, government, some-college, married-civ-spouse, protective-serv, white, male, united-states, 70950
27 - 29, government, some-college, married-civ-spouse, protective-serv, white, male, united-states, 65851
27 - 29, government, some-college, married-civ-spouse, protective-serv, white, male, united-states, 82747
30, government, hs-grad, married-civ-spouse, government, *, male, united-states, 70679
30, government, hs-grad, married-civ-spouse, government, *, male, united-states, 66702
30, government, hs-grad, married-civ-spouse, government, *, male, united-states, 84839
30, government, hs-grad, married-civ-spouse, government, *, male, united-states, 94826
30, government, hs-grad, married-civ-spouse, government, *, male, united-states, 92761
30, government, hs-grad, married-civ-spouse, government, *, male, united-states, 72714
31, government, hs-grad, married-civ-spouse, government, *, male, united-states, 94725
31, government, hs-grad, married-civ-spouse, government, *, male, united-states, 64931
31, government, hs-grad, married-civ-spouse, government, *, male, united-states, 77166
31, government, hs-grad, married-civ-spouse, government, *, male, united-states, 45165
32, government, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 58355
32, government, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 68375
32, government, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 92428
32, government, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 79975
32, government, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 37761
32, government, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 81571
30 - 32, local-gov, some-college, married-civ-spouse, protective-serv, white, *, *, 88495
30 - 32, local-gov, some-college, married-civ-spouse, protective-serv, white, *, *, 69686
30 - 32, local-gov, some-college, married-civ-spouse, protective-serv, white, *, *, 71760
30 - 32, local-gov, some-college, married-civ-spouse, protective-serv, white, *, *, 96918
30 - 32, local-gov, some-college, married-civ-spouse, protective-serv, white, *, *, 94886
30 - 32, local-gov, some-college, married-civ-spouse, protective-serv, white, *, *, 86260
33 - 34, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 89672
33 - 34, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 49137
33 - 34, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 91545
33 - 34, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 42564
33 - 34, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 53172
35 - 37, local-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 80900
35 - 37, local-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 82468
35 - 37, local-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 36862
35 - 37, local-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 52006
35 - 37, local-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 94370
33 - 36, state-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 71252
33 - 36, state-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 92506
33 - 36, state-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 75596
33 - 36, state-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 72286
33 - 36, state-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 37379
33 - 36, state-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 93189
33 - 36, state-gov, hs-grad, married-civ-spouse, protective-serv, *, male, united-states, 86654
33, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 65092
33, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 57608
33, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 60887
33, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 93131
33, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 96794
33, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 83861
33, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 89188
34 - 35, government, some-college, married-civ-spouse, protective-serv, *, male, united-states, 82531
34 - 35, government, some-college, married-civ-spouse, protective-serv, *, male, united-states, 55529
34 - 35, government, some-college, married-civ-spouse, protective-serv, *, male, united-states, 47394
