20 - 26, *, pre-primary, married, *, *, *, *, 9363
17 - 25, *, pre-primary, never-married, *, *, male, *, 16558
17 - 25, *, pre-primary, never-married, *, *, male, *, 8209
17 - 25, *, pre-primary, never-married, *, *, male, *, 17622
17 - 25, *, pre-primary, never-married, *, *, male, *, 10514
17 - 25, *, pre-primary, never-married, *, *, male, *, 9254
17 - 25, *, pre-primary, never-married, *, *, male, *, 17616
17 - 25, *, pre-primary, never-married, *, *, male, *, 12819
17 - 25, *, pre-primary, never-married, *, *, male, *, 18145
17 - 25, *, pre-primary, never-married, *, *, male, *, 15108
17 - 25, *, pre-primary, never-married, *, *, male, *, 15849
17 - 25, *, pre-primary, never-married, *, *, male, *, 18214
17 - 25, *, pre-primary, never-married, *, *, male, *, 13360
17 - 25, *, pre-primary, never-married, *, *, male, *, 11582
17 - 25, *, pre-primary, never-married, *, *, male, *, 14741
17 - 25, *, pre-primary, never-married, *, *, male, *, 18032
17 - 25, *, pre-primary, never-married, *, *, male, *, 8829
17 - 25, *, pre-primary, never-married, *, *, male, *, 12509
17 - 25, *, pre-primary, never-married, *, *, male, *, 17509
17 - 25, *, pre-primary, never-married, *, *, male, *, 9007
17 - 25, *, pre-primary, never-married, *, *, male, *, 13945
17 - 25, *, pre-primary, never-married, *, *, male, *, 18158
17 - 25, *, pre-primary, never-married, *, *, male, *, 12157
17 - 25, *, pre-primary, never-married, *, *, male, *, 19771
17 - 25, *, pre-primary, never-married, *, *, male, *, 13231
17 - 25, *, pre-primary, never-married, *, *, male, *, 10967
17 - 25, *, pre-primary, never-married, *, *, male, *, 6962
17 - 25, *, pre-primary, never-married, *, *, male, *, 19606
17 - 25, *, pre-primary, never-married, *, *, male, *, 14384
17 - 25, *, pre-primary, never-married, *, *, male, *, 10214
17 - 25, *, pre-primary, never-married, *, *, male, *, 19347
17 - 25, *, pre-primary, never-married, *, *, male, *, 5247
17 - 25, *, pre-primary, never-married, *, *, male, *, 17403
17 - 25, *, pre-primary, never-married, *, *, male, *, 6427
17 - 25, *, pre-primary, never-married, *, *, male, *, 12148
17 - 25, *, pre-primary, never-married, *, *, male, *, 11703
17 - 25, *, pre-primary, never-married, *, *, male, *, 17908
17 - 25, *, pre-primary, never-married, *, *, male, *, 12832
17 - 25, *, pre-primary, never-married, *, *, male, *, 17457
17 - 25, *, pre-primary, never-married, *, *, male, *, 9749
17 - 25, *, pre-primary, never-married, *, *, male, *, 17411
17 - 25, *, pre-primary, never-married, *, *, male, *, 19376
17 - 25, *, pre-primary, never-married, *, *, male, *, 13367
17 - 25, *, pre-primary, never-married, *, *, male, *, 12419
26 - 37, *, pre-primary, not-married, *, *, male, *, 9010
26 - 37, *, pre-primary, not-married, *, *, male, *, 8042
26 - 37, *, pre-primary, not-married, *, *, male, *, 10544
26 - 37, *, pre-primary, not-married, *, *, male, *, 18806
26 - 37, *, pre-primary, not-married, *, *, male, *, 16831
26 - 37, *, pre-primary, not-married, *, *, male, *, 6939
26 - 37, *, pre-primary, not-married, *, *, male, *, 7790
26 - 37, *, pre-primary, not-married, *, *, male, *, 18197
26 - 37, *, pre-primary, not-married, *, *, male, *, 19231
26 - 37, *, pre-primary, not-married, *, *, male, *, 8059
26 - 37, *, pre-primary, not-married, *, *, male, *, 17178
26 - 37, *, pre-primary, not-married, *, *, male, *, 17428
26 - 37, *, pre-primary, not-married, *, *, male, *, 15763
26 - 37, *, pre-primary, not-married, *, *, male, *, 16888
26 - 37, *, pre-primary, not-married, *, *, male, *, 12338
26 - 37, *, pre-primary, not-married, *, *, male, *, 16093
26 - 37, *, pre-primary, not-married, *, *, male, *, 19274
26 - 37, *, pre-primary, not-married, *, *, male, *, 8259
26 - 37, *, pre-primary, not-married, *, *, male, *, 16015
26 - 37, *, pre-primary, not-married, *, *, male, *, 19091
26 - 37, *, pre-primary, not-married, *, *, male, *, 12938
26 - 37, *, pre-primary, not-married, *, *, male, *, 6776
26 - 37, *, pre-primary, not-married, *, *, male, *, 18237
26 - 37, *, pre-primary, not-married, *, *, male, *, 7518
26 - 37, *, pre-primary, not-married, *, *, male, *, 17894
26 - 37, *, pre-primary, not-married, *, *, male, *, 9435
26 - 37, *, pre-primary, not-married, *, *, male, *, 10144
26 - 37, *, pre-primary, not-married, *, *, male, *, 8595
26 - 37, *, pre-primary, not-married, *, *, male, *, 5587
26 - 37, *, pre-primary, not-married, *, *, male, *, 11495
26 - 37, *, pre-primary, not-married, *, *, male, *, 19843
26 - 37, *, pre-primary, not-married, *, *, male, *, 10811
26 - 37, *, pre-primary, not-married, *, *, male, *, 13892
26 - 37, *, pre-primary, not-married, *, *, male, *, 15603
26 - 37, *, pre-primary, not-married, *, *, male, *, 7799
26 - 37, *, pre-primary, not-married, *, *, male, *, 5674
26 - 37, *, pre-primary, not-married, *, *, male, *, 8312
26 - 37, *, pre-primary, not-married, *, *, male, *, 18137
21 - 37, *, pre-primary, not-married, *, *, female, *, 15186
21 - 37, *, pre-primary, not-married, *, *, female, *, 5800
21 - 37, *, pre-primary, not-married, *, *, female, *, 17203
21 - 37, *, pre-primary, not-married, *, *, female, *, 10075
21 - 37, *, pre-primary, not-married, *, *, female, *, 8180
21 - 37, *, pre-primary, not-married, *, *, female, *, 17461
21 - 37, *, pre-primary, not-married, *, *, female, *, 9475
21 - 37, *, pre-primary, not-married, *, *, female, *, 5592
21 - 37, *, pre-primary, not-married, *, *, female, *, 7564
21 - 37, *, pre-primary, not-married, *, *, female, *, 13243
21 - 37, *, pre-primary, not-married, *, *, female, *, 18883
21 - 37, *, pre-primary, not-married, *, *, female, *, 11398
21 - 37, *, pre-primary, not-married, *, *, female, *, 5677
21 - 37, *, pre-primary, not-married, *, *, female, *, 13049
21 - 37, *, pre-primary, not-married, *, *, female, *, 6319
21 - 37, *, pre-primary, not-married, *, *, female, *, 16058
21 - 37, *, pre-primary, not-married, *, *, female, *, 11518
21 - 37, *, pre-primary, not-married, *, *, female, *, 7928
21 - 37, *, pre-primary, not-married, *, *, female, *, 6531
21 - 37, *, pre-primary, not-married, *, *, female, *, 6697
21 - 37, *, pre-primary, not-married, *, *, female, *, 9694
21 - 37, *, pre-primary, not-married, *, *, female, *, 7839
21 - 37, *, pre-primary, not-married, *, *, female, *, 14525
21 - 37, *, pre-primary, not-married, *, *, female, *, 6884
21 - 37, *, pre-primary, not-married, *, *, female, *, 19090
21 - 37, *, pre-primary, not-married, *, *, female, *, 11416
21 - 37, *, pre-primary, not-married, *, *, female, *, 16904
21 - 37, *, pre-primary, not-married, *, *, female, *, 9073
21 - 37, *, pre-primary, not-married, *, *, female, *, 5511
21 - 37, *, pre-primary, not-married, *, *, female, *, 18628
21 - 37, *, pre-primary, not-married, *, *, female, *, 14656
21 - 37, *, pre-primary, not-married, *, *, female, *, 13260
21 - 37, *, pre-primary, not-married, *, *, female, *, 10688
21 - 37, *, pre-primary, not-married, *, *, female, *, 19762
21 - 37, *, pre-primary, not-married, *, *, female, *, 8263
21 - 37, *, pre-primary, not-married, *, *, female, *, 11892
23 - 36, government, pre-high-school, married, *, *, *, *, 70668
23 - 36, government, pre-high-school, married, *, *, *, *, 56149
23 - 36, government, pre-high-school, married, *, *, *, *, 57993
23 - 36, government, pre-high-school, married, *, *, *, *, 67208
23 - 36, government, pre-high-school, married, *, *, *, *, 60438
23 - 36, government, pre-high-school, married, *, *, *, *, 74969
23 - 36, government, pre-high-school, married, *, *, *, *, 61966
23 - 36, government, pre-high-school, married, *, *, *, *, 40753
23 - 36, government, pre-high-school, married, *, *, *, *, 37411
23 - 36, government, pre-high-school, married, *, *, *, *, 31091
23 - 36, government, pre-high-school, married, *, *, *, *, 40138
23 - 36, government, pre-high-school, married, *, *, *, *, 21266
23 - 36, government, pre-high-school, married, *, *, *, *, 50369
23 - 36, government, pre-high-school, married, *, *, *, *, 31881
23 - 36, government, pre-high-school, married, *, *, *, *, 51223
23 - 36, government, pre-high-school, married, *, *, *, *, 24811
23 - 36, government, pre-high-school, married, *, *, *, *, 62806
23 - 36, government, pre-high-school, married, *, *, *, *, 69472
23 - 36, government, pre-high-school, married, *, *, *, *, 59817
23 - 36, government, pre-high-school, married, *, *, *, *, 35808
23 - 36, government, pre-high-school, married, *, *, *, *, 31152
23 - 36, government, pre-high-school, married, *, *, *, *, 71492
23 - 36, government, pre-high-school, married, *, *, *, *, 12195
23 - 36, government, pre-high-school, married, *, *, *, *, 48295
23 - 36, government, pre-high-school, married, *, *, *, *, 48436
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 13619
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 32462
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 19682
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 41622
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 48513
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 29146
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 42604
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 28491
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 16917
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 34954
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 32817
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 38582
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 49084
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 10521
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 17235
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 10508
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 37739
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 23657
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 21995
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 27333
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 20125
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 26321
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 35291
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 31241
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 46914
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 38541
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 26240
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 42137
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 26787
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 49559
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 21196
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 48986
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 10883
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 34134
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 25835
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 36849
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 21231
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 22982
31 - 37, non-government, 7th-8th, married, *, *, male, *, 10695
31 - 37, non-government, 7th-8th, married, *, *, male, *, 26829
31 - 37, non-government, 7th-8th, married, *, *, male, *, 48035
31 - 37, non-government, 7th-8th, married, *, *, male, *, 36630
31 - 37, non-government, 7th-8th, married, *, *, male, *, 46375
31 - 37, non-government, 7th-8th, married, *, *, male, *, 44650
31 - 37, non-government, 7th-8th, married, *, *, male, *, 25164
31 - 37, non-government, 7th-8th, married, *, *, male, *, 27452
31 - 37, non-government, 7th-8th, married, *, *, male, *, 49120
31 - 37, non-government, 7th-8th, married, *, *, male, *, 39383
31 - 37, non-government, 7th-8th, married, *, *, male, *, 40685
31 - 37, non-government, 7th-8th, married, *, *, male, *, 40070
31 - 37, non-government, 7th-8th, married, *, *, male, *, 23125
31 - 37, non-government, 7th-8th, married, *, *, male, *, 14342
31 - 37, non-government, 7th-8th, married, *, *, male, *, 27089
31 - 37, non-government, 7th-8th, married, *, *, male, *, 31848
31 - 37, non-government, 7th-8th, married, *, *, male, *, 21288
31 - 37, non-government, 7th-8th, married, *, *, male, *, 10305
31 - 37, non-government, 7th-8th, married, *, *, male, *, 19167
31 - 37, non-government, 7th-8th, married, *, *, male, *, 27880
31 - 37, non-government, 7th-8th, married, *, *, male, *, 41396
31 - 37, non-government, 7th-8th, married, *, *, male, *, 14521
31 - 37, non-government, 7th-8th, married, *, *, male, *, 24158
31 - 37, non-government, 7th-8th, married, *, *, male, *, 41192
31 - 37, non-government, 7th-8th, married, *, *, male, *, 30907
31 - 37, non-government, 7th-8th, married, *, *, male, *, 23900
31 - 37, non-government, 7th-8th, married, *, *, male, *, 18450
31 - 37, non-government, 7th-8th, married, *, *, male, *, 21840
31 - 37, non-government, 7th-8th, married, *, *, male, *, 25691
31 - 37, non-government, 7th-8th, married, *, *, male, *, 28842
31 - 37, non-government, 7th-8th, married, *, *, male, *, 14336
31 - 37, non-government, 7th-8th, married, *, *, male, *, 31362
31 - 37, non-government, 7th-8th, married, *, *, male, *, 17984
17 - 31, non-government, 9th, married, *, *, male, *, 38701
17 - 31, non-government, 9th, married, *, *, male, *, 29200
17 - 31, non-government, 9th, married, *, *, male, *, 53700
17 - 31, non-government, 9th, married, *, *, male, *, 47259
17 - 31, non-government, 9th, married, *, *, male, *, 27074
17 - 31, non-government, 9th, married, *, *, male, *, 41495
17 - 31, non-government, 9th, married, *, *, male, *, 33264
17 - 31, non-government, 9th, married, *, *, male, *, 63687
17 - 31, non-government, 9th, married, *, *, male, *, 24880
17 - 31, non-government, 9th, married, *, *, male, *, 24936
17 - 31, non-government, 9th, married, *, *, male, *, 66253
17 - 31, non-government, 9th, married, *, *, male, *, 52329
17 - 31, non-government, 9th, married, *, *, male, *, 44754
17 - 31, non-government, 9th, married, *, *, male, *, 42819
17 - 31, non-government, 9th, married, *, *, male, *, 55583
17 - 31, non-government, 9th, married, *, *, male, *, 44419
17 - 31, non-government, 9th, married, *, *, male, *, 58371
17 - 31, non-government, 9th, married, *, *, male, *, 35592
17 - 31, non-government, 9th, married, *, *, male, *, 56699
17 - 31, non-government, 9th, married, *, *, male, *, 65054
17 - 31, non-government, 9th, married, *, *, male, *, 23184
17 - 31, non-government, 9th, married, *, *, male, *, 55579
17 - 31, non-government, 9th, married, *, *, male, *, 62533
17 - 31, non-government, 9th, married, *, *, male, *, 53662
17 - 31, non-government, 9th, married, *, *, male, *, 59863
17 - 31, non-government, 9th, married, *, *, male, *, 67995
17 - 31, non-government, 9th, married, *, *, male, *, 42268
17 - 31, non-government, 9th, married, *, *, male, *, 50889
17 - 31, non-government, 9th, married, *, *, male, *, 43959
17 - 31, non-government, 9th, married, *, *, male, *, 56221
17 - 31, non-government, 9th, married, *, *, male, *, 65544
17 - 31, non-government, 9th, married, *, *, male, *, 57088
17 - 31, non-government, 9th, married, *, *, male, *, 31556
17 - 31, non-government, 9th, married, *, *, male, *, 33761
17 - 31, non-government, 9th, married, *, *, male, *, 30386
17 - 31, non-government, 9th, married, *, *, male, *, 21777
17 - 31, non-government, 9th, married, *, *, male, *, 24439
17 - 31, non-government, 9th, married, *, *, male, *, 25117
17 - 31, non-government, 9th, married, *, *, male, *, 42657
17 - 31, non-government, 9th, married, *, *, male, *, 22891
17 - 31, non-government, 9th, married, *, *, male, *, 38812
17 - 31, non-government, 9th, married, *, *, male, *, 35850
32 - 37, non-government, 9th, married, *, *, male, *, 25844
32 - 37, non-government, 9th, married, *, *, male, *, 59908
32 - 37, non-government, 9th, married, *, *, male, *, 52604
32 - 37, non-government, 9th, married, *, *, male, *, 61523
32 - 37, non-government, 9th, married, *, *, male, *, 57092
32 - 37, non-government, 9th, married, *, *, male, *, 28098
32 - 37, non-government, 9th, married, *, *, male, *, 27159
32 - 37, non-government, 9th, married, *, *, male, *, 53470
32 - 37, non-government, 9th, married, *, *, male, *, 35599
32 - 37, non-government, 9th, married, *, *, male, *, 51174
32 - 37, non-government, 9th, married, *, *, male, *, 46233
32 - 37, non-government, 9th, married, *, *, male, *, 54983
32 - 37, non-government, 9th, married, *, *, male, *, 48943
32 - 37, non-government, 9th, married, *, *, male, *, 60166
32 - 37, non-government, 9th, married, *, *, male, *, 26732
32 - 37, non-government, 9th, married, *, *, male, *, 69973
32 - 37, non-government, 9th, married, *, *, male, *, 25562
32 - 37, non-government, 9th, married, *, *, male, *, 37857
32 - 37, non-government, 9th, married, *, *, male, *, 46692
32 - 37, non-government, 9th, married, *, *, male, *, 51517
32 - 37, non-government, 9th, married, *, *, male, *, 64520
32 - 37, non-government, 9th, married, *, *, male, *, 22588
32 - 37, non-government, 9th, married, *, *, male, *, 49300
32 - 37, non-government, 9th, married, *, *, male, *, 50607
32 - 37, non-government, 9th, married, *, *, male, *, 61093
32 - 37, non-government, 9th, married, *, *, male, *, 66059
32 - 37, non-government, 9th, married, *, *, male, *, 37564
32 - 37, non-government, 9th, married, *, *, male, *, 57096
32 - 37, non-government, 9th, married, *, *, male, *, 30116
32 - 37, non-government, 9th, married, *, *, male, *, 21165
32 - 37, non-government, 9th, married, *, *, male, *, 61761
32 - 37, non-government, 9th, married, *, *, male, *, 43132
32 - 37, non-government, 9th, married, *, *, male, *, 69220
32 - 37, non-government, 9th, married, *, *, male, *, 66619
20 - 30, non-government, 10th, married, *, *, male, *, 41769
20 - 30, non-government, 10th, married, *, *, male, *, 37571
20 - 30, non-government, 10th, married, *, *, male, *, 55192
20 - 30, non-government, 10th, married, *, *, male, *, 49156
20 - 30, non-government, 10th, married, *, *, male, *, 35342
20 - 30, non-government, 10th, married, *, *, male, *, 64970
20 - 30, non-government, 10th, married, *, *, male, *, 74145
20 - 30, non-government, 10th, married, *, *, male, *, 35665
20 - 30, non-government, 10th, married, *, *, male, *, 37042
20 - 30, non-government, 10th, married, *, *, male, *, 73641
20 - 30, non-government, 10th, married, *, *, male, *, 51695
20 - 30, non-government, 10th, married, *, *, male, *, 46327
20 - 30, non-government, 10th, married, *, *, male, *, 47706
20 - 30, non-government, 10th, married, *, *, male, *, 65704
20 - 30, non-government, 10th, married, *, *, male, *, 66807
20 - 30, non-government, 10th, married, *, *, male, *, 67661
20 - 30, non-government, 10th, married, *, *, male, *, 69409
20 - 30, non-government, 10th, married, *, *, male, *, 33714
20 - 30, non-government, 10th, married, *, *, male, *, 73923
20 - 30, non-government, 10th, married, *, *, male, *, 37781
20 - 30, non-government, 10th, married, *, *, male, *, 71141
20 - 30, non-government, 10th, married, *, *, male, *, 54394
20 - 30, non-government, 10th, married, *, *, male, *, 56468
20 - 30, non-government, 10th, married, *, *, male, *, 57214
20 - 30, non-government, 10th, married, *, *, male, *, 73641
20 - 30, non-government, 10th, married, *, *, male, *, 62430
20 - 30, non-government, 10th, married, *, *, male, *, 49622
20 - 30, non-government, 10th, married, *, *, male, *, 66810
20 - 30, non-government, 10th, married, *, *, male, *, 56445
20 - 30, non-government, 10th, married, *, *, male, *, 64183
20 - 30, non-government, 10th, married, *, *, male, *, 74973
20 - 30, non-government, 10th, married, *, *, male, *, 73748
20 - 30, non-government, 10th, married, *, *, male, *, 73423
20 - 30, non-government, 10th, married, *, *, male, *, 44063
20 - 30, non-government, 10th, married, *, *, male, *, 63455
20 - 30, non-government, 10th, married, *, *, male, *, 32264
20 - 30, non-government, 10th, married, *, *, male, *, 69983
20 - 30, non-government, 10th, married, *, *, male, *, 72872
20 - 30, non-government, 10th, married, *, *, male, *, 44724
20 - 30, non-government, 10th, married, *, *, male, *, 68831
20 - 30, non-government, 10th, married, *, *, male, *, 69316
20 - 30, non-government, 10th, married, *, *, male, *, 57621
20 - 30, non-government, 10th, married, *, *, male, *, 70940
20 - 30, non-government, 10th, married, *, *, male, *, 34206
20 - 30, non-government, 10th, married, *, *, male, *, 33718
20 - 30, non-government, 10th, married, *, *, male, *, 37809
31 - 37, non-government, 10th, married, *, *, male, *, 33845
31 - 37, non-government, 10th, married, *, *, male, *, 55549
31 - 37, non-government, 10th, married, *, *, male, *, 57991
31 - 37, non-government, 10th, married, *, *, male, *, 37331
31 - 37, non-government, 10th, married, *, *, male, *, 43729
31 - 37, non-government, 10th, married, *, *, male, *, 72619
31 - 37, non-government, 10th, married, *, *, male, *, 42183
31 - 37, non-government, 10th, married, *, *, male, *, 30424
31 - 37, non-government, 10th, married, *, *, male, *, 64887
31 - 37, non-government, 10th, married, *, *, male, *, 43929
31 - 37, non-government, 10th, married, *, *, male, *, 68814
31 - 37, non-government, 10th, married, *, *, male, *, 44533
31 - 37, non-government, 10th, married, *, *, male, *, 41590
31 - 37, non-government, 10th, married, *, *, male, *, 63844
31 - 37, non-government, 10th, married, *, *, male, *, 34363
31 - 37, non-government, 10th, married, *, *, male, *, 38885
31 - 37, non-government, 10th, married, *, *, male, *, 56736
31 - 37, non-government, 10th, married, *, *, male, *, 35680
31 - 37, non-government, 10th, married, *, *, male, *, 62030
31 - 37, non-government, 10th, married, *, *, male, *, 52869
31 - 37, non-government, 10th, married, *, *, male, *, 35609
31 - 37, non-government, 10th, married, *, *, male, *, 51666
31 - 37, non-government, 10th, married, *, *, male, *, 73295
31 - 37, non-government, 10th, married, *, *, male, *, 56318
31 - 37, non-government, 10th, married, *, *, male, *, 56595
31 - 37, non-government, 10th, married, *, *, male, *, 55698
31 - 37, non-government, 10th, married, *, *, male, *, 49195
31 - 37, non-government, 10th, married, *, *, male, *, 58097
31 - 37, non-government, 10th, married, *, *, male, *, 57935
31 - 37, non-government, 10th, married, *, *, male, *, 72815
31 - 37, non-government, 10th, married, *, *, male, *, 71143
31 - 37, non-government, 10th, married, *, *, male, *, 60980
31 - 37, non-government, 10th, married, *, *, male, *, 31110
31 - 37, non-government, 10th, married, *, *, male, *, 44162
31 - 37, non-government, 10th, married, *, *, male, *, 55838
31 - 37, non-government, 10th, married, *, *, male, *, 72177
31 - 37, non-government, 10th, married, *, *, male, *, 62684
31 - 37, non-government, 10th, married, *, *, male, *, 38203
31 - 37, non-government, 10th, married, *, *, male, *, 51964
31 - 37, non-government, 10th, married, *, *, male, *, 46330
31 - 37, non-government, 10th, married, *, *, male, *, 30480
31 - 37, non-government, 10th, married, *, *, male, *, 64518
