20 - 37, *, pre-primary, married, *, *, *, *, 8828
17 - 26, *, pre-primary, never-married, *, *, *, *, 11703
17 - 26, *, pre-primary, never-married, *, *, *, *, 17908
17 - 26, *, pre-primary, never-married, *, *, *, *, 12832
17 - 26, *, pre-primary, never-married, *, *, *, *, 17457
17 - 26, *, pre-primary, never-married, *, *, *, *, 9073
17 - 26, *, pre-primary, never-married, *, *, *, *, 5511
17 - 26, *, pre-primary, never-married, *, *, *, *, 19843
17 - 26, *, pre-primary, never-married, *, *, *, *, 9749
17 - 26, *, pre-primary, never-married, *, *, *, *, 17411
17 - 26, *, pre-primary, never-married, *, *, *, *, 19376
17 - 26, *, pre-primary, never-married, *, *, *, *, 10688
17 - 26, *, pre-primary, never-married, *, *, *, *, 13367
17 - 26, *, pre-primary, never-married, *, *, *, *, 19762
17 - 26, *, pre-primary, never-married, *, *, *, *, 12419
27 - 37, *, pre-primary, not-married, *, *, *, *, 9010
27 - 37, *, pre-primary, not-married, *, *, *, *, 15186
27 - 37, *, pre-primary, not-married, *, *, *, *, 10544
27 - 37, *, pre-primary, not-married, *, *, *, *, 16831
27 - 37, *, pre-primary, not-married, *, *, *, *, 6939
27 - 37, *, pre-primary, not-married, *, *, *, *, 7790
27 - 37, *, pre-primary, not-married, *, *, *, *, 18197
27 - 37, *, pre-primary, not-married, *, *, *, *, 17203
27 - 37, *, pre-primary, not-married, *, *, *, *, 10075
27 - 37, *, pre-primary, not-married, *, *, *, *, 8180
27 - 37, *, pre-primary, not-married, *, *, *, *, 17461
27 - 37, *, pre-primary, not-married, *, *, *, *, 9475
27 - 37, *, pre-primary, not-married, *, *, *, *, 5592
27 - 37, *, pre-primary, not-married, *, *, *, *, 13243
27 - 37, *, pre-primary, not-married, *, *, *, *, 18883
27 - 37, *, pre-primary, not-married, *, *, *, *, 19231
27 - 37, *, pre-primary, not-married, *, *, *, *, 8059
27 - 37, *, pre-primary, not-married, *, *, *, *, 17178
27 - 37, *, pre-primary, not-married, *, *, *, *, 11398
27 - 37, *, pre-primary, not-married, *, *, *, *, 11518
27 - 37, *, pre-primary, not-married, *, *, *, *, 6697
27 - 37, *, pre-primary, not-married, *, *, *, *, 17428
27 - 37, *, pre-primary, not-married, *, *, *, *, 15763
27 - 37, *, pre-primary, not-married, *, *, *, *, 16888
27 - 37, *, pre-primary, not-married, *, *, *, *, 12338
27 - 37, *, pre-primary, not-married, *, *, *, *, 16093
27 - 37, *, pre-primary, not-married, *, *, *, *, 19274
27 - 37, *, pre-primary, not-married, *, *, *, *, 8259
27 - 37, *, pre-primary, not-married, *, *, *, *, 19091
27 - 37, *, pre-primary, not-married, *, *, *, *, 12938
27 - 37, *, pre-primary, not-married, *, *, *, *, 6776
27 - 37, *, pre-primary, not-married, *, *, *, *, 18237
27 - 37, *, pre-primary, not-married, *, *, *, *, 9694
27 - 37, *, pre-primary, not-married, *, *, *, *, 7518
27 - 37, *, pre-primary, not-married, *, *, *, *, 14525
27 - 37, *, pre-primary, not-married, *, *, *, *, 6884
27 - 37, *, pre-primary, not-married, *, *, *, *, 17894
27 - 37, *, pre-primary, not-married, *, *, *, *, 9435
27 - 37, *, pre-primary, not-married, *, *, *, *, 19090
27 - 37, *, pre-primary, not-married, *, *, *, *, 11416
27 - 37, *, pre-primary, not-married, *, *, *, *, 10144
27 - 37, *, pre-primary, not-married, *, *, *, *, 8595
27 - 37, *, pre-primary, not-married, *, *, *, *, 16904
27 - 37, *, pre-primary, not-married, *, *, *, *, 5587
27 - 37, *, pre-primary, not-married, *, *, *, *, 18628
27 - 37, *, pre-primary, not-married, *, *, *, *, 11495
27 - 37, *, pre-primary, not-married, *, *, *, *, 10811
27 - 37, *, pre-primary, not-married, *, *, *, *, 13892
27 - 37, *, pre-primary, not-married, *, *, *, *, 14656
27 - 37, *, pre-primary, not-married, *, *, *, *, 15603
27 - 37, *, pre-primary, not-married, *, *, *, *, 7799
27 - 37, *, pre-primary, not-married, *, *, *, *, 13260
27 - 37, *, pre-primary, not-married, *, *, *, *, 5674
27 - 37, *, pre-primary, not-married, *, *, *, *, 8312
27 - 37, *, pre-primary, not-married, *, *, *, *, 18137
27 - 37, *, pre-primary, not-married, *, *, *, *, 8263
27 - 37, *, pre-primary, not-married, *, *, *, *, 11892
17 - 24, *, pre-high-school, married, *, *, male, *, 41769
17 - 24, *, pre-high-school, married, *, *, male, *, 41750
17 - 24, *, pre-high-school, married, *, *, male, *, 53700
17 - 24, *, pre-high-school, married, *, *, male, *, 33716
17 - 24, *, pre-high-school, married, *, *, male, *, 77789
17 - 24, *, pre-high-school, married, *, *, male, *, 28491
17 - 24, *, pre-high-school, married, *, *, male, *, 72471
17 - 24, *, pre-high-school, married, *, *, male, *, 34954
17 - 24, *, pre-high-school, married, *, *, male, *, 66253
17 - 24, *, pre-high-school, married, *, *, male, *, 74145
17 - 24, *, pre-high-school, married, *, *, male, *, 44754
17 - 24, *, pre-high-school, married, *, *, male, *, 35665
17 - 24, *, pre-high-school, married, *, *, male, *, 49040
17 - 24, *, pre-high-school, married, *, *, male, *, 16016
17 - 24, *, pre-high-school, married, *, *, male, *, 10521
17 - 24, *, pre-high-school, married, *, *, male, *, 10508
17 - 24, *, pre-high-school, married, *, *, male, *, 49198
17 - 24, *, pre-high-school, married, *, *, male, *, 58545
17 - 24, *, pre-high-school, married, *, *, male, *, 55109
17 - 24, *, pre-high-school, married, *, *, male, *, 55918
17 - 24, *, pre-high-school, married, *, *, male, *, 37739
17 - 24, *, pre-high-school, married, *, *, male, *, 48334
17 - 24, *, pre-high-school, married, *, *, male, *, 69409
17 - 24, *, pre-high-school, married, *, *, male, *, 35888
17 - 24, *, pre-high-school, married, *, *, male, *, 68585
17 - 24, *, pre-high-school, married, *, *, male, *, 89156
17 - 24, *, pre-high-school, married, *, *, male, *, 20125
17 - 24, *, pre-high-school, married, *, *, male, *, 70165
17 - 24, *, pre-high-school, married, *, *, male, *, 52669
17 - 24, *, pre-high-school, married, *, *, male, *, 66087
17 - 24, *, pre-high-school, married, *, *, male, *, 37763
17 - 24, *, pre-high-school, married, *, *, male, *, 57214
17 - 24, *, pre-high-school, married, *, *, male, *, 46914
17 - 24, *, pre-high-school, married, *, *, male, *, 62430
17 - 24, *, pre-high-school, married, *, *, male, *, 71041
17 - 24, *, pre-high-school, married, *, *, male, *, 55276
17 - 24, *, pre-high-school, married, *, *, male, *, 49622
17 - 24, *, pre-high-school, married, *, *, male, *, 56221
17 - 24, *, pre-high-school, married, *, *, male, *, 37204
17 - 24, *, pre-high-school, married, *, *, male, *, 31881
17 - 24, *, pre-high-school, married, *, *, male, *, 55564
17 - 24, *, pre-high-school, married, *, *, male, *, 74973
17 - 24, *, pre-high-school, married, *, *, male, *, 44702
17 - 24, *, pre-high-school, married, *, *, male, *, 73748
17 - 24, *, pre-high-school, married, *, *, male, *, 70637
17 - 24, *, pre-high-school, married, *, *, male, *, 73423
17 - 24, *, pre-high-school, married, *, *, male, *, 33761
17 - 24, *, pre-high-school, married, *, *, male, *, 63455
17 - 24, *, pre-high-school, married, *, *, male, *, 48152
17 - 24, *, pre-high-school, married, *, *, male, *, 69983
17 - 24, *, pre-high-school, married, *, *, male, *, 65806
17 - 24, *, pre-high-school, married, *, *, male, *, 49559
17 - 24, *, pre-high-school, married, *, *, male, *, 61225
17 - 24, *, pre-high-school, married, *, *, male, *, 58723
17 - 24, *, pre-high-school, married, *, *, male, *, 24439
17 - 24, *, pre-high-school, married, *, *, male, *, 77061
17 - 24, *, pre-high-school, married, *, *, male, *, 25117
17 - 24, *, pre-high-school, married, *, *, male, *, 68831
17 - 24, *, pre-high-school, married, *, *, male, *, 57621
17 - 24, *, pre-high-school, married, *, *, male, *, 61918
17 - 24, *, pre-high-school, married, *, *, male, *, 44283
17 - 24, *, pre-high-school, married, *, *, male, *, 78999
17 - 24, *, pre-high-school, married, *, *, male, *, 48986
17 - 24, *, pre-high-school, married, *, *, male, *, 36343
17 - 24, *, pre-high-school, married, *, *, male, *, 59480
17 - 24, *, pre-high-school, married, *, *, male, *, 36849
17 - 24, *, pre-high-school, married, *, *, male, *, 55785
17 - 24, *, pre-high-school, married, *, *, male, *, 21231
17 - 24, *, pre-high-school, married, *, *, male, *, 68270
17 - 24, *, pre-high-school, married, *, *, male, *, 42398
25 - 26, *, pre-high-school, married, *, *, male, *, 76192
25 - 26, *, pre-high-school, married, *, *, male, *, 38701
25 - 26, *, pre-high-school, married, *, *, male, *, 84828
25 - 26, *, pre-high-school, married, *, *, male, *, 37571
25 - 26, *, pre-high-school, married, *, *, male, *, 13619
25 - 26, *, pre-high-school, married, *, *, male, *, 49156
25 - 26, *, pre-high-school, married, *, *, male, *, 47259
25 - 26, *, pre-high-school, married, *, *, male, *, 73059
25 - 26, *, pre-high-school, married, *, *, male, *, 48513
25 - 26, *, pre-high-school, married, *, *, male, *, 79272
25 - 26, *, pre-high-school, married, *, *, male, *, 42604
25 - 26, *, pre-high-school, married, *, *, male, *, 63687
25 - 26, *, pre-high-school, married, *, *, male, *, 79183
25 - 26, *, pre-high-school, married, *, *, male, *, 24880
25 - 26, *, pre-high-school, married, *, *, male, *, 41418
25 - 26, *, pre-high-school, married, *, *, male, *, 42819
25 - 26, *, pre-high-school, married, *, *, male, *, 34023
25 - 26, *, pre-high-school, married, *, *, male, *, 65575
25 - 26, *, pre-high-school, married, *, *, male, *, 71630
25 - 26, *, pre-high-school, married, *, *, male, *, 52593
25 - 26, *, pre-high-school, married, *, *, male, *, 36730
25 - 26, *, pre-high-school, married, *, *, male, *, 53723
25 - 26, *, pre-high-school, married, *, *, male, *, 58371
25 - 26, *, pre-high-school, married, *, *, male, *, 46327
25 - 26, *, pre-high-school, married, *, *, male, *, 51225
25 - 26, *, pre-high-school, married, *, *, male, *, 30943
25 - 26, *, pre-high-school, married, *, *, male, *, 62533
25 - 26, *, pre-high-school, married, *, *, male, *, 59863
25 - 26, *, pre-high-school, married, *, *, male, *, 52655
25 - 26, *, pre-high-school, married, *, *, male, *, 33714
25 - 26, *, pre-high-school, married, *, *, male, *, 27333
25 - 26, *, pre-high-school, married, *, *, male, *, 74953
25 - 26, *, pre-high-school, married, *, *, male, *, 71141
25 - 26, *, pre-high-school, married, *, *, male, *, 56468
25 - 26, *, pre-high-school, married, *, *, male, *, 49930
25 - 26, *, pre-high-school, married, *, *, male, *, 73641
25 - 26, *, pre-high-school, married, *, *, male, *, 43959
25 - 26, *, pre-high-school, married, *, *, male, *, 64183
25 - 26, *, pre-high-school, married, *, *, male, *, 26787
25 - 26, *, pre-high-school, married, *, *, male, *, 31556
25 - 26, *, pre-high-school, married, *, *, male, *, 32264
25 - 26, *, pre-high-school, married, *, *, male, *, 69482
25 - 26, *, pre-high-school, married, *, *, male, *, 79572
25 - 26, *, pre-high-school, married, *, *, male, *, 40855
25 - 26, *, pre-high-school, married, *, *, male, *, 70351
25 - 26, *, pre-high-school, married, *, *, male, *, 56495
25 - 26, *, pre-high-school, married, *, *, male, *, 59817
25 - 26, *, pre-high-school, married, *, *, male, *, 52112
25 - 26, *, pre-high-school, married, *, *, male, *, 70940
25 - 26, *, pre-high-school, married, *, *, male, *, 25835
25 - 26, *, pre-high-school, married, *, *, male, *, 32373
25 - 26, *, pre-high-school, married, *, *, male, *, 56932
25 - 26, *, pre-high-school, married, *, *, male, *, 33718
25 - 26, *, pre-high-school, married, *, *, male, *, 35850
27 - 28, *, pre-high-school, married, *, *, male, *, 67822
27 - 28, *, pre-high-school, married, *, *, male, *, 35327
27 - 28, *, pre-high-school, married, *, *, male, *, 70157
27 - 28, *, pre-high-school, married, *, *, male, *, 29200
27 - 28, *, pre-high-school, married, *, *, male, *, 32122
27 - 28, *, pre-high-school, married, *, *, male, *, 55192
27 - 28, *, pre-high-school, married, *, *, male, *, 56149
27 - 28, *, pre-high-school, married, *, *, male, *, 41622
27 - 28, *, pre-high-school, married, *, *, male, *, 29146
27 - 28, *, pre-high-school, married, *, *, male, *, 35342
27 - 28, *, pre-high-school, married, *, *, male, *, 16917
27 - 28, *, pre-high-school, married, *, *, male, *, 64970
27 - 28, *, pre-high-school, married, *, *, male, *, 32817
27 - 28, *, pre-high-school, married, *, *, male, *, 41680
27 - 28, *, pre-high-school, married, *, *, male, *, 49084
27 - 28, *, pre-high-school, married, *, *, male, *, 57993
27 - 28, *, pre-high-school, married, *, *, male, *, 54063
27 - 28, *, pre-high-school, married, *, *, male, *, 83520
27 - 28, *, pre-high-school, married, *, *, male, *, 45478
27 - 28, *, pre-high-school, married, *, *, male, *, 61491
27 - 28, *, pre-high-school, married, *, *, male, *, 37042
27 - 28, *, pre-high-school, married, *, *, male, *, 77306
27 - 28, *, pre-high-school, married, *, *, male, *, 45902
27 - 28, *, pre-high-school, married, *, *, male, *, 17235
27 - 28, *, pre-high-school, married, *, *, male, *, 73641
27 - 28, *, pre-high-school, married, *, *, male, *, 56699
27 - 28, *, pre-high-school, married, *, *, male, *, 47706
27 - 28, *, pre-high-school, married, *, *, male, *, 32802
27 - 28, *, pre-high-school, married, *, *, male, *, 65704
27 - 28, *, pre-high-school, married, *, *, male, *, 37343
27 - 28, *, pre-high-school, married, *, *, male, *, 23184
27 - 28, *, pre-high-school, married, *, *, male, *, 55579
27 - 28, *, pre-high-school, married, *, *, male, *, 40753
27 - 28, *, pre-high-school, married, *, *, male, *, 31099
27 - 28, *, pre-high-school, married, *, *, male, *, 21995
27 - 28, *, pre-high-school, married, *, *, male, *, 37781
27 - 28, *, pre-high-school, married, *, *, male, *, 31029
27 - 28, *, pre-high-school, married, *, *, male, *, 26321
27 - 28, *, pre-high-school, married, *, *, male, *, 30886
27 - 28, *, pre-high-school, married, *, *, male, *, 71335
27 - 28, *, pre-high-school, married, *, *, male, *, 37117
27 - 28, *, pre-high-school, married, *, *, male, *, 50889
27 - 28, *, pre-high-school, married, *, *, male, *, 69573
27 - 28, *, pre-high-school, married, *, *, male, *, 63567
27 - 28, *, pre-high-school, married, *, *, male, *, 66810
27 - 28, *, pre-high-school, married, *, *, male, *, 56445
27 - 28, *, pre-high-school, married, *, *, male, *, 67881
27 - 28, *, pre-high-school, married, *, *, male, *, 73309
27 - 28, *, pre-high-school, married, *, *, male, *, 61135
27 - 28, *, pre-high-school, married, *, *, male, *, 42629
27 - 28, *, pre-high-school, married, *, *, male, *, 44063
27 - 28, *, pre-high-school, married, *, *, male, *, 57147
27 - 28, *, pre-high-school, married, *, *, male, *, 72872
27 - 28, *, pre-high-school, married, *, *, male, *, 30386
27 - 28, *, pre-high-school, married, *, *, male, *, 44724
27 - 28, *, pre-high-school, married, *, *, male, *, 21196
27 - 28, *, pre-high-school, married, *, *, male, *, 72800
27 - 28, *, pre-high-school, married, *, *, male, *, 42592
27 - 28, *, pre-high-school, married, *, *, male, *, 10883
27 - 28, *, pre-high-school, married, *, *, male, *, 22891
27 - 28, *, pre-high-school, married, *, *, male, *, 34134
27 - 28, *, pre-high-school, married, *, *, male, *, 41400
27 - 28, *, pre-high-school, married, *, *, male, *, 37809
29 - 30, *, pre-high-school, married, *, *, male, *, 35359
29 - 30, *, pre-high-school, married, *, *, male, *, 27074
29 - 30, *, pre-high-school, married, *, *, male, *, 32462
29 - 30, *, pre-high-school, married, *, *, male, *, 19682
29 - 30, *, pre-high-school, married, *, *, male, *, 52832
29 - 30, *, pre-high-school, married, *, *, male, *, 41495
29 - 30, *, pre-high-school, married, *, *, male, *, 63811
29 - 30, *, pre-high-school, married, *, *, male, *, 24936
29 - 30, *, pre-high-school, married, *, *, male, *, 65726
29 - 30, *, pre-high-school, married, *, *, male, *, 52329
29 - 30, *, pre-high-school, married, *, *, male, *, 37411
29 - 30, *, pre-high-school, married, *, *, male, *, 38582
29 - 30, *, pre-high-school, married, *, *, male, *, 54965
29 - 30, *, pre-high-school, married, *, *, male, *, 67208
29 - 30, *, pre-high-school, married, *, *, male, *, 50216
29 - 30, *, pre-high-school, married, *, *, male, *, 55583
29 - 30, *, pre-high-school, married, *, *, male, *, 59326
29 - 30, *, pre-high-school, married, *, *, male, *, 51695
29 - 30, *, pre-high-school, married, *, *, male, *, 36413
29 - 30, *, pre-high-school, married, *, *, male, *, 52513
29 - 30, *, pre-high-school, married, *, *, male, *, 35592
29 - 30, *, pre-high-school, married, *, *, male, *, 66807
29 - 30, *, pre-high-school, married, *, *, male, *, 67661
29 - 30, *, pre-high-school, married, *, *, male, *, 60737
29 - 30, *, pre-high-school, married, *, *, male, *, 53662
29 - 30, *, pre-high-school, married, *, *, male, *, 37411
29 - 30, *, pre-high-school, married, *, *, male, *, 23657
29 - 30, *, pre-high-school, married, *, *, male, *, 73923
29 - 30, *, pre-high-school, married, *, *, male, *, 79425
29 - 30, *, pre-high-school, married, *, *, male, *, 52333
29 - 30, *, pre-high-school, married, *, *, male, *, 35291
29 - 30, *, pre-high-school, married, *, *, male, *, 54394
29 - 30, *, pre-high-school, married, *, *, male, *, 31241
29 - 30, *, pre-high-school, married, *, *, male, *, 38541
29 - 30, *, pre-high-school, married, *, *, male, *, 26240
29 - 30, *, pre-high-school, married, *, *, male, *, 42137
29 - 30, *, pre-high-school, married, *, *, male, *, 41592
29 - 30, *, pre-high-school, married, *, *, male, *, 60100
29 - 30, *, pre-high-school, married, *, *, male, *, 72311
29 - 30, *, pre-high-school, married, *, *, male, *, 21777
29 - 30, *, pre-high-school, married, *, *, male, *, 69316
29 - 30, *, pre-high-school, married, *, *, male, *, 42657
29 - 30, *, pre-high-school, married, *, *, male, *, 78862
29 - 30, *, pre-high-school, married, *, *, male, *, 31152
29 - 30, *, pre-high-school, married, *, *, male, *, 46447
29 - 30, *, pre-high-school, married, *, *, male, *, 12195
29 - 30, *, pre-high-school, married, *, *, male, *, 44263
29 - 30, *, pre-high-school, married, *, *, male, *, 38812
29 - 30, *, pre-high-school, married, *, *, male, *, 34206
29 - 30, *, pre-high-school, married, *, *, male, *, 46744
29 - 30, *, pre-high-school, married, *, *, male, *, 49141
29 - 30, *, pre-high-school, married, *, *, male, *, 22982
29 - 30, *, pre-high-school, married, *, *, male, *, 48436
29 - 30, *, pre-high-school, married, *, *, male, *, 32330
31 - 32, *, pre-high-school, married, *, *, male, *, 47953
31 - 32, *, pre-high-school, married, *, *, male, *, 37457
31 - 32, *, pre-high-school, married, *, *, male, *, 51202
31 - 32, *, pre-high-school, married, *, *, male, *, 70125
31 - 32, *, pre-high-school, married, *, *, male, *, 72697
31 - 32, *, pre-high-school, married, *, *, male, *, 57991
31 - 32, *, pre-high-school, married, *, *, male, *, 65508
31 - 32, *, pre-high-school, married, *, *, male, *, 33264
31 - 32, *, pre-high-school, married, *, *, male, *, 38743
31 - 32, *, pre-high-school, married, *, *, male, *, 39383
31 - 32, *, pre-high-school, married, *, *, male, *, 58742
31 - 32, *, pre-high-school, married, *, *, male, *, 55807
31 - 32, *, pre-high-school, married, *, *, male, *, 55867
31 - 32, *, pre-high-school, married, *, *, male, *, 49306
31 - 32, *, pre-high-school, married, *, *, male, *, 42183
31 - 32, *, pre-high-school, married, *, *, male, *, 31848
31 - 32, *, pre-high-school, married, *, *, male, *, 44419
31 - 32, *, pre-high-school, married, *, *, male, *, 43929
31 - 32, *, pre-high-school, married, *, *, male, *, 73350
31 - 32, *, pre-high-school, married, *, *, male, *, 60166
31 - 32, *, pre-high-school, married, *, *, male, *, 78277
