17 - 27, *, pre-primary, *, *, *, *, *, 9010
28 - 37, *, pre-primary, *, *, *, *, *, 15186
28 - 37, *, pre-primary, *, *, *, *, *, 8828
28 - 37, *, pre-primary, *, *, *, *, *, 14101
28 - 37, *, pre-primary, *, *, *, *, *, 5620
28 - 37, *, pre-primary, *, *, *, *, *, 17979
28 - 37, *, pre-primary, *, *, *, *, *, 10922
28 - 37, *, pre-primary, *, *, *, *, *, 10496
28 - 37, *, pre-primary, *, *, *, *, *, 10544
28 - 37, *, pre-primary, *, *, *, *, *, 8384
28 - 37, *, pre-primary, *, *, *, *, *, 12650
28 - 37, *, pre-primary, *, *, *, *, *, 12090
28 - 37, *, pre-primary, *, *, *, *, *, 6939
28 - 37, *, pre-primary, *, *, *, *, *, 7790
28 - 37, *, pre-primary, *, *, *, *, *, 17203
28 - 37, *, pre-primary, *, *, *, *, *, 10075
28 - 37, *, pre-primary, *, *, *, *, *, 8180
28 - 37, *, pre-primary, *, *, *, *, *, 17461
28 - 37, *, pre-primary, *, *, *, *, *, 9475
28 - 37, *, pre-primary, *, *, *, *, *, 5592
28 - 37, *, pre-primary, *, *, *, *, *, 14012
28 - 37, *, pre-primary, *, *, *, *, *, 19231
28 - 37, *, pre-primary, *, *, *, *, *, 15086
28 - 37, *, pre-primary, *, *, *, *, *, 15797
28 - 37, *, pre-primary, *, *, *, *, *, 11398
28 - 37, *, pre-primary, *, *, *, *, *, 7296
28 - 37, *, pre-primary, *, *, *, *, *, 15650
28 - 37, *, pre-primary, *, *, *, *, *, 7369
28 - 37, *, pre-primary, *, *, *, *, *, 7633
28 - 37, *, pre-primary, *, *, *, *, *, 16035
28 - 37, *, pre-primary, *, *, *, *, *, 11518
28 - 37, *, pre-primary, *, *, *, *, *, 6697
28 - 37, *, pre-primary, *, *, *, *, *, 19594
28 - 37, *, pre-primary, *, *, *, *, *, 13308
28 - 37, *, pre-primary, *, *, *, *, *, 17428
28 - 37, *, pre-primary, *, *, *, *, *, 5016
28 - 37, *, pre-primary, *, *, *, *, *, 17291
28 - 37, *, pre-primary, *, *, *, *, *, 15763
28 - 37, *, pre-primary, *, *, *, *, *, 10097
28 - 37, *, pre-primary, *, *, *, *, *, 11695
28 - 37, *, pre-primary, *, *, *, *, *, 14451
28 - 37, *, pre-primary, *, *, *, *, *, 6333
28 - 37, *, pre-primary, *, *, *, *, *, 15851
28 - 37, *, pre-primary, *, *, *, *, *, 11328
28 - 37, *, pre-primary, *, *, *, *, *, 18000
28 - 37, *, pre-primary, *, *, *, *, *, 15208
28 - 37, *, pre-primary, *, *, *, *, *, 19039
28 - 37, *, pre-primary, *, *, *, *, *, 16093
28 - 37, *, pre-primary, *, *, *, *, *, 19274
28 - 37, *, pre-primary, *, *, *, *, *, 8259
28 - 37, *, pre-primary, *, *, *, *, *, 10279
28 - 37, *, pre-primary, *, *, *, *, *, 8298
28 - 37, *, pre-primary, *, *, *, *, *, 16054
28 - 37, *, pre-primary, *, *, *, *, *, 19728
28 - 37, *, pre-primary, *, *, *, *, *, 19091
28 - 37, *, pre-primary, *, *, *, *, *, 12938
28 - 37, *, pre-primary, *, *, *, *, *, 19262
28 - 37, *, pre-primary, *, *, *, *, *, 15255
28 - 37, *, pre-primary, *, *, *, *, *, 16715
28 - 37, *, pre-primary, *, *, *, *, *, 5373
28 - 37, *, pre-primary, *, *, *, *, *, 6776
28 - 37, *, pre-primary, *, *, *, *, *, 18237
28 - 37, *, pre-primary, *, *, *, *, *, 10165
28 - 37, *, pre-primary, *, *, *, *, *, 8339
28 - 37, *, pre-primary, *, *, *, *, *, 5383
28 - 37, *, pre-primary, *, *, *, *, *, 12882
28 - 37, *, pre-primary, *, *, *, *, *, 16043
28 - 37, *, pre-primary, *, *, *, *, *, 9694
28 - 37, *, pre-primary, *, *, *, *, *, 7015
28 - 37, *, pre-primary, *, *, *, *, *, 7518
28 - 37, *, pre-primary, *, *, *, *, *, 10522
28 - 37, *, pre-primary, *, *, *, *, *, 17228
28 - 37, *, pre-primary, *, *, *, *, *, 10144
28 - 37, *, pre-primary, *, *, *, *, *, 11152
28 - 37, *, pre-primary, *, *, *, *, *, 14525
28 - 37, *, pre-primary, *, *, *, *, *, 6702
28 - 37, *, pre-primary, *, *, *, *, *, 6884
28 - 37, *, pre-primary, *, *, *, *, *, 17894
28 - 37, *, pre-primary, *, *, *, *, *, 10145
28 - 37, *, pre-primary, *, *, *, *, *, 8417
28 - 37, *, pre-primary, *, *, *, *, *, 6389
28 - 37, *, pre-primary, *, *, *, *, *, 12526
28 - 37, *, pre-primary, *, *, *, *, *, 19090
28 - 37, *, pre-primary, *, *, *, *, *, 11416
28 - 37, *, pre-primary, *, *, *, *, *, 10144
28 - 37, *, pre-primary, *, *, *, *, *, 18648
28 - 37, *, pre-primary, *, *, *, *, *, 16904
28 - 37, *, pre-primary, *, *, *, *, *, 7607
28 - 37, *, pre-primary, *, *, *, *, *, 6023
28 - 37, *, pre-primary, *, *, *, *, *, 12256
28 - 37, *, pre-primary, *, *, *, *, *, 5587
28 - 37, *, pre-primary, *, *, *, *, *, 5017
28 - 37, *, pre-primary, *, *, *, *, *, 18628
28 - 37, *, pre-primary, *, *, *, *, *, 11510
28 - 37, *, pre-primary, *, *, *, *, *, 10811
28 - 37, *, pre-primary, *, *, *, *, *, 9732
28 - 37, *, pre-primary, *, *, *, *, *, 13892
28 - 37, *, pre-primary, *, *, *, *, *, 10245
28 - 37, *, pre-primary, *, *, *, *, *, 14656
28 - 37, *, pre-primary, *, *, *, *, *, 6418
28 - 37, *, pre-primary, *, *, *, *, *, 13432
28 - 37, *, pre-primary, *, *, *, *, *, 15603
28 - 37, *, pre-primary, *, *, *, *, *, 12650
28 - 37, *, pre-primary, *, *, *, *, *, 13260
28 - 37, *, pre-primary, *, *, *, *, *, 12334
28 - 37, *, pre-primary, *, *, *, *, *, 5674
28 - 37, *, pre-primary, *, *, *, *, *, 17835
28 - 37, *, pre-primary, *, *, *, *, *, 8312
28 - 37, *, pre-primary, *, *, *, *, *, 18137
28 - 37, *, pre-primary, *, *, *, *, *, 12890
28 - 37, *, pre-primary, *, *, *, *, *, 8263
17 - 26, *, pre-high-school, married, *, *, male, *, 41769
17 - 26, *, pre-high-school, married, *, *, male, *, 41750
17 - 26, *, pre-high-school, married, *, *, male, *, 76192
17 - 26, *, pre-high-school, married, *, *, male, *, 38701
17 - 26, *, pre-high-school, married, *, *, male, *, 84828
17 - 26, *, pre-high-school, married, *, *, male, *, 37571
17 - 26, *, pre-high-school, married, *, *, male, *, 53700
17 - 26, *, pre-high-school, married, *, *, male, *, 33716
17 - 26, *, pre-high-school, married, *, *, male, *, 13619
17 - 26, *, pre-high-school, married, *, *, male, *, 49156
17 - 26, *, pre-high-school, married, *, *, male, *, 47259
17 - 26, *, pre-high-school, married, *, *, male, *, 73059
17 - 26, *, pre-high-school, married, *, *, male, *, 77789
17 - 26, *, pre-high-school, married, *, *, male, *, 48513
17 - 26, *, pre-high-school, married, *, *, male, *, 79272
17 - 26, *, pre-high-school, married, *, *, male, *, 42604
17 - 26, *, pre-high-school, married, *, *, male, *, 28491
17 - 26, *, pre-high-school, married, *, *, male, *, 72471
17 - 26, *, pre-high-school, married, *, *, male, *, 63687
17 - 26, *, pre-high-school, married, *, *, male, *, 34954
17 - 26, *, pre-high-school, married, *, *, male, *, 79183
17 - 26, *, pre-high-school, married, *, *, male, *, 24880
17 - 26, *, pre-high-school, married, *, *, male, *, 66253
17 - 26, *, pre-high-school, married, *, *, male, *, 74145
17 - 26, *, pre-high-school, married, *, *, male, *, 44754
17 - 26, *, pre-high-school, married, *, *, male, *, 41418
17 - 26, *, pre-high-school, married, *, *, male, *, 42819
17 - 26, *, pre-high-school, married, *, *, male, *, 35665
17 - 26, *, pre-high-school, married, *, *, male, *, 49040
17 - 26, *, pre-high-school, married, *, *, male, *, 34023
17 - 26, *, pre-high-school, married, *, *, male, *, 16016
17 - 26, *, pre-high-school, married, *, *, male, *, 65575
17 - 26, *, pre-high-school, married, *, *, male, *, 71630
17 - 26, *, pre-high-school, married, *, *, male, *, 10521
17 - 26, *, pre-high-school, married, *, *, male, *, 52593
17 - 26, *, pre-high-school, married, *, *, male, *, 36730
17 - 26, *, pre-high-school, married, *, *, male, *, 53723
17 - 26, *, pre-high-school, married, *, *, male, *, 58371
17 - 26, *, pre-high-school, married, *, *, male, *, 10508
17 - 26, *, pre-high-school, married, *, *, male, *, 46327
17 - 26, *, pre-high-school, married, *, *, male, *, 49198
17 - 26, *, pre-high-school, married, *, *, male, *, 51225
17 - 26, *, pre-high-school, married, *, *, male, *, 58545
17 - 26, *, pre-high-school, married, *, *, male, *, 55109
17 - 26, *, pre-high-school, married, *, *, male, *, 30943
17 - 26, *, pre-high-school, married, *, *, male, *, 55918
17 - 26, *, pre-high-school, married, *, *, male, *, 62533
17 - 26, *, pre-high-school, married, *, *, male, *, 37739
17 - 26, *, pre-high-school, married, *, *, male, *, 48334
17 - 26, *, pre-high-school, married, *, *, male, *, 69409
17 - 26, *, pre-high-school, married, *, *, male, *, 59863
17 - 26, *, pre-high-school, married, *, *, male, *, 35888
17 - 26, *, pre-high-school, married, *, *, male, *, 52655
17 - 26, *, pre-high-school, married, *, *, male, *, 33714
17 - 26, *, pre-high-school, married, *, *, male, *, 27333
17 - 26, *, pre-high-school, married, *, *, male, *, 68585
17 - 26, *, pre-high-school, married, *, *, male, *, 89156
17 - 26, *, pre-high-school, married, *, *, male, *, 74953
17 - 26, *, pre-high-school, married, *, *, male, *, 20125
17 - 26, *, pre-high-school, married, *, *, male, *, 70165
17 - 26, *, pre-high-school, married, *, *, male, *, 52669
17 - 26, *, pre-high-school, married, *, *, male, *, 71141
17 - 26, *, pre-high-school, married, *, *, male, *, 66087
17 - 26, *, pre-high-school, married, *, *, male, *, 37763
17 - 26, *, pre-high-school, married, *, *, male, *, 56468
17 - 26, *, pre-high-school, married, *, *, male, *, 49930
17 - 26, *, pre-high-school, married, *, *, male, *, 57214
17 - 26, *, pre-high-school, married, *, *, male, *, 46914
17 - 26, *, pre-high-school, married, *, *, male, *, 73641
17 - 26, *, pre-high-school, married, *, *, male, *, 62430
17 - 26, *, pre-high-school, married, *, *, male, *, 71041
17 - 26, *, pre-high-school, married, *, *, male, *, 55276
17 - 26, *, pre-high-school, married, *, *, male, *, 49622
17 - 26, *, pre-high-school, married, *, *, male, *, 43959
17 - 26, *, pre-high-school, married, *, *, male, *, 56221
17 - 26, *, pre-high-school, married, *, *, male, *, 64183
17 - 26, *, pre-high-school, married, *, *, male, *, 37204
17 - 26, *, pre-high-school, married, *, *, male, *, 31881
17 - 26, *, pre-high-school, married, *, *, male, *, 55564
17 - 26, *, pre-high-school, married, *, *, male, *, 74973
17 - 26, *, pre-high-school, married, *, *, male, *, 44702
17 - 26, *, pre-high-school, married, *, *, male, *, 73748
17 - 26, *, pre-high-school, married, *, *, male, *, 70637
17 - 26, *, pre-high-school, married, *, *, male, *, 26787
17 - 26, *, pre-high-school, married, *, *, male, *, 31556
17 - 26, *, pre-high-school, married, *, *, male, *, 73423
17 - 26, *, pre-high-school, married, *, *, male, *, 33761
17 - 26, *, pre-high-school, married, *, *, male, *, 63455
17 - 26, *, pre-high-school, married, *, *, male, *, 32264
17 - 26, *, pre-high-school, married, *, *, male, *, 48152
17 - 26, *, pre-high-school, married, *, *, male, *, 69983
17 - 26, *, pre-high-school, married, *, *, male, *, 69482
17 - 26, *, pre-high-school, married, *, *, male, *, 79572
17 - 26, *, pre-high-school, married, *, *, male, *, 65806
17 - 26, *, pre-high-school, married, *, *, male, *, 40855
17 - 26, *, pre-high-school, married, *, *, male, *, 49559
17 - 26, *, pre-high-school, married, *, *, male, *, 70351
17 - 26, *, pre-high-school, married, *, *, male, *, 61225
17 - 26, *, pre-high-school, married, *, *, male, *, 58723
17 - 26, *, pre-high-school, married, *, *, male, *, 24439
17 - 26, *, pre-high-school, married, *, *, male, *, 77061
17 - 26, *, pre-high-school, married, *, *, male, *, 25117
17 - 26, *, pre-high-school, married, *, *, male, *, 56495
17 - 26, *, pre-high-school, married, *, *, male, *, 68831
17 - 26, *, pre-high-school, married, *, *, male, *, 57621
17 - 26, *, pre-high-school, married, *, *, male, *, 59817
17 - 26, *, pre-high-school, married, *, *, male, *, 61918
17 - 26, *, pre-high-school, married, *, *, male, *, 44283
17 - 26, *, pre-high-school, married, *, *, male, *, 78999
17 - 26, *, pre-high-school, married, *, *, male, *, 48986
17 - 26, *, pre-high-school, married, *, *, male, *, 52112
17 - 26, *, pre-high-school, married, *, *, male, *, 70940
17 - 26, *, pre-high-school, married, *, *, male, *, 36343
17 - 26, *, pre-high-school, married, *, *, male, *, 25835
17 - 26, *, pre-high-school, married, *, *, male, *, 59480
17 - 26, *, pre-high-school, married, *, *, male, *, 36849
17 - 26, *, pre-high-school, married, *, *, male, *, 32373
17 - 26, *, pre-high-school, married, *, *, male, *, 55785
17 - 26, *, pre-high-school, married, *, *, male, *, 21231
17 - 26, *, pre-high-school, married, *, *, male, *, 56932
17 - 26, *, pre-high-school, married, *, *, male, *, 33718
17 - 26, *, pre-high-school, married, *, *, male, *, 68270
17 - 26, *, pre-high-school, married, *, *, male, *, 35850
17 - 26, *, pre-high-school, married, *, *, male, *, 42398
27 - 30, *, pre-high-school, married, *, *, male, *, 67822
27 - 30, *, pre-high-school, married, *, *, male, *, 35327
27 - 30, *, pre-high-school, married, *, *, male, *, 70157
27 - 30, *, pre-high-school, married, *, *, male, *, 29200
27 - 30, *, pre-high-school, married, *, *, male, *, 35359
27 - 30, *, pre-high-school, married, *, *, male, *, 32122
27 - 30, *, pre-high-school, married, *, *, male, *, 55192
27 - 30, *, pre-high-school, married, *, *, male, *, 56149
27 - 30, *, pre-high-school, married, *, *, male, *, 27074
27 - 30, *, pre-high-school, married, *, *, male, *, 32462
27 - 30, *, pre-high-school, married, *, *, male, *, 19682
27 - 30, *, pre-high-school, married, *, *, male, *, 52832
27 - 30, *, pre-high-school, married, *, *, male, *, 41622
27 - 30, *, pre-high-school, married, *, *, male, *, 41495
27 - 30, *, pre-high-school, married, *, *, male, *, 29146
27 - 30, *, pre-high-school, married, *, *, male, *, 35342
27 - 30, *, pre-high-school, married, *, *, male, *, 16917
27 - 30, *, pre-high-school, married, *, *, male, *, 63811
27 - 30, *, pre-high-school, married, *, *, male, *, 24936
27 - 30, *, pre-high-school, married, *, *, male, *, 64970
27 - 30, *, pre-high-school, married, *, *, male, *, 65726
27 - 30, *, pre-high-school, married, *, *, male, *, 32817
27 - 30, *, pre-high-school, married, *, *, male, *, 52329
27 - 30, *, pre-high-school, married, *, *, male, *, 37411
27 - 30, *, pre-high-school, married, *, *, male, *, 38582
27 - 30, *, pre-high-school, married, *, *, male, *, 41680
27 - 30, *, pre-high-school, married, *, *, male, *, 49084
27 - 30, *, pre-high-school, married, *, *, male, *, 57993
27 - 30, *, pre-high-school, married, *, *, male, *, 54063
27 - 30, *, pre-high-school, married, *, *, male, *, 83520
27 - 30, *, pre-high-school, married, *, *, male, *, 54965
27 - 30, *, pre-high-school, married, *, *, male, *, 45478
27 - 30, *, pre-high-school, married, *, *, male, *, 67208
27 - 30, *, pre-high-school, married, *, *, male, *, 61491
27 - 30, *, pre-high-school, married, *, *, male, *, 50216
27 - 30, *, pre-high-school, married, *, *, male, *, 37042
27 - 30, *, pre-high-school, married, *, *, male, *, 77306
27 - 30, *, pre-high-school, married, *, *, male, *, 55583
27 - 30, *, pre-high-school, married, *, *, male, *, 45902
27 - 30, *, pre-high-school, married, *, *, male, *, 17235
27 - 30, *, pre-high-school, married, *, *, male, *, 59326
27 - 30, *, pre-high-school, married, *, *, male, *, 73641
27 - 30, *, pre-high-school, married, *, *, male, *, 51695
27 - 30, *, pre-high-school, married, *, *, male, *, 36413
27 - 30, *, pre-high-school, married, *, *, male, *, 52513
27 - 30, *, pre-high-school, married, *, *, male, *, 35592
27 - 30, *, pre-high-school, married, *, *, male, *, 56699
27 - 30, *, pre-high-school, married, *, *, male, *, 47706
27 - 30, *, pre-high-school, married, *, *, male, *, 32802
27 - 30, *, pre-high-school, married, *, *, male, *, 65704
27 - 30, *, pre-high-school, married, *, *, male, *, 37343
27 - 30, *, pre-high-school, married, *, *, male, *, 66807
27 - 30, *, pre-high-school, married, *, *, male, *, 23184
27 - 30, *, pre-high-school, married, *, *, male, *, 67661
27 - 30, *, pre-high-school, married, *, *, male, *, 55579
27 - 30, *, pre-high-school, married, *, *, male, *, 60737
27 - 30, *, pre-high-school, married, *, *, male, *, 40753
27 - 30, *, pre-high-school, married, *, *, male, *, 53662
27 - 30, *, pre-high-school, married, *, *, male, *, 37411
27 - 30, *, pre-high-school, married, *, *, male, *, 23657
27 - 30, *, pre-high-school, married, *, *, male, *, 31099
27 - 30, *, pre-high-school, married, *, *, male, *, 21995
27 - 30, *, pre-high-school, married, *, *, male, *, 73923
27 - 30, *, pre-high-school, married, *, *, male, *, 37781
27 - 30, *, pre-high-school, married, *, *, male, *, 31029
27 - 30, *, pre-high-school, married, *, *, male, *, 26321
27 - 30, *, pre-high-school, married, *, *, male, *, 79425
27 - 30, *, pre-high-school, married, *, *, male, *, 52333
27 - 30, *, pre-high-school, married, *, *, male, *, 35291
27 - 30, *, pre-high-school, married, *, *, male, *, 30886
27 - 30, *, pre-high-school, married, *, *, male, *, 54394
27 - 30, *, pre-high-school, married, *, *, male, *, 71335
27 - 30, *, pre-high-school, married, *, *, male, *, 37117
27 - 30, *, pre-high-school, married, *, *, male, *, 31241
27 - 30, *, pre-high-school, married, *, *, male, *, 50889
27 - 30, *, pre-high-school, married, *, *, male, *, 38541
27 - 30, *, pre-high-school, married, *, *, male, *, 69573
27 - 30, *, pre-high-school, married, *, *, male, *, 26240
27 - 30, *, pre-high-school, married, *, *, male, *, 63567
27 - 30, *, pre-high-school, married, *, *, male, *, 42137
27 - 30, *, pre-high-school, married, *, *, male, *, 66810
27 - 30, *, pre-high-school, married, *, *, male, *, 56445
27 - 30, *, pre-high-school, married, *, *, male, *, 41592
27 - 30, *, pre-high-school, married, *, *, male, *, 67881
27 - 30, *, pre-high-school, married, *, *, male, *, 73309
27 - 30, *, pre-high-school, married, *, *, male, *, 61135
27 - 30, *, pre-high-school, married, *, *, male, *, 42629
27 - 30, *, pre-high-school, married, *, *, male, *, 60100
27 - 30, *, pre-high-school, married, *, *, male, *, 44063
27 - 30, *, pre-high-school, married, *, *, male, *, 57147
27 - 30, *, pre-high-school, married, *, *, male, *, 72872
27 - 30, *, pre-high-school, married, *, *, male, *, 30386
27 - 30, *, pre-high-school, married, *, *, male, *, 72311
27 - 30, *, pre-high-school, married, *, *, male, *, 21777
27 - 30, *, pre-high-school, married, *, *, male, *, 44724
27 - 30, *, pre-high-school, married, *, *, male, *, 69316
27 - 30, *, pre-high-school, married, *, *, male, *, 42657
27 - 30, *, pre-high-school, married, *, *, male, *, 21196
27 - 30, *, pre-high-school, married, *, *, male, *, 72800
27 - 30, *, pre-high-school, married, *, *, male, *, 42592
27 - 30, *, pre-high-school, married, *, *, male, *, 78862
27 - 30, *, pre-high-school, married, *, *, male, *, 10883
27 - 30, *, pre-high-school, married, *, *, male, *, 22891
27 - 30, *, pre-high-school, married, *, *, male, *, 31152
27 - 30, *, pre-high-school, married, *, *, male, *, 46447
27 - 30, *, pre-high-school, married, *, *, male, *, 12195
27 - 30, *, pre-high-school, married, *, *, male, *, 34134
27 - 30, *, pre-high-school, married, *, *, male, *, 44263
27 - 30, *, pre-high-school, married, *, *, male, *, 38812
27 - 30, *, pre-high-school, married, *, *, male, *, 34206
27 - 30, *, pre-high-school, married, *, *, male, *, 46744
27 - 30, *, pre-high-school, married, *, *, male, *, 49141
27 - 30, *, pre-high-school, married, *, *, male, *, 41400
27 - 30, *, pre-high-school, married, *, *, male, *, 22982
27 - 30, *, pre-high-school, married, *, *, male, *, 37809
27 - 30, *, pre-high-school, married, *, *, male, *, 48436
27 - 30, *, pre-high-school, married, *, *, male, *, 32330
31 - 34, *, pre-high-school, married, *, *, male, *, 47953
31 - 34, *, pre-high-school, married, *, *, male, *, 25844
31 - 34, *, pre-high-school, married, *, *, male, *, 54706
31 - 34, *, pre-high-school, married, *, *, male, *, 37457
31 - 34, *, pre-high-school, married, *, *, male, *, 36528
31 - 34, *, pre-high-school, married, *, *, male, *, 31942
31 - 34, *, pre-high-school, married, *, *, male, *, 66445
31 - 34, *, pre-high-school, married, *, *, male, *, 26829
31 - 34, *, pre-high-school, married, *, *, male, *, 51202
31 - 34, *, pre-high-school, married, *, *, male, *, 70125
31 - 34, *, pre-high-school, married, *, *, male, *, 57092
31 - 34, *, pre-high-school, married, *, *, male, *, 72697
31 - 34, *, pre-high-school, married, *, *, male, *, 57991
31 - 34, *, pre-high-school, married, *, *, male, *, 48035
31 - 34, *, pre-high-school, married, *, *, male, *, 65508
31 - 34, *, pre-high-school, married, *, *, male, *, 46375
31 - 34, *, pre-high-school, married, *, *, male, *, 52491
31 - 34, *, pre-high-school, married, *, *, male, *, 25164
31 - 34, *, pre-high-school, married, *, *, male, *, 52205
31 - 34, *, pre-high-school, married, *, *, male, *, 33264
31 - 34, *, pre-high-school, married, *, *, male, *, 38743
31 - 34, *, pre-high-school, married, *, *, male, *, 49120
31 - 34, *, pre-high-school, married, *, *, male, *, 39383
31 - 34, *, pre-high-school, married, *, *, male, *, 40070
31 - 34, *, pre-high-school, married, *, *, male, *, 53470
31 - 34, *, pre-high-school, married, *, *, male, *, 72619
31 - 34, *, pre-high-school, married, *, *, male, *, 58742
31 - 34, *, pre-high-school, married, *, *, male, *, 55807
31 - 34, *, pre-high-school, married, *, *, male, *, 55867
