17 - 24, *, *, married, *, *, male, *, 76623
17 - 24, *, *, married, *, *, male, *, 86317
17 - 24, *, *, married, *, *, male, *, 20125
17 - 24, *, *, married, *, *, male, *, 76714
17 - 24, *, *, married, *, *, male, *, 63286
17 - 24, *, *, married, *, *, male, *, 57714
17 - 24, *, *, married, *, *, male, *, 55584
17 - 24, *, *, married, *, *, male, *, 70165
17 - 24, *, *, married, *, *, male, *, 52669
17 - 24, *, *, married, *, *, male, *, 76954
17 - 24, *, *, married, *, *, male, *, 47977
17 - 24, *, *, married, *, *, male, *, 85250
17 - 24, *, *, married, *, *, male, *, 60882
17 - 24, *, *, married, *, *, male, *, 119932
17 - 24, *, *, married, *, *, male, *, 53438
17 - 24, *, *, married, *, *, male, *, 58657
17 - 24, *, *, married, *, *, male, *, 54544
17 - 24, *, *, married, *, *, male, *, 51412
17 - 24, *, *, married, *, *, male, *, 81566
17 - 24, *, *, married, *, *, male, *, 93097
17 - 24, *, *, married, *, *, male, *, 66087
17 - 24, *, *, married, *, *, male, *, 80894
17 - 24, *, *, married, *, *, male, *, 90956
17 - 24, *, *, married, *, *, male, *, 82928
17 - 24, *, *, married, *, *, male, *, 72946
17 - 24, *, *, married, *, *, male, *, 53091
17 - 24, *, *, married, *, *, male, *, 87040
17 - 24, *, *, married, *, *, male, *, 37763
17 - 24, *, *, married, *, *, male, *, 60018
17 - 24, *, *, married, *, *, male, *, 86174
17 - 24, *, *, married, *, *, male, *, 48218
17 - 24, *, *, married, *, *, male, *, 47539
17 - 24, *, *, married, *, *, male, *, 123995
17 - 24, *, *, married, *, *, male, *, 35889
17 - 24, *, *, married, *, *, male, *, 78162
17 - 24, *, *, married, *, *, male, *, 78331
17 - 24, *, *, married, *, *, male, *, 64904
17 - 24, *, *, married, *, *, male, *, 57214
17 - 24, *, *, married, *, *, male, *, 45943
17 - 24, *, *, married, *, *, male, *, 79686
17 - 24, *, *, married, *, *, male, *, 46914
17 - 24, *, *, married, *, *, male, *, 63192
17 - 24, *, *, married, *, *, male, *, 57305
17 - 24, *, *, married, *, *, male, *, 51862
17 - 24, *, *, married, *, *, male, *, 80706
17 - 24, *, *, married, *, *, male, *, 72802
17 - 24, *, *, married, *, *, male, *, 59325
17 - 24, *, *, married, *, *, male, *, 102846
17 - 24, *, *, married, *, *, male, *, 39747
17 - 24, *, *, married, *, *, male, *, 59537
17 - 24, *, *, married, *, *, male, *, 88084
17 - 24, *, *, married, *, *, male, *, 37007
17 - 24, *, *, married, *, *, male, *, 72436
17 - 24, *, *, married, *, *, male, *, 41440
17 - 24, *, *, married, *, *, male, *, 62430
17 - 24, *, *, married, *, *, male, *, 62412
17 - 24, *, *, married, *, *, male, *, 42952
17 - 24, *, *, married, *, *, male, *, 71041
17 - 24, *, *, married, *, *, male, *, 42913
17 - 24, *, *, married, *, *, male, *, 55276
17 - 24, *, *, married, *, *, male, *, 64642
17 - 24, *, *, married, *, *, male, *, 89968
17 - 24, *, *, married, *, *, male, *, 54851
17 - 24, *, *, married, *, *, male, *, 49572
17 - 24, *, *, married, *, *, male, *, 49622
17 - 24, *, *, married, *, *, male, *, 75634
17 - 24, *, *, married, *, *, male, *, 56221
17 - 24, *, *, married, *, *, male, *, 78667
17 - 24, *, *, married, *, *, male, *, 45445
17 - 24, *, *, married, *, *, male, *, 81747
17 - 24, *, *, married, *, *, male, *, 68536
17 - 24, *, *, married, *, *, male, *, 44260
17 - 24, *, *, married, *, *, male, *, 49024
17 - 24, *, *, married, *, *, male, *, 71223
17 - 24, *, *, married, *, *, male, *, 61221
17 - 24, *, *, married, *, *, male, *, 63208
17 - 24, *, *, married, *, *, male, *, 46827
17 - 24, *, *, married, *, *, male, *, 60030
17 - 24, *, *, married, *, *, male, *, 63540
17 - 24, *, *, married, *, *, male, *, 80090
17 - 24, *, *, married, *, *, male, *, 37204
17 - 24, *, *, married, *, *, male, *, 42962
17 - 24, *, *, married, *, *, male, *, 31881
17 - 24, *, *, married, *, *, male, *, 75299
17 - 24, *, *, married, *, *, male, *, 55564
17 - 24, *, *, married, *, *, male, *, 74973
17 - 24, *, *, married, *, *, male, *, 55992
17 - 24, *, *, married, *, *, male, *, 44702
17 - 24, *, *, married, *, *, male, *, 41911
17 - 24, *, *, married, *, *, male, *, 73748
17 - 24, *, *, married, *, *, male, *, 92424
17 - 24, *, *, married, *, *, male, *, 47004
17 - 24, *, *, married, *, *, male, *, 93806
17 - 24, *, *, married, *, *, male, *, 82668
17 - 24, *, *, married, *, *, male, *, 70637
17 - 24, *, *, married, *, *, male, *, 57384
17 - 24, *, *, married, *, *, male, *, 86889
17 - 24, *, *, married, *, *, male, *, 73423
17 - 24, *, *, married, *, *, male, *, 89236
17 - 24, *, *, married, *, *, male, *, 66099
17 - 24, *, *, married, *, *, male, *, 56409
17 - 24, *, *, married, *, *, male, *, 33761
17 - 24, *, *, married, *, *, male, *, 88264
17 - 24, *, *, married, *, *, male, *, 60809
17 - 24, *, *, married, *, *, male, *, 63455
17 - 24, *, *, married, *, *, male, *, 114908
17 - 24, *, *, married, *, *, male, *, 48152
17 - 24, *, *, married, *, *, male, *, 69983
17 - 24, *, *, married, *, *, male, *, 66350
17 - 24, *, *, married, *, *, male, *, 43015
17 - 24, *, *, married, *, *, male, *, 81181
17 - 24, *, *, married, *, *, male, *, 57913
17 - 24, *, *, married, *, *, male, *, 35292
17 - 24, *, *, married, *, *, male, *, 92889
17 - 24, *, *, married, *, *, male, *, 128021
17 - 24, *, *, married, *, *, male, *, 40705
17 - 24, *, *, married, *, *, male, *, 65806
17 - 24, *, *, married, *, *, male, *, 59289
17 - 24, *, *, married, *, *, male, *, 41696
17 - 24, *, *, married, *, *, male, *, 49559
17 - 24, *, *, married, *, *, male, *, 90041
17 - 24, *, *, married, *, *, male, *, 90864
17 - 24, *, *, married, *, *, male, *, 70058
17 - 24, *, *, married, *, *, male, *, 71426
17 - 24, *, *, married, *, *, male, *, 83980
17 - 24, *, *, married, *, *, male, *, 61225
17 - 24, *, *, married, *, *, male, *, 88080
17 - 24, *, *, married, *, *, male, *, 69256
17 - 24, *, *, married, *, *, male, *, 91106
17 - 24, *, *, married, *, *, male, *, 39667
17 - 24, *, *, married, *, *, male, *, 83515
17 - 24, *, *, married, *, *, male, *, 90758
17 - 24, *, *, married, *, *, male, *, 43552
17 - 24, *, *, married, *, *, male, *, 58723
17 - 24, *, *, married, *, *, male, *, 40742
17 - 24, *, *, married, *, *, male, *, 73519
17 - 24, *, *, married, *, *, male, *, 86063
17 - 24, *, *, married, *, *, male, *, 49554
17 - 24, *, *, married, *, *, male, *, 98606
17 - 24, *, *, married, *, *, male, *, 94593
17 - 24, *, *, married, *, *, male, *, 52549
17 - 24, *, *, married, *, *, male, *, 81572
17 - 24, *, *, married, *, *, male, *, 65734
17 - 24, *, *, married, *, *, male, *, 72199
17 - 24, *, *, married, *, *, male, *, 24439
17 - 24, *, *, married, *, *, male, *, 75749
17 - 24, *, *, married, *, *, male, *, 99969
17 - 24, *, *, married, *, *, male, *, 66042
17 - 24, *, *, married, *, *, male, *, 78559
17 - 24, *, *, married, *, *, male, *, 73241
17 - 24, *, *, married, *, *, male, *, 87125
17 - 24, *, *, married, *, *, male, *, 54014
17 - 24, *, *, married, *, *, male, *, 62636
17 - 24, *, *, married, *, *, male, *, 40036
17 - 24, *, *, married, *, *, male, *, 77061
17 - 24, *, *, married, *, *, male, *, 25117
17 - 24, *, *, married, *, *, male, *, 136705
17 - 24, *, *, married, *, *, male, *, 83913
17 - 24, *, *, married, *, *, male, *, 74430
17 - 24, *, *, married, *, *, male, *, 73303
17 - 24, *, *, married, *, *, male, *, 67084
17 - 24, *, *, married, *, *, male, *, 68831
17 - 24, *, *, married, *, *, male, *, 57621
17 - 24, *, *, married, *, *, male, *, 43405
17 - 24, *, *, married, *, *, male, *, 86818
17 - 24, *, *, married, *, *, male, *, 63608
17 - 24, *, *, married, *, *, male, *, 61918
17 - 24, *, *, married, *, *, male, *, 113258
17 - 24, *, *, married, *, *, male, *, 93778
17 - 24, *, *, married, *, *, male, *, 56276
17 - 24, *, *, married, *, *, male, *, 84694
17 - 24, *, *, married, *, *, male, *, 64242
17 - 24, *, *, married, *, *, male, *, 90111
17 - 24, *, *, married, *, *, male, *, 112168
17 - 24, *, *, married, *, *, male, *, 88014
17 - 24, *, *, married, *, *, male, *, 44283
17 - 24, *, *, married, *, *, male, *, 111594
17 - 24, *, *, married, *, *, male, *, 56527
17 - 24, *, *, married, *, *, male, *, 91641
17 - 24, *, *, married, *, *, male, *, 52556
17 - 24, *, *, married, *, *, male, *, 89897
17 - 24, *, *, married, *, *, male, *, 63618
17 - 24, *, *, married, *, *, male, *, 67002
17 - 24, *, *, married, *, *, male, *, 42069
17 - 24, *, *, married, *, *, male, *, 55884
17 - 24, *, *, married, *, *, male, *, 51398
17 - 24, *, *, married, *, *, male, *, 90281
17 - 24, *, *, married, *, *, male, *, 87123
17 - 24, *, *, married, *, *, male, *, 61462
17 - 24, *, *, married, *, *, male, *, 96541
17 - 24, *, *, married, *, *, male, *, 64091
17 - 24, *, *, married, *, *, male, *, 54537
17 - 24, *, *, married, *, *, male, *, 89609
17 - 24, *, *, married, *, *, male, *, 76647
17 - 24, *, *, married, *, *, male, *, 60641
17 - 24, *, *, married, *, *, male, *, 61282
17 - 24, *, *, married, *, *, male, *, 46052
17 - 24, *, *, married, *, *, male, *, 76733
17 - 24, *, *, married, *, *, male, *, 55753
17 - 24, *, *, married, *, *, male, *, 50399
17 - 24, *, *, married, *, *, male, *, 78999
17 - 24, *, *, married, *, *, male, *, 39917
17 - 24, *, *, married, *, *, male, *, 59560
17 - 24, *, *, married, *, *, male, *, 83240
17 - 24, *, *, married, *, *, male, *, 93464
17 - 24, *, *, married, *, *, male, *, 61995
17 - 24, *, *, married, *, *, male, *, 48986
17 - 24, *, *, married, *, *, male, *, 85209
17 - 24, *, *, married, *, *, male, *, 57619
17 - 24, *, *, married, *, *, male, *, 36712
17 - 24, *, *, married, *, *, male, *, 35068
17 - 24, *, *, married, *, *, male, *, 67195
17 - 24, *, *, married, *, *, male, *, 85188
17 - 24, *, *, married, *, *, male, *, 18926
17 - 24, *, *, married, *, *, male, *, 42894
17 - 24, *, *, married, *, *, male, *, 94758
17 - 24, *, *, married, *, *, male, *, 74903
17 - 24, *, *, married, *, *, male, *, 46418
17 - 24, *, *, married, *, *, male, *, 52865
17 - 24, *, *, married, *, *, male, *, 53320
17 - 24, *, *, married, *, *, male, *, 107489
17 - 24, *, *, married, *, *, male, *, 38317
17 - 24, *, *, married, *, *, male, *, 75886
17 - 24, *, *, married, *, *, male, *, 63456
17 - 24, *, *, married, *, *, male, *, 45040
17 - 24, *, *, married, *, *, male, *, 56331
17 - 24, *, *, married, *, *, male, *, 41594
17 - 24, *, *, married, *, *, male, *, 41413
17 - 24, *, *, married, *, *, male, *, 45102
17 - 24, *, *, married, *, *, male, *, 35475
17 - 24, *, *, married, *, *, male, *, 63538
17 - 24, *, *, married, *, *, male, *, 66361
17 - 24, *, *, married, *, *, male, *, 90814
17 - 24, *, *, married, *, *, male, *, 58006
17 - 24, *, *, married, *, *, male, *, 84857
17 - 24, *, *, married, *, *, male, *, 61237
17 - 24, *, *, married, *, *, male, *, 43795
17 - 24, *, *, married, *, *, male, *, 99998
17 - 24, *, *, married, *, *, male, *, 58120
17 - 24, *, *, married, *, *, male, *, 36343
17 - 24, *, *, married, *, *, male, *, 53460
17 - 24, *, *, married, *, *, male, *, 39116
17 - 24, *, *, married, *, *, male, *, 85044
17 - 24, *, *, married, *, *, male, *, 59480
17 - 24, *, *, married, *, *, male, *, 36849
17 - 24, *, *, married, *, *, male, *, 68517
17 - 24, *, *, married, *, *, male, *, 79769
17 - 24, *, *, married, *, *, male, *, 55785
17 - 24, *, *, married, *, *, male, *, 54859
17 - 24, *, *, married, *, *, male, *, 93945
17 - 24, *, *, married, *, *, male, *, 60823
17 - 24, *, *, married, *, *, male, *, 88189
17 - 24, *, *, married, *, *, male, *, 21231
17 - 24, *, *, married, *, *, male, *, 49833
17 - 24, *, *, married, *, *, male, *, 44414
17 - 24, *, *, married, *, *, male, *, 39889
17 - 24, *, *, married, *, *, male, *, 91998
17 - 24, *, *, married, *, *, male, *, 98142
17 - 24, *, *, married, *, *, male, *, 71214
17 - 24, *, *, married, *, *, male, *, 69207
17 - 24, *, *, married, *, *, male, *, 68270
17 - 24, *, *, married, *, *, male, *, 66757
17 - 24, *, *, married, *, *, male, *, 63906
17 - 24, *, *, married, *, *, male, *, 42398
25, *, *, married, *, *, male, *, 107849
25, *, *, married, *, *, male, *, 37464
25, *, *, married, *, *, male, *, 93114
25, *, *, married, *, *, male, *, 45803
25, *, *, married, *, *, male, *, 38701
25, *, *, married, *, *, male, *, 84828
25, *, *, married, *, *, male, *, 84456
25, *, *, married, *, *, male, *, 37571
25, *, *, married, *, *, male, *, 96968
25, *, *, married, *, *, male, *, 13619
25, *, *, married, *, *, male, *, 49156
25, *, *, married, *, *, male, *, 90706
25, *, *, married, *, *, male, *, 47259
25, *, *, married, *, *, male, *, 54781
25, *, *, married, *, *, male, *, 6255
25, *, *, married, *, *, male, *, 73059
25, *, *, married, *, *, male, *, 48513
25, *, *, married, *, *, male, *, 79272
25, *, *, married, *, *, male, *, 42604
25, *, *, married, *, *, male, *, 63687
25, *, *, married, *, *, male, *, 79183
25, *, *, married, *, *, male, *, 24880
25, *, *, married, *, *, male, *, 130557
25, *, *, married, *, *, male, *, 10337
25, *, *, married, *, *, male, *, 69131
25, *, *, married, *, *, male, *, 53673
25, *, *, married, *, *, male, *, 87561
25, *, *, married, *, *, male, *, 61843
25, *, *, married, *, *, male, *, 41418
25, *, *, married, *, *, male, *, 117189
25, *, *, married, *, *, male, *, 55128
25, *, *, married, *, *, male, *, 93679
25, *, *, married, *, *, male, *, 39820
25, *, *, married, *, *, male, *, 58915
25, *, *, married, *, *, male, *, 78720
25, *, *, married, *, *, male, *, 77268
25, *, *, married, *, *, male, *, 107264
25, *, *, married, *, *, male, *, 81784
25, *, *, married, *, *, male, *, 97046
25, *, *, married, *, *, male, *, 46795
25, *, *, married, *, *, male, *, 75889
25, *, *, married, *, *, male, *, 82858
25, *, *, married, *, *, male, *, 78775
25, *, *, married, *, *, male, *, 52593
25, *, *, married, *, *, male, *, 36730
25, *, *, married, *, *, male, *, 53723
25, *, *, married, *, *, male, *, 69249
25, *, *, married, *, *, male, *, 77448
25, *, *, married, *, *, male, *, 117048
25, *, *, married, *, *, male, *, 46327
25, *, *, married, *, *, male, *, 75973
25, *, *, married, *, *, male, *, 51225
25, *, *, married, *, *, male, *, 109586
25, *, *, married, *, *, male, *, 37713
25, *, *, married, *, *, male, *, 58624
25, *, *, married, *, *, male, *, 84443
25, *, *, married, *, *, male, *, 61457
25, *, *, married, *, *, male, *, 75480
25, *, *, married, *, *, male, *, 93637
25, *, *, married, *, *, male, *, 58322
25, *, *, married, *, *, male, *, 48307
25, *, *, married, *, *, male, *, 69018
25, *, *, married, *, *, male, *, 42770
25, *, *, married, *, *, male, *, 27333
25, *, *, married, *, *, male, *, 82953
25, *, *, married, *, *, male, *, 72069
25, *, *, married, *, *, male, *, 36386
25, *, *, married, *, *, male, *, 92102
25, *, *, married, *, *, male, *, 85481
25, *, *, married, *, *, male, *, 58553
25, *, *, married, *, *, male, *, 83953
25, *, *, married, *, *, male, *, 60248
25, *, *, married, *, *, male, *, 93576
25, *, *, married, *, *, male, *, 86701
25, *, *, married, *, *, male, *, 101129
25, *, *, married, *, *, male, *, 70011
25, *, *, married, *, *, male, *, 70135
25, *, *, married, *, *, male, *, 72054
25, *, *, married, *, *, male, *, 55586
25, *, *, married, *, *, male, *, 92338
25, *, *, married, *, *, male, *, 63196
25, *, *, married, *, *, male, *, 136277
25, *, *, married, *, *, male, *, 56468
25, *, *, married, *, *, male, *, 38689
25, *, *, married, *, *, male, *, 79658
25, *, *, married, *, *, male, *, 104726
25, *, *, married, *, *, male, *, 47892
25, *, *, married, *, *, male, *, 57658
25, *, *, married, *, *, male, *, 67952
25, *, *, married, *, *, male, *, 93766
25, *, *, married, *, *, male, *, 70073
25, *, *, married, *, *, male, *, 60507
25, *, *, married, *, *, male, *, 139437
25, *, *, married, *, *, male, *, 56291
25, *, *, married, *, *, male, *, 65890
25, *, *, married, *, *, male, *, 53222
25, *, *, married, *, *, male, *, 55124
25, *, *, married, *, *, male, *, 19484
25, *, *, married, *, *, male, *, 69900
25, *, *, married, *, *, male, *, 73816
25, *, *, married, *, *, male, *, 43959
25, *, *, married, *, *, male, *, 46070
25, *, *, married, *, *, male, *, 35265
25, *, *, married, *, *, male, *, 67790
25, *, *, married, *, *, male, *, 47923
25, *, *, married, *, *, male, *, 77572
25, *, *, married, *, *, male, *, 92090
25, *, *, married, *, *, male, *, 31556
25, *, *, married, *, *, male, *, 88314
25, *, *, married, *, *, male, *, 32264
25, *, *, married, *, *, male, *, 62634
25, *, *, married, *, *, male, *, 69482
25, *, *, married, *, *, male, *, 79572
25, *, *, married, *, *, male, *, 65789
25, *, *, married, *, *, male, *, 51780
25, *, *, married, *, *, male, *, 40855
25, *, *, married, *, *, male, *, 61671
25, *, *, married, *, *, male, *, 70784
25, *, *, married, *, *, male, *, 77304
25, *, *, married, *, *, male, *, 37771
25, *, *, married, *, *, male, *, 77007
25, *, *, married, *, *, male, *, 80659
25, *, *, married, *, *, male, *, 95021
25, *, *, married, *, *, male, *, 52775
25, *, *, married, *, *, male, *, 106900
25, *, *, married, *, *, male, *, 74204
25, *, *, married, *, *, male, *, 69618
25, *, *, married, *, *, male, *, 85350
25, *, *, married, *, *, male, *, 85045
25, *, *, married, *, *, male, *, 95501
25, *, *, married, *, *, male, *, 55727
25, *, *, married, *, *, male, *, 102254
25, *, *, married, *, *, male, *, 84327
25, *, *, married, *, *, male, *, 111672
25, *, *, married, *, *, male, *, 77179
25, *, *, married, *, *, male, *, 61894
25, *, *, married, *, *, male, *, 43956
25, *, *, married, *, *, male, *, 59780
25, *, *, married, *, *, male, *, 74457
25, *, *, married, *, *, male, *, 86849
25, *, *, married, *, *, male, *, 66763
25, *, *, married, *, *, male, *, 78690
25, *, *, married, *, *, male, *, 117671
25, *, *, married, *, *, male, *, 45716
25, *, *, married, *, *, male, *, 80084
25, *, *, married, *, *, male, *, 88934
25, *, *, married, *, *, male, *, 68082
25, *, *, married, *, *, male, *, 78266
25, *, *, married, *, *, male, *, 102343
25, *, *, married, *, *, male, *, 65919
25, *, *, married, *, *, male, *, 103849
25, *, *, married, *, *, male, *, 89583
25, *, *, married, *, *, male, *, 65836
25, *, *, married, *, *, male, *, 67753
25, *, *, married, *, *, male, *, 71425
25, *, *, married, *, *, male, *, 56000
25, *, *, married, *, *, male, *, 84920
25, *, *, married, *, *, male, *, 73572
25, *, *, married, *, *, male, *, 68967
25, *, *, married, *, *, male, *, 65346
25, *, *, married, *, *, male, *, 117733
25, *, *, married, *, *, male, *, 66791
25, *, *, married, *, *, male, *, 50926
25, *, *, married, *, *, male, *, 54785
25, *, *, married, *, *, male, *, 53871
25, *, *, married, *, *, male, *, 52112
25, *, *, married, *, *, male, *, 71442
25, *, *, married, *, *, male, *, 56211
25, *, *, married, *, *, male, *, 89399
25, *, *, married, *, *, male, *, 73301
25, *, *, married, *, *, male, *, 92468
25, *, *, married, *, *, male, *, 75115
25, *, *, married, *, *, male, *, 76129
25, *, *, married, *, *, male, *, 58589
25, *, *, married, *, *, male, *, 40113
25, *, *, married, *, *, male, *, 88749
25, *, *, married, *, *, male, *, 76765
25, *, *, married, *, *, male, *, 56932
25, *, *, married, *, *, male, *, 33718
25, *, *, married, *, *, male, *, 60204
25, *, *, married, *, *, male, *, 63036
25, *, *, married, *, *, male, *, 83579
25, *, *, married, *, *, male, *, 78907
25, *, *, married, *, *, male, *, 35850
25, *, *, married, *, *, male, *, 52371
26 - 27, *, *, married, *, *, male, *, 99793
26 - 27, *, *, married, *, *, male, *, 48314
26 - 27, *, *, married, *, *, male, *, 78192
26 - 27, *, *, married, *, *, male, *, 116766
26 - 27, *, *, married, *, *, male, *, 43768
26 - 27, *, *, married, *, *, male, *, 81193
26 - 27, *, *, married, *, *, male, *, 71968
26 - 27, *, *, married, *, *, male, *, 66275
26 - 27, *, *, married, *, *, male, *, 100587
26 - 27, *, *, married, *, *, male, *, 85248
26 - 27, *, *, married, *, *, male, *, 54214
26 - 27, *, *, married, *, *, male, *, 76192
26 - 27, *, *, married, *, *, male, *, 62311
26 - 27, *, *, married, *, *, male, *, 95019
26 - 27, *, *, married, *, *, male, *, 42562
26 - 27, *, *, married, *, *, male, *, 70157
26 - 27, *, *, married, *, *, male, *, 40330
26 - 27, *, *, married, *, *, male, *, 42356
26 - 27, *, *, married, *, *, male, *, 29200
26 - 27, *, *, married, *, *, male, *, 94473
26 - 27, *, *, married, *, *, male, *, 118122
26 - 27, *, *, married, *, *, male, *, 32122
26 - 27, *, *, married, *, *, male, *, 44380
26 - 27, *, *, married, *, *, male, *, 56152
26 - 27, *, *, married, *, *, male, *, 60044
26 - 27, *, *, married, *, *, male, *, 65945
26 - 27, *, *, married, *, *, male, *, 67421
26 - 27, *, *, married, *, *, male, *, 12053
26 - 27, *, *, married, *, *, male, *, 56149
26 - 27, *, *, married, *, *, male, *, 48561
26 - 27, *, *, married, *, *, male, *, 16133
26 - 27, *, *, married, *, *, male, *, 19800
26 - 27, *, *, married, *, *, male, *, 6394
26 - 27, *, *, married, *, *, male, *, 92217
26 - 27, *, *, married, *, *, male, *, 6604
26 - 27, *, *, married, *, *, male, *, 13067
