20 - 26, *, pre-primary, married, *, *, *, *, 43685
36 - 37, *, pre-primary, married, *, *, *, *, 142542
36 - 37, *, pre-primary, married, *, *, *, *, 120701
36 - 37, *, pre-primary, married, *, *, *, *, 144943
36 - 37, *, pre-primary, married, *, *, *, *, 46832
36 - 37, *, pre-primary, married, *, *, *, *, 86665
36 - 37, *, pre-primary, married, *, *, *, *, 93550
17 - 22, *, pre-primary, never-married, *, white, male, *, 165942
17 - 22, *, pre-primary, never-married, *, white, male, *, 124718
17 - 22, *, pre-primary, never-married, *, white, male, *, 83798
17 - 22, *, pre-primary, never-married, *, white, male, *, 115148
17 - 22, *, pre-primary, never-married, *, white, male, *, 18585
17 - 22, *, pre-primary, never-married, *, white, male, *, 53555
17 - 22, *, pre-primary, never-married, *, white, male, *, 18660
17 - 22, *, pre-primary, never-married, *, white, male, *, 43964
17 - 22, *, pre-primary, never-married, *, white, male, *, 88888
17 - 22, *, pre-primary, never-married, *, white, male, *, 136712
17 - 22, *, pre-primary, never-married, *, white, male, *, 28205
17 - 22, *, pre-primary, never-married, *, white, male, *, 96703
17 - 22, *, pre-primary, never-married, *, white, male, *, 114899
17 - 22, *, pre-primary, never-married, *, white, male, *, 115972
17 - 22, *, pre-primary, never-married, *, white, male, *, 71359
17 - 22, *, pre-primary, never-married, *, white, male, *, 181523
17 - 22, *, pre-primary, never-married, *, white, male, *, 90847
17 - 22, *, pre-primary, never-married, *, white, male, *, 106125
17 - 22, *, pre-primary, never-married, *, white, male, *, 187634
17 - 22, *, pre-primary, never-married, *, white, male, *, 149869
17 - 22, *, pre-primary, never-married, *, white, male, *, 138801
17 - 22, *, pre-primary, never-married, *, white, male, *, 118071
17 - 22, *, pre-primary, never-married, *, white, male, *, 114413
17 - 22, *, pre-primary, never-married, *, white, male, *, 135271
17 - 22, *, pre-primary, never-married, *, white, male, *, 134851
17 - 22, *, pre-primary, never-married, *, white, male, *, 174045
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 50366
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 134950
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 64411
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 141466
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 131076
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 139596
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 36286
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 98165
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 178246
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 171125
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 145791
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 114104
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 44551
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 53238
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 75130
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 135885
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 174156
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 59772
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 139435
23 - 25, *, pre-primary, never-married, *, *, male, north-america, 143026
26 - 37, *, pre-primary, not-married, *, *, male, *, 172876
26 - 37, *, pre-primary, not-married, *, *, male, *, 56261
26 - 37, *, pre-primary, not-married, *, *, male, *, 114764
26 - 37, *, pre-primary, not-married, *, *, male, *, 138078
26 - 37, *, pre-primary, not-married, *, *, male, *, 181523
26 - 37, *, pre-primary, not-married, *, *, male, *, 121057
26 - 37, *, pre-primary, not-married, *, *, male, *, 60415
26 - 37, *, pre-primary, not-married, *, *, male, *, 66272
26 - 37, *, pre-primary, not-married, *, *, male, *, 116833
26 - 37, *, pre-primary, not-married, *, *, male, *, 75730
26 - 37, *, pre-primary, not-married, *, *, male, *, 89136
26 - 37, *, pre-primary, not-married, *, *, male, *, 85656
26 - 37, *, pre-primary, not-married, *, *, male, *, 121141
26 - 37, *, pre-primary, not-married, *, *, male, *, 78281
26 - 37, *, pre-primary, not-married, *, *, male, *, 76080
26 - 37, *, pre-primary, not-married, *, *, male, *, 13613
26 - 37, *, pre-primary, not-married, *, *, male, *, 66818
26 - 37, *, pre-primary, not-married, *, *, male, *, 25375
26 - 37, *, pre-primary, not-married, *, *, male, *, 23623
26 - 37, *, pre-primary, not-married, *, *, male, *, 189803
26 - 37, *, pre-primary, not-married, *, *, male, *, 84984
26 - 37, *, pre-primary, not-married, *, *, male, *, 142806
26 - 37, *, pre-primary, not-married, *, *, male, *, 70821
26 - 37, *, pre-primary, not-married, *, *, male, *, 70577
26 - 37, *, pre-primary, not-married, *, *, male, *, 164723
26 - 37, *, pre-primary, not-married, *, *, male, *, 158597
26 - 37, *, pre-primary, not-married, *, *, male, *, 168285
26 - 37, *, pre-primary, not-married, *, *, male, *, 41190
26 - 37, *, pre-primary, not-married, *, *, male, *, 153114
26 - 37, *, pre-primary, not-married, *, *, male, *, 10963
26 - 37, *, pre-primary, not-married, *, *, male, *, 115366
26 - 37, *, pre-primary, not-married, *, *, male, *, 157856
26 - 37, *, pre-primary, not-married, *, *, male, *, 176327
26 - 37, *, pre-primary, not-married, *, *, male, *, 195143
26 - 37, *, pre-primary, not-married, *, *, male, *, 33064
26 - 37, *, pre-primary, not-married, *, *, male, *, 193033
26 - 37, *, pre-primary, not-married, *, *, male, *, 155672
26 - 37, *, pre-primary, not-married, *, *, male, *, 178085
21 - 37, *, pre-primary, not-married, *, *, female, *, 83368
21 - 37, *, pre-primary, not-married, *, *, female, *, 122962
21 - 37, *, pre-primary, not-married, *, *, female, *, 194928
21 - 37, *, pre-primary, not-married, *, *, female, *, 53017
21 - 37, *, pre-primary, not-married, *, *, female, *, 103362
21 - 37, *, pre-primary, not-married, *, *, female, *, 67331
21 - 37, *, pre-primary, not-married, *, *, female, *, 55128
21 - 37, *, pre-primary, not-married, *, *, female, *, 40239
21 - 37, *, pre-primary, not-married, *, *, female, *, 132944
21 - 37, *, pre-primary, not-married, *, *, female, *, 176460
21 - 37, *, pre-primary, not-married, *, *, female, *, 30915
21 - 37, *, pre-primary, not-married, *, *, female, *, 158078
21 - 37, *, pre-primary, not-married, *, *, female, *, 46415
21 - 37, *, pre-primary, not-married, *, *, female, *, 175168
21 - 37, *, pre-primary, not-married, *, *, female, *, 78032
21 - 37, *, pre-primary, not-married, *, *, female, *, 113286
21 - 37, *, pre-primary, not-married, *, *, female, *, 110841
21 - 37, *, pre-primary, not-married, *, *, female, *, 105671
21 - 37, *, pre-primary, not-married, *, *, female, *, 67253
21 - 37, *, pre-primary, not-married, *, *, female, *, 129700
21 - 37, *, pre-primary, not-married, *, *, female, *, 147088
21 - 37, *, pre-primary, not-married, *, *, female, *, 137261
21 - 37, *, pre-primary, not-married, *, *, female, *, 136613
21 - 37, *, pre-primary, not-married, *, *, female, *, 34068
21 - 37, *, pre-primary, not-married, *, *, female, *, 125609
21 - 37, *, pre-primary, not-married, *, *, female, *, 185373
21 - 37, *, pre-primary, not-married, *, *, female, *, 32521
21 - 37, *, pre-primary, not-married, *, *, female, *, 147225
21 - 37, *, pre-primary, not-married, *, *, female, *, 10728
21 - 37, *, pre-primary, not-married, *, *, female, *, 162620
21 - 37, *, pre-primary, not-married, *, *, female, *, 21368
21 - 37, *, pre-primary, not-married, *, *, female, *, 191855
21 - 37, *, pre-primary, not-married, *, *, female, *, 35159
21 - 37, *, pre-primary, not-married, *, *, female, *, 57112
21 - 37, *, pre-primary, not-married, *, *, female, *, 54693
21 - 37, *, pre-primary, not-married, *, *, female, *, 60394
23 - 36, government, pre-high-school, married, *, *, *, *, 100455
23 - 36, government, pre-high-school, married, *, *, *, *, 70696
23 - 36, government, pre-high-school, married, *, *, *, *, 197342
23 - 36, government, pre-high-school, married, *, *, *, *, 164754
23 - 36, government, pre-high-school, married, *, *, *, *, 77275
23 - 36, government, pre-high-school, married, *, *, *, *, 55017
23 - 36, government, pre-high-school, married, *, *, *, *, 126487
23 - 36, government, pre-high-school, married, *, *, *, *, 118924
23 - 36, government, pre-high-school, married, *, *, *, *, 159437
23 - 36, government, pre-high-school, married, *, *, *, *, 170359
23 - 36, government, pre-high-school, married, *, *, *, *, 148231
23 - 36, government, pre-high-school, married, *, *, *, *, 91506
23 - 36, government, pre-high-school, married, *, *, *, *, 113519
23 - 36, government, pre-high-school, married, *, *, *, *, 56884
23 - 36, government, pre-high-school, married, *, *, *, *, 61304
23 - 36, government, pre-high-school, married, *, *, *, *, 62043
23 - 36, government, pre-high-school, married, *, *, *, *, 140552
23 - 36, government, pre-high-school, married, *, *, *, *, 76572
23 - 36, government, pre-high-school, married, *, *, *, *, 120269
23 - 36, government, pre-high-school, married, *, *, *, *, 24119
23 - 36, government, pre-high-school, married, *, *, *, *, 11964
23 - 36, government, pre-high-school, married, *, *, *, *, 94428
23 - 36, government, pre-high-school, married, *, *, *, *, 119600
23 - 36, government, pre-high-school, married, *, *, *, *, 143705
23 - 36, government, pre-high-school, married, *, *, *, *, 176088
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 25115
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 139307
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 174881
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 162117
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 162549
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 164895
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 38876
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 95538
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 68283
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 86635
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 84265
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 173637
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 159402
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 45160
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 44360
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 120043
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 154785
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 174080
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 92136
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 163285
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 92979
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 100998
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 66997
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 35097
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 57140
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 121682
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 58906
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 39176
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 94687
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 181340
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 135257
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 87144
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 192370
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 33463
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 10541
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 31947
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 14341
19 - 30, non-government, 7th-8th, married, *, *, male, north-america, 79296
31 - 37, non-government, 7th-8th, married, *, *, male, *, 60641
31 - 37, non-government, 7th-8th, married, *, *, male, *, 117144
31 - 37, non-government, 7th-8th, married, *, *, male, *, 189872
31 - 37, non-government, 7th-8th, married, *, *, male, *, 195060
31 - 37, non-government, 7th-8th, married, *, *, male, *, 171503
31 - 37, non-government, 7th-8th, married, *, *, male, *, 93237
31 - 37, non-government, 7th-8th, married, *, *, male, *, 139488
31 - 37, non-government, 7th-8th, married, *, *, male, *, 117125
31 - 37, non-government, 7th-8th, married, *, *, male, *, 56818
31 - 37, non-government, 7th-8th, married, *, *, male, *, 119172
31 - 37, non-government, 7th-8th, married, *, *, male, *, 17252
31 - 37, non-government, 7th-8th, married, *, *, male, *, 184521
31 - 37, non-government, 7th-8th, married, *, *, male, *, 76571
31 - 37, non-government, 7th-8th, married, *, *, male, *, 133003
31 - 37, non-government, 7th-8th, married, *, *, male, *, 169502
31 - 37, non-government, 7th-8th, married, *, *, male, *, 173453
31 - 37, non-government, 7th-8th, married, *, *, male, *, 105021
31 - 37, non-government, 7th-8th, married, *, *, male, *, 127347
31 - 37, non-government, 7th-8th, married, *, *, male, *, 84143
31 - 37, non-government, 7th-8th, married, *, *, male, *, 130412
31 - 37, non-government, 7th-8th, married, *, *, male, *, 53888
31 - 37, non-government, 7th-8th, married, *, *, male, *, 97327
31 - 37, non-government, 7th-8th, married, *, *, male, *, 112583
31 - 37, non-government, 7th-8th, married, *, *, male, *, 50052
31 - 37, non-government, 7th-8th, married, *, *, male, *, 112063
31 - 37, non-government, 7th-8th, married, *, *, male, *, 65979
31 - 37, non-government, 7th-8th, married, *, *, male, *, 193377
31 - 37, non-government, 7th-8th, married, *, *, male, *, 163730
31 - 37, non-government, 7th-8th, married, *, *, male, *, 58367
31 - 37, non-government, 7th-8th, married, *, *, male, *, 74048
31 - 37, non-government, 7th-8th, married, *, *, male, *, 99964
31 - 37, non-government, 7th-8th, married, *, *, male, *, 117925
31 - 37, non-government, 7th-8th, married, *, *, male, *, 91379
17 - 27, non-government, 9th, married, *, *, male, *, 15852
17 - 27, non-government, 9th, married, *, *, male, *, 20300
17 - 27, non-government, 9th, married, *, *, male, *, 33310
17 - 27, non-government, 9th, married, *, *, male, *, 46559
17 - 27, non-government, 9th, married, *, *, male, *, 71133
17 - 27, non-government, 9th, married, *, *, male, *, 18759
17 - 27, non-government, 9th, married, *, *, male, *, 14504
17 - 27, non-government, 9th, married, *, *, male, *, 182229
17 - 27, non-government, 9th, married, *, *, male, *, 82570
17 - 27, non-government, 9th, married, *, *, male, *, 118136
17 - 27, non-government, 9th, married, *, *, male, *, 58591
17 - 27, non-government, 9th, married, *, *, male, *, 98873
17 - 27, non-government, 9th, married, *, *, male, *, 80188
17 - 27, non-government, 9th, married, *, *, male, *, 75841
17 - 27, non-government, 9th, married, *, *, male, *, 189685
17 - 27, non-government, 9th, married, *, *, male, *, 180454
17 - 27, non-government, 9th, married, *, *, male, *, 167733
17 - 27, non-government, 9th, married, *, *, male, *, 129688
17 - 27, non-government, 9th, married, *, *, male, *, 174423
17 - 27, non-government, 9th, married, *, *, male, *, 140548
17 - 27, non-government, 9th, married, *, *, male, *, 27967
17 - 27, non-government, 9th, married, *, *, male, *, 134038
17 - 27, non-government, 9th, married, *, *, male, *, 136784
28 - 31, non-government, 9th, married, *, *, male, *, 141874
28 - 31, non-government, 9th, married, *, *, male, *, 118943
28 - 31, non-government, 9th, married, *, *, male, *, 104894
28 - 31, non-government, 9th, married, *, *, male, *, 66821
28 - 31, non-government, 9th, married, *, *, male, *, 120476
28 - 31, non-government, 9th, married, *, *, male, *, 31661
28 - 31, non-government, 9th, married, *, *, male, *, 53799
28 - 31, non-government, 9th, married, *, *, male, *, 47754
28 - 31, non-government, 9th, married, *, *, male, *, 36975
28 - 31, non-government, 9th, married, *, *, male, *, 78414
28 - 31, non-government, 9th, married, *, *, male, *, 140251
28 - 31, non-government, 9th, married, *, *, male, *, 80268
28 - 31, non-government, 9th, married, *, *, male, *, 97164
28 - 31, non-government, 9th, married, *, *, male, *, 106535
28 - 31, non-government, 9th, married, *, *, male, *, 185727
28 - 31, non-government, 9th, married, *, *, male, *, 177686
28 - 31, non-government, 9th, married, *, *, male, *, 121888
28 - 31, non-government, 9th, married, *, *, male, *, 18855
28 - 31, non-government, 9th, married, *, *, male, *, 25328
32 - 37, non-government, 9th, married, *, *, male, *, 139942
32 - 37, non-government, 9th, married, *, *, male, *, 84165
32 - 37, non-government, 9th, married, *, *, male, *, 39406
32 - 37, non-government, 9th, married, *, *, male, *, 147124
32 - 37, non-government, 9th, married, *, *, male, *, 17675
32 - 37, non-government, 9th, married, *, *, male, *, 69935
32 - 37, non-government, 9th, married, *, *, male, *, 112777
32 - 37, non-government, 9th, married, *, *, male, *, 158787
32 - 37, non-government, 9th, married, *, *, male, *, 184713
32 - 37, non-government, 9th, married, *, *, male, *, 82288
32 - 37, non-government, 9th, married, *, *, male, *, 70589
32 - 37, non-government, 9th, married, *, *, male, *, 132251
32 - 37, non-government, 9th, married, *, *, male, *, 49255
32 - 37, non-government, 9th, married, *, *, male, *, 56958
32 - 37, non-government, 9th, married, *, *, male, *, 105839
32 - 37, non-government, 9th, married, *, *, male, *, 188365
32 - 37, non-government, 9th, married, *, *, male, *, 170174
32 - 37, non-government, 9th, married, *, *, male, *, 42929
32 - 37, non-government, 9th, married, *, *, male, *, 162860
32 - 37, non-government, 9th, married, *, *, male, *, 187212
32 - 37, non-government, 9th, married, *, *, male, *, 29727
32 - 37, non-government, 9th, married, *, *, male, *, 91425
32 - 37, non-government, 9th, married, *, *, male, *, 10440
32 - 37, non-government, 9th, married, *, *, male, *, 152058
32 - 37, non-government, 9th, married, *, *, male, *, 77437
32 - 37, non-government, 9th, married, *, *, male, *, 25157
32 - 37, non-government, 9th, married, *, *, male, *, 121967
32 - 37, non-government, 9th, married, *, *, male, *, 182151
32 - 37, non-government, 9th, married, *, *, male, *, 160570
32 - 37, non-government, 9th, married, *, *, male, *, 49263
32 - 37, non-government, 9th, married, *, *, male, *, 180891
32 - 37, non-government, 9th, married, *, *, male, *, 48815
32 - 37, non-government, 9th, married, *, *, male, *, 22720
32 - 37, non-government, 9th, married, *, *, male, *, 66204
20 - 26, non-government, 10th, married, *, *, male, *, 144428
20 - 26, non-government, 10th, married, *, *, male, *, 137178
20 - 26, non-government, 10th, married, *, *, male, *, 153077
20 - 26, non-government, 10th, married, *, *, male, *, 122695
20 - 26, non-government, 10th, married, *, *, male, *, 198874
20 - 26, non-government, 10th, married, *, *, male, *, 141415
20 - 26, non-government, 10th, married, *, *, male, *, 135166
20 - 26, non-government, 10th, married, *, *, male, *, 95924
20 - 26, non-government, 10th, married, *, *, male, *, 106501
20 - 26, non-government, 10th, married, *, *, male, *, 21943
20 - 26, non-government, 10th, married, *, *, male, *, 69263
20 - 26, non-government, 10th, married, *, *, male, *, 27356
20 - 26, non-government, 10th, married, *, *, male, *, 61888
20 - 26, non-government, 10th, married, *, *, male, *, 95255
20 - 26, non-government, 10th, married, *, *, male, *, 108603
20 - 26, non-government, 10th, married, *, *, male, *, 92841
20 - 26, non-government, 10th, married, *, *, male, *, 173551
20 - 26, non-government, 10th, married, *, *, male, *, 44510
20 - 26, non-government, 10th, married, *, *, male, *, 62834
20 - 26, non-government, 10th, married, *, *, male, *, 19131
20 - 26, non-government, 10th, married, *, *, male, *, 69846
20 - 26, non-government, 10th, married, *, *, male, *, 23503
20 - 26, non-government, 10th, married, *, *, male, *, 142012
20 - 26, non-government, 10th, married, *, *, male, *, 172196
20 - 26, non-government, 10th, married, *, *, male, *, 57445
27 - 30, non-government, 10th, married, *, *, male, north-america, 100568
27 - 30, non-government, 10th, married, *, *, male, north-america, 35583
27 - 30, non-government, 10th, married, *, *, male, north-america, 29306
27 - 30, non-government, 10th, married, *, *, male, north-america, 145689
27 - 30, non-government, 10th, married, *, *, male, north-america, 22420
27 - 30, non-government, 10th, married, *, *, male, north-america, 37615
27 - 30, non-government, 10th, married, *, *, male, north-america, 115924
27 - 30, non-government, 10th, married, *, *, male, north-america, 31746
27 - 30, non-government, 10th, married, *, *, male, north-america, 71379
27 - 30, non-government, 10th, married, *, *, male, north-america, 122540
27 - 30, non-government, 10th, married, *, *, male, north-america, 34495
27 - 30, non-government, 10th, married, *, *, male, north-america, 151232
27 - 30, non-government, 10th, married, *, *, male, north-america, 78004
27 - 30, non-government, 10th, married, *, *, male, north-america, 14709
27 - 30, non-government, 10th, married, *, *, male, north-america, 61984
27 - 30, non-government, 10th, married, *, *, male, north-america, 78872
27 - 30, non-government, 10th, married, *, *, male, north-america, 135861
27 - 30, non-government, 10th, married, *, *, male, north-america, 119146
27 - 30, non-government, 10th, married, *, *, male, north-america, 150991
27 - 30, non-government, 10th, married, *, *, male, north-america, 86551
27 - 30, non-government, 10th, married, *, *, male, north-america, 58025
31 - 34, non-government, 10th, married, *, *, male, *, 27514
31 - 34, non-government, 10th, married, *, *, male, *, 173425
31 - 34, non-government, 10th, married, *, *, male, *, 69546
31 - 34, non-government, 10th, married, *, *, male, *, 166701
31 - 34, non-government, 10th, married, *, *, male, *, 15358
31 - 34, non-government, 10th, married, *, *, male, *, 26444
31 - 34, non-government, 10th, married, *, *, male, *, 74383
31 - 34, non-government, 10th, married, *, *, male, *, 22349
31 - 34, non-government, 10th, married, *, *, male, *, 170418
31 - 34, non-government, 10th, married, *, *, male, *, 136743
31 - 34, non-government, 10th, married, *, *, male, *, 20062
31 - 34, non-government, 10th, married, *, *, male, *, 56850
31 - 34, non-government, 10th, married, *, *, male, *, 63558
31 - 34, non-government, 10th, married, *, *, male, *, 43082
31 - 34, non-government, 10th, married, *, *, male, *, 49421
31 - 34, non-government, 10th, married, *, *, male, *, 175534
31 - 34, non-government, 10th, married, *, *, male, *, 143069
31 - 34, non-government, 10th, married, *, *, male, *, 57913
31 - 34, non-government, 10th, married, *, *, male, *, 38737
31 - 34, non-government, 10th, married, *, *, male, *, 189052
31 - 34, non-government, 10th, married, *, *, male, *, 73160
31 - 34, non-government, 10th, married, *, *, male, *, 58858
31 - 34, non-government, 10th, married, *, *, male, *, 199494
31 - 34, non-government, 10th, married, *, *, male, *, 112413
31 - 34, non-government, 10th, married, *, *, male, *, 78751
31 - 34, non-government, 10th, married, *, *, male, *, 82488
31 - 34, non-government, 10th, married, *, *, male, *, 168764
35 - 37, non-government, 10th, married, *, *, male, *, 34205
35 - 37, non-government, 10th, married, *, *, male, *, 68876
35 - 37, non-government, 10th, married, *, *, male, *, 189314
35 - 37, non-government, 10th, married, *, *, male, *, 176255
35 - 37, non-government, 10th, married, *, *, male, *, 111988
35 - 37, non-government, 10th, married, *, *, male, *, 50199
35 - 37, non-government, 10th, married, *, *, male, *, 68851
35 - 37, non-government, 10th, married, *, *, male, *, 123503
35 - 37, non-government, 10th, married, *, *, male, *, 126723
35 - 37, non-government, 10th, married, *, *, male, *, 27179
