27 - 37, federal-gov, *, married, skilled, *, male, united-states, 83312
33 - 37, local-gov, *, married, skilled, *, male, *, 65052
33 - 37, local-gov, *, married, skilled, *, male, *, 61966
33 - 37, local-gov, *, married, skilled, *, male, *, 70012
33 - 37, local-gov, *, married, skilled, *, male, *, 93714
33 - 37, local-gov, *, married, skilled, *, male, *, 39825
33 - 37, local-gov, *, married, skilled, *, male, *, 49128
33 - 37, local-gov, *, married, skilled, *, male, *, 106611
33 - 37, local-gov, *, married, skilled, *, male, *, 69903
33 - 37, local-gov, *, married, skilled, *, male, *, 83152
33 - 37, local-gov, *, married, skilled, *, male, *, 58128
33 - 37, local-gov, *, married, skilled, *, male, *, 74325
33 - 37, local-gov, *, married, skilled, *, male, *, 51223
29 - 37, state-gov, *, married, skilled, white, male, united-states, 87362
29 - 37, state-gov, *, married, skilled, white, male, united-states, 98273
29 - 37, state-gov, *, married, skilled, white, male, united-states, 96828
29 - 37, state-gov, *, married, skilled, white, male, united-states, 81562
29 - 37, state-gov, *, married, skilled, white, male, united-states, 39895
29 - 37, state-gov, *, married, skilled, white, male, united-states, 59656
29 - 37, state-gov, *, married, skilled, white, male, united-states, 43835
29 - 37, state-gov, *, married, skilled, white, male, united-states, 52063
29 - 37, state-gov, *, married, skilled, white, male, united-states, 47860
29 - 37, state-gov, *, married, skilled, white, male, united-states, 84077
29 - 37, state-gov, *, married, skilled, white, male, united-states, 91707
29 - 37, state-gov, *, married, skilled, white, male, united-states, 72173
29 - 37, state-gov, *, married, skilled, white, male, united-states, 51897
29 - 37, state-gov, *, married, skilled, white, male, united-states, 85853
29 - 37, state-gov, *, married, skilled, white, male, united-states, 94466
29 - 37, state-gov, *, married, skilled, white, male, united-states, 93835
29 - 37, state-gov, *, married, skilled, white, male, united-states, 43353
29 - 37, state-gov, *, married, skilled, white, male, united-states, 58712
23 - 28, government, *, married, unskilled, *, *, united-states, 65890
23 - 28, government, *, married, unskilled, *, *, united-states, 62226
23 - 28, government, *, married, unskilled, *, *, united-states, 107519
23 - 28, government, *, married, unskilled, *, *, united-states, 92508
23 - 28, government, *, married, unskilled, *, *, united-states, 63540
23 - 28, government, *, married, unskilled, *, *, united-states, 31881
23 - 28, government, *, married, unskilled, *, *, united-states, 50382
23 - 28, government, *, married, unskilled, *, *, united-states, 43394
23 - 28, government, *, married, unskilled, *, *, united-states, 50509
23 - 28, government, *, married, unskilled, *, *, united-states, 69207
23 - 28, government, *, married, unskilled, *, *, united-states, 91837
23 - 28, government, *, married, unskilled, *, *, united-states, 66800
23 - 28, government, *, married, unskilled, *, *, united-states, 40113
29 - 31, government, *, married, unskilled, *, *, united-states, 40138
29 - 31, government, *, married, unskilled, *, *, united-states, 68604
29 - 31, government, *, married, unskilled, *, *, united-states, 47052
29 - 31, government, *, married, unskilled, *, *, united-states, 62763
29 - 31, government, *, married, unskilled, *, *, united-states, 60921
29 - 31, government, *, married, unskilled, *, *, united-states, 65462
29 - 31, government, *, married, unskilled, *, *, united-states, 12195
29 - 31, government, *, married, unskilled, *, *, united-states, 90876
29 - 31, government, *, married, unskilled, *, *, united-states, 48099
29 - 31, government, *, married, unskilled, *, *, united-states, 89799
29 - 31, government, *, married, unskilled, *, *, united-states, 48436
32 - 33, government, *, married, unskilled, *, *, *, 48077
32 - 33, government, *, married, unskilled, *, *, *, 91258
32 - 33, government, *, married, unskilled, *, *, *, 54522
32 - 33, government, *, married, unskilled, *, *, *, 21266
32 - 33, government, *, married, unskilled, *, *, *, 50369
32 - 33, government, *, married, unskilled, *, *, *, 129975
32 - 33, government, *, married, unskilled, *, *, *, 36863
32 - 33, government, *, married, unskilled, *, *, *, 53793
32 - 33, government, *, married, unskilled, *, *, *, 49959
32 - 33, government, *, married, unskilled, *, *, *, 48295
32 - 33, government, *, married, unskilled, *, *, *, 86166
32 - 33, government, *, married, unskilled, *, *, *, 90685
34 - 37, government, *, married-civ-spouse, unskilled, *, *, united-states, 31091
34 - 37, government, *, married-civ-spouse, unskilled, *, *, united-states, 91557
34 - 37, government, *, married-civ-spouse, unskilled, *, *, united-states, 77773
34 - 37, government, *, married-civ-spouse, unskilled, *, *, united-states, 97308
34 - 37, government, *, married-civ-spouse, unskilled, *, *, united-states, 46186
34 - 37, government, *, married-civ-spouse, unskilled, *, *, united-states, 46429
34 - 37, government, *, married-civ-spouse, unskilled, *, *, united-states, 78285
34 - 37, government, *, married-civ-spouse, unskilled, *, *, united-states, 82631
34 - 37, government, *, married-civ-spouse, unskilled, *, *, united-states, 47490
34 - 37, government, *, married-civ-spouse, unskilled, *, *, united-states, 122045
34 - 37, government, *, married-civ-spouse, unskilled, *, *, united-states, 75629
23 - 26, government, pre-university, married, professional, *, *, united-states, 72946
23 - 26, government, pre-university, married, professional, *, *, united-states, 53091
23 - 26, government, pre-university, married, professional, *, *, united-states, 73878
23 - 26, government, pre-university, married, professional, *, *, united-states, 82393
23 - 26, government, pre-university, married, professional, *, *, united-states, 79658
23 - 26, government, pre-university, married, professional, *, *, united-states, 70073
23 - 26, government, pre-university, married, professional, *, *, united-states, 67146
23 - 26, government, pre-university, married, professional, *, *, united-states, 46194
23 - 26, government, pre-university, married, professional, *, *, united-states, 90111
23 - 26, government, pre-university, married, professional, *, *, united-states, 91641
27 - 32, government, pre-university, married, professional, *, *, *, 71876
27 - 32, government, pre-university, married, professional, *, *, *, 55922
27 - 32, government, pre-university, married, professional, *, *, *, 84280
27 - 32, government, pre-university, married, professional, *, *, *, 92302
27 - 32, government, pre-university, married, professional, *, *, *, 82522
27 - 32, government, pre-university, married, professional, *, *, *, 65469
27 - 32, government, pre-university, married, professional, *, *, *, 67009
27 - 32, government, pre-university, married, professional, *, *, *, 84812
27 - 32, government, pre-university, married, professional, *, *, *, 94431
27 - 32, government, pre-university, married, professional, *, *, *, 97873
27 - 32, government, pre-university, married, professional, *, *, *, 40632
33 - 35, government, pre-university, married, professional, *, *, north-america, 44370
33 - 35, government, pre-university, married, professional, *, *, north-america, 66604
33 - 35, government, pre-university, married, professional, *, *, north-america, 82061
33 - 35, government, pre-university, married, professional, *, *, north-america, 51194
33 - 35, government, pre-university, married, professional, *, *, north-america, 69856
33 - 35, government, pre-university, married, professional, *, *, north-america, 94954
33 - 35, government, pre-university, married, professional, *, *, north-america, 66194
33 - 35, government, pre-university, married, professional, *, *, north-america, 88902
33 - 35, government, pre-university, married, professional, *, *, north-america, 49075
33 - 35, government, pre-university, married, professional, *, *, north-america, 47555
36 - 37, government, pre-university, married, professional, *, *, united-states, 37389
36 - 37, government, pre-university, married, professional, *, *, united-states, 63755
36 - 37, government, pre-university, married, professional, *, *, united-states, 54957
36 - 37, government, pre-university, married, professional, *, *, united-states, 45297
36 - 37, government, pre-university, married, professional, *, *, united-states, 68788
36 - 37, government, pre-university, married, professional, *, *, united-states, 71417
36 - 37, government, pre-university, married, professional, *, *, united-states, 48610
36 - 37, government, pre-university, married, professional, *, *, united-states, 63403
36 - 37, government, pre-university, married, professional, *, *, united-states, 84463
36 - 37, government, pre-university, married, professional, *, *, united-states, 54171
28 - 32, federal-gov, pre-doctorate, married, professional, *, male, *, 100664
28 - 32, federal-gov, pre-doctorate, married, professional, *, male, *, 66891
28 - 32, federal-gov, pre-doctorate, married, professional, *, male, *, 40831
28 - 32, federal-gov, pre-doctorate, married, professional, *, male, *, 89098
28 - 32, federal-gov, pre-doctorate, married, professional, *, male, *, 51325
28 - 32, federal-gov, pre-doctorate, married, professional, *, male, *, 98024
28 - 32, federal-gov, pre-doctorate, married, professional, *, male, *, 84404
28 - 32, federal-gov, pre-doctorate, married, professional, *, male, *, 102438
28 - 32, federal-gov, pre-doctorate, married, professional, *, male, *, 54711
28 - 32, federal-gov, pre-doctorate, married, professional, *, male, *, 80108
28 - 32, federal-gov, pre-doctorate, married, professional, *, male, *, 98039
28 - 32, federal-gov, pre-doctorate, married, professional, *, male, *, 67074
33 - 37, federal-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 73563
33 - 37, federal-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 94887
33 - 37, federal-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 77133
33 - 37, federal-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 100702
33 - 37, federal-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 121901
33 - 37, federal-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 67573
33 - 37, federal-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 135516
33 - 37, federal-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 59235
33 - 37, federal-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 47692
33 - 37, federal-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 114919
33 - 37, federal-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 90311
25 - 31, local-gov, bachelors, married-civ-spouse, professional, *, male, *, 42562
25 - 31, local-gov, bachelors, married-civ-spouse, professional, *, male, *, 64287
25 - 31, local-gov, bachelors, married-civ-spouse, professional, *, male, *, 101381
25 - 31, local-gov, bachelors, married-civ-spouse, professional, *, male, *, 113594
25 - 31, local-gov, bachelors, married-civ-spouse, professional, *, male, *, 56982
25 - 31, local-gov, bachelors, married-civ-spouse, professional, *, male, *, 106900
25 - 31, local-gov, bachelors, married-civ-spouse, professional, *, male, *, 93265
25 - 31, local-gov, bachelors, married-civ-spouse, professional, *, male, *, 90320
25 - 31, local-gov, bachelors, married-civ-spouse, professional, *, male, *, 87351
25 - 31, local-gov, bachelors, married-civ-spouse, professional, *, male, *, 79669
25 - 31, local-gov, bachelors, married-civ-spouse, professional, *, male, *, 85213
25 - 31, local-gov, bachelors, married-civ-spouse, professional, *, male, *, 77179
25 - 31, local-gov, bachelors, married-civ-spouse, professional, *, male, *, 44868
25 - 31, local-gov, bachelors, married-civ-spouse, professional, *, male, *, 55239
29 - 31, local-gov, masters, married-civ-spouse, prof-specialty, white, male, united-states, 102329
29 - 31, local-gov, masters, married-civ-spouse, prof-specialty, white, male, united-states, 109793
29 - 31, local-gov, masters, married-civ-spouse, prof-specialty, white, male, united-states, 113116
29 - 31, local-gov, masters, married-civ-spouse, prof-specialty, white, male, united-states, 80411
29 - 31, local-gov, masters, married-civ-spouse, prof-specialty, white, male, united-states, 93540
29 - 31, local-gov, masters, married-civ-spouse, prof-specialty, white, male, united-states, 118923
29 - 31, local-gov, masters, married-civ-spouse, prof-specialty, white, male, united-states, 84195
29 - 31, local-gov, masters, married-civ-spouse, prof-specialty, white, male, united-states, 124404
29 - 31, local-gov, masters, married-civ-spouse, prof-specialty, white, male, united-states, 117327
29 - 31, local-gov, masters, married-civ-spouse, prof-specialty, white, male, united-states, 138946
32 - 34, local-gov, pre-doctorate, married, professional, *, male, *, 40057
32 - 34, local-gov, pre-doctorate, married, professional, *, male, *, 44866
32 - 34, local-gov, pre-doctorate, married, professional, *, male, *, 100424
32 - 34, local-gov, pre-doctorate, married, professional, *, male, *, 110337
32 - 34, local-gov, pre-doctorate, married, professional, *, male, *, 72378
32 - 34, local-gov, pre-doctorate, married, professional, *, male, *, 121781
32 - 34, local-gov, pre-doctorate, married, professional, *, male, *, 108831
32 - 34, local-gov, pre-doctorate, married, professional, *, male, *, 75686
32 - 34, local-gov, pre-doctorate, married, professional, *, male, *, 63686
32 - 34, local-gov, pre-doctorate, married, professional, *, male, *, 87123
32 - 34, local-gov, pre-doctorate, married, professional, *, male, *, 67959
32 - 34, local-gov, pre-doctorate, married, professional, *, male, *, 98790
32 - 34, local-gov, pre-doctorate, married, professional, *, male, *, 60320
32 - 34, local-gov, pre-doctorate, married, professional, *, male, *, 83925
35 - 37, local-gov, pre-doctorate, married, professional, white, male, united-states, 110236
35 - 37, local-gov, pre-doctorate, married, professional, white, male, united-states, 80832
35 - 37, local-gov, pre-doctorate, married, professional, white, male, united-states, 48528
35 - 37, local-gov, pre-doctorate, married, professional, white, male, united-states, 53078
35 - 37, local-gov, pre-doctorate, married, professional, white, male, united-states, 63413
35 - 37, local-gov, pre-doctorate, married, professional, white, male, united-states, 98020
35 - 37, local-gov, pre-doctorate, married, professional, white, male, united-states, 42463
35 - 37, local-gov, pre-doctorate, married, professional, white, male, united-states, 66430
35 - 37, local-gov, pre-doctorate, married, professional, white, male, united-states, 57090
35 - 37, local-gov, pre-doctorate, married, professional, white, male, united-states, 127497
35 - 37, local-gov, pre-doctorate, married, professional, white, male, united-states, 114066
22 - 29, state-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 108413
22 - 29, state-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 68955
22 - 29, state-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 123778
22 - 29, state-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 61849
22 - 29, state-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 68888
22 - 29, state-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 123853
22 - 29, state-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 86174
22 - 29, state-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 68998
22 - 29, state-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 72771
22 - 29, state-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 64470
22 - 29, state-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 64602
22 - 29, state-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 50005
22 - 29, state-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 45039
30 - 32, state-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 112620
30 - 32, state-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 64418
30 - 32, state-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 126063
30 - 32, state-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 106631
30 - 32, state-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 100054
30 - 32, state-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 107103
30 - 32, state-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 94047
30 - 32, state-gov, pre-doctorate, married-civ-spouse, professional, *, male, *, 90209
33 - 37, state-gov, bachelors, married, professional, white, male, *, 70327
33 - 37, state-gov, bachelors, married, professional, white, male, *, 116601
33 - 37, state-gov, bachelors, married, professional, white, male, *, 67960
33 - 37, state-gov, bachelors, married, professional, white, male, *, 73781
33 - 37, state-gov, bachelors, married, professional, white, male, *, 104933
33 - 37, state-gov, bachelors, married, professional, white, male, *, 59030
33 - 37, state-gov, bachelors, married, professional, white, male, *, 76042
33 - 37, state-gov, bachelors, married, professional, white, male, *, 92409
33 - 37, state-gov, bachelors, married, professional, white, male, *, 108913
33 - 37, state-gov, bachelors, married, professional, white, male, *, 108519
33 - 37, state-gov, bachelors, married, professional, white, male, *, 50999
33 - 37, state-gov, masters, married-civ-spouse, professional, *, male, *, 81358
33 - 37, state-gov, masters, married-civ-spouse, professional, *, male, *, 114086
33 - 37, state-gov, masters, married-civ-spouse, professional, *, male, *, 84541
33 - 37, state-gov, masters, married-civ-spouse, professional, *, male, *, 113153
33 - 37, state-gov, masters, married-civ-spouse, professional, *, male, *, 56531
33 - 37, state-gov, masters, married-civ-spouse, professional, *, male, *, 132217
33 - 37, state-gov, masters, married-civ-spouse, professional, *, male, *, 134159
33 - 37, state-gov, masters, married-civ-spouse, professional, *, male, *, 102335
33 - 37, state-gov, masters, married-civ-spouse, professional, *, male, *, 120864
33 - 37, state-gov, masters, married-civ-spouse, professional, *, male, *, 51888
24 - 32, government, bachelors, married, professional, *, female, united-states, 104038
24 - 32, government, bachelors, married, professional, *, female, united-states, 105095
24 - 32, government, bachelors, married, professional, *, female, united-states, 115511
24 - 32, government, bachelors, married, professional, *, female, united-states, 62408
24 - 32, government, bachelors, married, professional, *, female, united-states, 108672
24 - 32, government, bachelors, married, professional, *, female, united-states, 91988
24 - 32, government, bachelors, married, professional, *, female, united-states, 91927
24 - 32, government, bachelors, married, professional, *, female, united-states, 83181
24 - 32, government, bachelors, married, professional, *, female, united-states, 44038
24 - 32, government, bachelors, married, professional, *, female, united-states, 56968
24 - 32, government, bachelors, married, professional, *, female, united-states, 116619
24 - 32, government, bachelors, married, professional, *, female, united-states, 110205
24 - 32, government, bachelors, married, professional, *, female, united-states, 63395
24 - 32, government, bachelors, married, professional, *, female, united-states, 104209
24 - 30, government, masters, married, professional, *, female, *, 72911
24 - 30, government, masters, married, professional, *, female, *, 62341
24 - 30, government, masters, married, professional, *, female, *, 137257
24 - 30, government, masters, married, professional, *, female, *, 109882
24 - 30, government, masters, married, professional, *, female, *, 105038
24 - 30, government, masters, married, professional, *, female, *, 85333
24 - 30, government, masters, married, professional, *, female, *, 91610
24 - 30, government, masters, married, professional, *, female, *, 56384
24 - 30, government, masters, married, professional, *, female, *, 77429
24 - 30, government, masters, married, professional, *, female, *, 90144
24 - 30, government, masters, married, professional, *, female, *, 81259
33 - 37, government, pre-doctorate, married, professional, *, female, united-states, 98586
33 - 37, government, pre-doctorate, married, professional, *, female, united-states, 67841
33 - 37, government, pre-doctorate, married, professional, *, female, united-states, 116657
33 - 37, government, pre-doctorate, married, professional, *, female, united-states, 114789
33 - 37, government, pre-doctorate, married, professional, *, female, united-states, 131740
33 - 37, government, pre-doctorate, married, professional, *, female, united-states, 113645
33 - 37, government, pre-doctorate, married, professional, *, female, united-states, 49062
33 - 37, government, pre-doctorate, married, professional, *, female, united-states, 59690
33 - 37, government, pre-doctorate, married, professional, *, female, united-states, 56404
33 - 37, government, pre-doctorate, married, professional, *, female, united-states, 123318
33 - 37, government, pre-doctorate, married, professional, *, female, united-states, 109857
33 - 37, government, pre-doctorate, married, professional, *, female, united-states, 126353
33 - 37, government, pre-doctorate, married, professional, *, female, united-states, 123058
33 - 37, government, pre-doctorate, married, professional, *, female, united-states, 41389
33 - 37, government, pre-doctorate, married, professional, *, female, united-states, 68527
33 - 37, government, pre-doctorate, married, professional, *, female, united-states, 51158
33 - 37, government, pre-doctorate, married, professional, *, female, united-states, 119392
33 - 37, government, pre-doctorate, married, professional, *, female, united-states, 111607
33 - 37, government, pre-doctorate, married, professional, *, female, united-states, 64420
26 - 33, government, post-doctorate, married-civ-spouse, professional, *, male, *, 85248
26 - 33, government, post-doctorate, married-civ-spouse, professional, *, male, *, 94751
26 - 33, government, post-doctorate, married-civ-spouse, professional, *, male, *, 94379
26 - 33, government, post-doctorate, married-civ-spouse, professional, *, male, *, 74545
26 - 33, government, post-doctorate, married-civ-spouse, professional, *, male, *, 76480
26 - 33, government, post-doctorate, married-civ-spouse, professional, *, male, *, 84011
26 - 33, government, post-doctorate, married-civ-spouse, professional, *, male, *, 75526
26 - 33, government, post-doctorate, married-civ-spouse, professional, *, male, *, 58563
26 - 33, government, post-doctorate, married-civ-spouse, professional, *, male, *, 122701
26 - 33, government, post-doctorate, married-civ-spouse, professional, *, male, *, 139865
26 - 33, government, post-doctorate, married-civ-spouse, professional, *, male, *, 88376
26 - 33, government, post-doctorate, married-civ-spouse, professional, *, male, *, 97508
26 - 33, government, post-doctorate, married-civ-spouse, professional, *, male, *, 107360
26 - 33, government, post-doctorate, married-civ-spouse, professional, *, male, *, 87804
34 - 37, government, post-doctorate, married-civ-spouse, professional, white, male, *, 68290
34 - 37, government, post-doctorate, married-civ-spouse, professional, white, male, *, 81864
34 - 37, government, post-doctorate, married-civ-spouse, professional, white, male, *, 108452
34 - 37, government, post-doctorate, married-civ-spouse, professional, white, male, *, 77610
34 - 37, government, post-doctorate, married-civ-spouse, professional, white, male, *, 65519
34 - 37, government, post-doctorate, married-civ-spouse, professional, white, male, *, 117197
34 - 37, government, post-doctorate, married-civ-spouse, professional, white, male, *, 133993
34 - 37, government, post-doctorate, married-civ-spouse, professional, white, male, *, 125732
34 - 37, government, post-doctorate, married-civ-spouse, professional, white, male, *, 139756
34 - 37, government, post-doctorate, married-civ-spouse, professional, white, male, *, 108136
34 - 37, government, post-doctorate, married-civ-spouse, professional, white, male, *, 102390
34 - 37, government, post-doctorate, married-civ-spouse, professional, white, male, *, 73517
34 - 37, government, post-doctorate, married-civ-spouse, professional, white, male, *, 79961
24 - 37, government, post-doctorate, married-civ-spouse, professional, *, female, *, 57390
24 - 37, government, post-doctorate, married-civ-spouse, professional, *, female, *, 110253
24 - 37, government, post-doctorate, married-civ-spouse, professional, *, female, *, 106214
24 - 37, government, post-doctorate, married-civ-spouse, professional, *, female, *, 80148
24 - 37, government, post-doctorate, married-civ-spouse, professional, *, female, *, 125262
24 - 37, government, post-doctorate, married-civ-spouse, professional, *, female, *, 81810
24 - 37, government, post-doctorate, married-civ-spouse, professional, *, female, *, 118445
24 - 37, government, post-doctorate, married-civ-spouse, professional, *, female, *, 121789
24 - 37, government, post-doctorate, married-civ-spouse, professional, *, female, *, 70933
24 - 37, government, post-doctorate, married-civ-spouse, professional, *, female, *, 134337
22 - 30, federal-gov, *, married, customer-service, *, male, *, 42578
22 - 30, federal-gov, *, married, customer-service, *, male, *, 95019
22 - 30, federal-gov, *, married, customer-service, *, male, *, 89449
22 - 30, federal-gov, *, married, customer-service, *, male, *, 90640
22 - 30, federal-gov, *, married, customer-service, *, male, *, 103825
22 - 30, federal-gov, *, married, customer-service, *, male, *, 54137
22 - 30, federal-gov, *, married, customer-service, *, male, *, 70580
22 - 30, federal-gov, *, married, customer-service, *, male, *, 39607
22 - 30, federal-gov, *, married, customer-service, *, male, *, 55171
22 - 30, federal-gov, *, married, customer-service, *, male, *, 62508
22 - 30, federal-gov, *, married, customer-service, *, male, *, 75046
22 - 30, federal-gov, *, married, customer-service, *, male, *, 57619
22 - 30, federal-gov, *, married, customer-service, *, male, *, 31152
22 - 30, federal-gov, *, married, customer-service, *, male, *, 75775
22 - 30, federal-gov, *, married, customer-service, *, male, *, 45703
22 - 30, federal-gov, *, married, customer-service, *, male, *, 70286
22 - 30, federal-gov, *, married, customer-service, *, male, *, 40432
31 - 32, federal-gov, *, married, customer-service, *, male, *, 86562
31 - 32, federal-gov, *, married, customer-service, *, male, *, 116074
31 - 32, federal-gov, *, married, customer-service, *, male, *, 65571
31 - 32, federal-gov, *, married, customer-service, *, male, *, 52305
31 - 32, federal-gov, *, married, customer-service, *, male, *, 47689
31 - 32, federal-gov, *, married, customer-service, *, male, *, 52178
31 - 32, federal-gov, *, married, customer-service, *, male, *, 40179
31 - 32, federal-gov, *, married, customer-service, *, male, *, 71276
33 - 36, federal-gov, *, married, customer-service, *, male, united-states, 40938
33 - 36, federal-gov, *, married, customer-service, *, male, united-states, 88872
33 - 36, federal-gov, *, married, customer-service, *, male, united-states, 53073
33 - 36, federal-gov, *, married, customer-service, *, male, united-states, 90342
33 - 36, federal-gov, *, married, customer-service, *, male, united-states, 139013
33 - 36, federal-gov, *, married, customer-service, *, male, united-states, 43690
33 - 36, federal-gov, *, married, customer-service, *, male, united-states, 60748
33 - 36, federal-gov, *, married, customer-service, *, male, united-states, 75089
33 - 36, federal-gov, *, married, customer-service, *, male, united-states, 72928
33 - 36, federal-gov, *, married, customer-service, *, male, united-states, 51129
33 - 36, federal-gov, *, married, customer-service, *, male, united-states, 60913
33 - 36, federal-gov, *, married, customer-service, *, male, united-states, 43874
33 - 36, federal-gov, *, married, customer-service, *, male, united-states, 35846
33 - 36, federal-gov, *, married, customer-service, *, male, united-states, 121671
33 - 36, federal-gov, *, married, customer-service, *, male, united-states, 65312
37, federal-gov, *, married, customer-service, *, male, *, 86111
37, federal-gov, *, married, customer-service, *, male, *, 77004
37, federal-gov, *, married, customer-service, *, male, *, 56527
37, federal-gov, *, married, customer-service, *, male, *, 84380
37, federal-gov, *, married, customer-service, *, male, *, 73023
37, federal-gov, *, married, customer-service, *, male, *, 48227
37, federal-gov, *, married, customer-service, *, male, *, 67316
37, federal-gov, *, married, customer-service, *, male, *, 73840
37, federal-gov, *, married, customer-service, *, male, *, 87946
25 - 37, local-gov, *, married, customer-service, *, male, *, 76819
25 - 37, local-gov, *, married, customer-service, *, male, *, 78181
25 - 37, local-gov, *, married, customer-service, *, male, *, 103851
25 - 37, local-gov, *, married, customer-service, *, male, *, 78529
25 - 37, local-gov, *, married, customer-service, *, male, *, 47006
25 - 37, local-gov, *, married, customer-service, *, male, *, 67022
25 - 37, local-gov, *, married, customer-service, *, male, *, 61621
25 - 37, local-gov, *, married, customer-service, *, male, *, 97661
25 - 37, local-gov, *, married, customer-service, *, male, *, 105072
25 - 37, local-gov, *, married, customer-service, *, male, *, 107264
25 - 37, local-gov, *, married, customer-service, *, male, *, 54375
25 - 37, local-gov, *, married, customer-service, *, male, *, 54227
25 - 37, local-gov, *, married, customer-service, *, male, *, 92994
25 - 37, local-gov, *, married, customer-service, *, male, *, 62726
25 - 37, local-gov, *, married, customer-service, *, male, *, 64741
25 - 37, local-gov, *, married, customer-service, *, male, *, 71003
25 - 37, local-gov, *, married, customer-service, *, male, *, 116734
25 - 37, local-gov, *, married, customer-service, *, male, *, 110383
22 - 31, state-gov, *, married, customer-service, *, male, *, 94381
22 - 31, state-gov, *, married, customer-service, *, male, *, 92154
22 - 31, state-gov, *, married, customer-service, *, male, *, 101830
22 - 31, state-gov, *, married, customer-service, *, male, *, 64407
22 - 31, state-gov, *, married, customer-service, *, male, *, 67208
22 - 31, state-gov, *, married, customer-service, *, male, *, 63474
22 - 31, state-gov, *, married, customer-service, *, male, *, 66856
