*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 600
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 350
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 155
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 145
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 950
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 700
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 525
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 325
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 200
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 158
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 145
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 150
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 120
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 109
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 360
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 147
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 109
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 117
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 640
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 190
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 170
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 135
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 130
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 130
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 650
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 235
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 225
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 120
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 425
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 287
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 170
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 153
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 950
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 450
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 175
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 155
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 760
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 205
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 185
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 115
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 875
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 162
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 133
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 215
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 183
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 170
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 160
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 142
*, *, 0-41.0, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 109
*, *, 0-41.0, *, 16.0-49, *, *, 0-39.0, *, *, *, *, false, *, *, *, 1190
*, *, 0-41.0, *, 16.0-49, *, *, 0-39.0, *, *, *, *, false, *, *, *, 760
*, *, 0-41.0, *, 16.0-49, *, *, 0-39.0, *, *, *, *, false, *, *, *, 629
*, *, 0-41.0, *, 16.0-49, *, *, 0-39.0, *, *, *, *, false, *, *, *, 1262
*, *, 0-41.0, *, 16.0-49, *, *, 0-39.0, *, *, *, *, false, *, *, *, 1000
*, *, 0-41.0, *, 16.0-49, *, *, 0-39.0, *, *, *, *, false, *, *, *, 1000
*, *, 0-41.0, *, 16.0-49, *, *, 0-39.0, *, *, *, *, false, *, *, *, 200
*, *, 0-41.0, *, 16.0-49, *, *, 0-39.0, *, *, *, *, false, *, *, *, 575
*, *, 0-41.0, *, 16.0-49, *, *, 0-39.0, *, *, *, *, false, *, *, *, 140
*, *, 0-41.0, *, 0-15.0, *, *, 40.0-133, *, *, *, *, true, *, *, *, 1850
*, *, 0-41.0, *, 0-15.0, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2425
*, *, 0-41.0, *, 0-15.0, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2400
*, *, 0-41.0, *, 0-15.0, *, *, 40.0-133, *, *, *, *, true, *, *, *, 1150
*, *, 0-41.0, *, 0-15.0, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2167
*, *, 0-41.0, *, 0-15.0, *, *, 40.0-133, *, *, *, *, true, *, *, *, 1375
*, *, 0-41.0, *, 0-15.0, *, *, 40.0-133, *, *, *, *, true, *, *, *, 109
*, *, 0-41.0, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2183
*, *, 0-41.0, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 687
*, *, 0-41.0, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 550
*, *, 0-41.0, *, 0-15.0, *, *, 40.0-133, *, *, *, *, false, *, *, *, 2567
*, *, 0-41.0, *, 0-15.0, *, *, 40.0-133, *, *, *, *, false, *, *, *, 260
*, *, 0-41.0, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 660
*, *, 0-41.0, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 992
*, *, 0-41.0, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 146
*, *, 0-41.0, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 200
*, *, 0-41.0, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 850
*, *, 0-41.0, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 150
*, *, 0-41.0, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 280
*, *, 0-41.0, *, 16.0-49, *, *, 40.0-133, *, *, *, *, false, *, *, *, 740
*, *, 42.0-133, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 3213
*, *, 42.0-133, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 1600
*, *, 42.0-133, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 2317
*, *, 42.0-133, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 825
*, *, 42.0-133, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 2785
*, *, 42.0-133, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 2833
*, *, 42.0-133, *, 0-15.0, *, *, 0-39.0, *, *, *, *, true, *, *, *, 3333
*, *, 42.0-133, *, 16.0-49, *, *, 0-39.0, *, *, *, *, true, *, *, *, 1617
*, *, 42.0-133, *, 16.0-49, *, *, 0-39.0, *, *, *, *, true, *, *, *, 840
*, *, 42.0-133, *, 16.0-49, *, *, 0-39.0, *, *, *, *, true, *, *, *, 2167
*, *, 42.0-133, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 275
*, *, 42.0-133, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 1550
*, *, 42.0-133, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 650
*, *, 42.0-133, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 230
*, *, 42.0-133, *, 0-15.0, *, *, 0-39.0, *, *, *, *, false, *, *, *, 145
*, *, 42.0-133, *, 16.0-49, *, *, 0-39.0, *, *, *, *, false, *, *, *, 300
*, *, 42.0-133, *, 16.0-49, *, *, 0-39.0, *, *, *, *, false, *, *, *, 2100
*, *, 42.0-133, *, 16.0-49, *, *, 0-39.0, *, *, *, *, false, *, *, *, 125
*, *, 42.0-133, *, 16.0-49, *, *, 0-39.0, *, *, *, *, false, *, *, *, 109
*, *, 42.0-133, *, 16.0-49, *, *, 0-39.0, *, *, *, *, false, *, *, *, 183
*, *, 42.0-133, *, 0-15.0, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2500
*, *, 42.0-133, *, 0-15.0, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2000
*, *, 42.0-133, *, 0-15.0, *, *, 40.0-133, *, *, *, *, true, *, *, *, 850
*, *, 42.0-133, *, 0-15.0, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2000
*, *, 42.0-133, *, 0-15.0, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2017
*, *, 42.0-133, *, 0-15.0, *, *, 40.0-133, *, *, *, *, true, *, *, *, 1050
*, *, 42.0-133, *, 0-15.0, *, *, 40.0-133, *, *, *, *, true, *, *, *, 1950
*, *, 42.0-133, *, 0-15.0, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2317
*, *, 42.0-133, *, 0-15.0, *, *, 40.0-133, *, *, *, *, true, *, *, *, 3750
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 3300
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2600
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2175
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2600
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 1907
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 990
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 6100
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 4125
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2319
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 1394
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2500
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2350
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 4450
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2000
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 3150
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 1750
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 4350
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 4050
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 4075
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2387
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 1750
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 4275
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 3563
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 1600
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2100
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 1300
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 1025
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2900
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2850
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2700
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2400
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2300
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 4500
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 3358
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2400
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2200
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 1567
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 3453
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 3200
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 1150
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 5300
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 3620
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2500
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 3742
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 3633
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2383
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2300
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2700
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 3650
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 3575
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 3500
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2500
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 1350
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 4200
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 3417
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 3100
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 1650
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 109
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 3100
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2992
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2800
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2500
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 3250
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2825
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2600
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 1583
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2188
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 4300
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 2387
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 950
*, *, 42.0-133, *, 16.0-49, *, *, 40.0-133, *, *, *, *, true, *, *, *, 600
*, *, 42.0-133, *, 0-15.0, *, *, 40.0-133, *, *, *, *, false, *, *, *, 302
*, *, 42.0-133, *, 0-15.0, *, *, 40.0-133, *, *, *, *, false, *, *, *, 940
*, *, 42.0-133, *, 0-15.0, *, *, 40.0-133, *, *, *, *, false, *, *, *, 805
*, *, 42.0-133, *, 0-15.0, *, *, 40.0-133, *, *, *, *, false, *, *, *, 750
*, *, 42.0-133, *, 0-15.0, *, *, 40.0-133, *, *, *, *, false, *, *, *, 395
*, *, 42.0-133, *, 0-15.0, *, *, 40.0-133, *, *, *, *, false, *, *, *, 255
*, *, 42.0-133, *, 0-15.0, *, *, 40.0-133, *, *, *, *, false, *, *, *, 565
