17 - 25, *, *, married, *, *, male, *, 76623
17 - 25, *, *, married, *, *, male, *, 9553
17 - 25, *, *, married, *, *, male, *, 66253
17 - 25, *, *, married, *, *, male, *, 69131
17 - 25, *, *, married, *, *, male, *, 53673
17 - 25, *, *, married, *, *, male, *, 74145
17 - 25, *, *, married, *, *, male, *, 5033
17 - 25, *, *, married, *, *, male, *, 60439
17 - 25, *, *, married, *, *, male, *, 44754
17 - 25, *, *, married, *, *, male, *, 69812
17 - 25, *, *, married, *, *, male, *, 87561
17 - 25, *, *, married, *, *, male, *, 11103
17 - 25, *, *, married, *, *, male, *, 84324
17 - 25, *, *, married, *, *, male, *, 61843
17 - 25, *, *, married, *, *, male, *, 41418
17 - 25, *, *, married, *, *, male, *, 35665
17 - 25, *, *, married, *, *, male, *, 49040
17 - 25, *, *, married, *, *, male, *, 84428
17 - 25, *, *, married, *, *, male, *, 48695
17 - 25, *, *, married, *, *, male, *, 49725
17 - 25, *, *, married, *, *, male, *, 45959
17 - 25, *, *, married, *, *, male, *, 117189
17 - 25, *, *, married, *, *, male, *, 63348
17 - 25, *, *, married, *, *, male, *, 55128
17 - 25, *, *, married, *, *, male, *, 69871
17 - 25, *, *, married, *, *, male, *, 88155
17 - 25, *, *, married, *, *, male, *, 93679
17 - 25, *, *, married, *, *, male, *, 42123
17 - 25, *, *, married, *, *, male, *, 16016
17 - 25, *, *, married, *, *, male, *, 39820
17 - 25, *, *, married, *, *, male, *, 79454
17 - 25, *, *, married, *, *, male, *, 71961
17 - 25, *, *, married, *, *, male, *, 58915
17 - 25, *, *, married, *, *, male, *, 50670
17 - 25, *, *, married, *, *, male, *, 71755
17 - 25, *, *, married, *, *, male, *, 90804
17 - 25, *, *, married, *, *, male, *, 37033
17 - 25, *, *, married, *, *, male, *, 97500
17 - 25, *, *, married, *, *, male, *, 78720
17 - 25, *, *, married, *, *, male, *, 54233
17 - 25, *, *, married, *, *, male, *, 66356
17 - 25, *, *, married, *, *, male, *, 77268
17 - 25, *, *, married, *, *, male, *, 107264
17 - 25, *, *, married, *, *, male, *, 50349
17 - 25, *, *, married, *, *, male, *, 81784
17 - 25, *, *, married, *, *, male, *, 97046
17 - 25, *, *, married, *, *, male, *, 46795
17 - 25, *, *, married, *, *, male, *, 54585
17 - 25, *, *, married, *, *, male, *, 68815
17 - 25, *, *, married, *, *, male, *, 74372
17 - 25, *, *, married, *, *, male, *, 82620
17 - 25, *, *, married, *, *, male, *, 75889
17 - 25, *, *, married, *, *, male, *, 82858
17 - 25, *, *, married, *, *, male, *, 64878
17 - 25, *, *, married, *, *, male, *, 125720
17 - 25, *, *, married, *, *, male, *, 10521
17 - 25, *, *, married, *, *, male, *, 78775
17 - 25, *, *, married, *, *, male, *, 36311
17 - 25, *, *, married, *, *, male, *, 62091
17 - 25, *, *, married, *, *, male, *, 52550
17 - 25, *, *, married, *, *, male, *, 52593
17 - 25, *, *, married, *, *, male, *, 36730
17 - 25, *, *, married, *, *, male, *, 53723
17 - 25, *, *, married, *, *, male, *, 46750
17 - 25, *, *, married, *, *, male, *, 69249
17 - 25, *, *, married, *, *, male, *, 59222
17 - 25, *, *, married, *, *, male, *, 77448
17 - 25, *, *, married, *, *, male, *, 62885
17 - 25, *, *, married, *, *, male, *, 117048
17 - 25, *, *, married, *, *, male, *, 10508
17 - 25, *, *, married, *, *, male, *, 46327
17 - 25, *, *, married, *, *, male, *, 85960
17 - 25, *, *, married, *, *, male, *, 75973
17 - 25, *, *, married, *, *, male, *, 56550
17 - 25, *, *, married, *, *, male, *, 96848
17 - 25, *, *, married, *, *, male, *, 45351
17 - 25, *, *, married, *, *, male, *, 35722
17 - 25, *, *, married, *, *, male, *, 51743
17 - 25, *, *, married, *, *, male, *, 97331
17 - 25, *, *, married, *, *, male, *, 95497
17 - 25, *, *, married, *, *, male, *, 74040
17 - 25, *, *, married, *, *, male, *, 80171
17 - 25, *, *, married, *, *, male, *, 49198
17 - 25, *, *, married, *, *, male, *, 78929
17 - 25, *, *, married, *, *, male, *, 90936
17 - 25, *, *, married, *, *, male, *, 51225
17 - 25, *, *, married, *, *, male, *, 54745
17 - 25, *, *, married, *, *, male, *, 91126
17 - 25, *, *, married, *, *, male, *, 109586
17 - 25, *, *, married, *, *, male, *, 124568
17 - 25, *, *, married, *, *, male, *, 79829
17 - 25, *, *, married, *, *, male, *, 37713
17 - 25, *, *, married, *, *, male, *, 62801
17 - 25, *, *, married, *, *, male, *, 72306
17 - 25, *, *, married, *, *, male, *, 58545
17 - 25, *, *, married, *, *, male, *, 58624
17 - 25, *, *, married, *, *, male, *, 55109
17 - 25, *, *, married, *, *, male, *, 54933
17 - 25, *, *, married, *, *, male, *, 65954
17 - 25, *, *, married, *, *, male, *, 84443
17 - 25, *, *, married, *, *, male, *, 73207
17 - 25, *, *, married, *, *, male, *, 55918
17 - 25, *, *, married, *, *, male, *, 37739
17 - 25, *, *, married, *, *, male, *, 48334
17 - 25, *, *, married, *, *, male, *, 67915
17 - 25, *, *, married, *, *, male, *, 69409
17 - 25, *, *, married, *, *, male, *, 49859
17 - 25, *, *, married, *, *, male, *, 94459
17 - 25, *, *, married, *, *, male, *, 61457
17 - 25, *, *, married, *, *, male, *, 40393
17 - 25, *, *, married, *, *, male, *, 88184
17 - 25, *, *, married, *, *, male, *, 90340
17 - 25, *, *, married, *, *, male, *, 58060
17 - 25, *, *, married, *, *, male, *, 74889
17 - 25, *, *, married, *, *, male, *, 94645
17 - 25, *, *, married, *, *, male, *, 75480
17 - 25, *, *, married, *, *, male, *, 35888
17 - 25, *, *, married, *, *, male, *, 52106
17 - 25, *, *, married, *, *, male, *, 87377
17 - 25, *, *, married, *, *, male, *, 76920
17 - 25, *, *, married, *, *, male, *, 93637
17 - 25, *, *, married, *, *, male, *, 59860
17 - 25, *, *, married, *, *, male, *, 128585
17 - 25, *, *, married, *, *, male, *, 65118
17 - 25, *, *, married, *, *, male, *, 58322
17 - 25, *, *, married, *, *, male, *, 48307
17 - 25, *, *, married, *, *, male, *, 76215
17 - 25, *, *, married, *, *, male, *, 62696
17 - 25, *, *, married, *, *, male, *, 133691
17 - 25, *, *, married, *, *, male, *, 69018
17 - 25, *, *, married, *, *, male, *, 42770
17 - 25, *, *, married, *, *, male, *, 27333
17 - 25, *, *, married, *, *, male, *, 68585
17 - 25, *, *, married, *, *, male, *, 89156
17 - 25, *, *, married, *, *, male, *, 59484
17 - 25, *, *, married, *, *, male, *, 44262
17 - 25, *, *, married, *, *, male, *, 86317
17 - 25, *, *, married, *, *, male, *, 20125
17 - 25, *, *, married, *, *, male, *, 82953
17 - 25, *, *, married, *, *, male, *, 76714
17 - 25, *, *, married, *, *, male, *, 72069
17 - 25, *, *, married, *, *, male, *, 63286
17 - 25, *, *, married, *, *, male, *, 36386
17 - 25, *, *, married, *, *, male, *, 57714
17 - 25, *, *, married, *, *, male, *, 55584
17 - 25, *, *, married, *, *, male, *, 70165
17 - 25, *, *, married, *, *, male, *, 92102
17 - 25, *, *, married, *, *, male, *, 52669
17 - 25, *, *, married, *, *, male, *, 85481
17 - 25, *, *, married, *, *, male, *, 76954
17 - 25, *, *, married, *, *, male, *, 47977
17 - 25, *, *, married, *, *, male, *, 85250
17 - 25, *, *, married, *, *, male, *, 58553
17 - 25, *, *, married, *, *, male, *, 83953
17 - 25, *, *, married, *, *, male, *, 60248
17 - 25, *, *, married, *, *, male, *, 60882
17 - 25, *, *, married, *, *, male, *, 119932
17 - 25, *, *, married, *, *, male, *, 93576
17 - 25, *, *, married, *, *, male, *, 53438
17 - 25, *, *, married, *, *, male, *, 58657
17 - 25, *, *, married, *, *, male, *, 54544
17 - 25, *, *, married, *, *, male, *, 51412
17 - 25, *, *, married, *, *, male, *, 81566
17 - 25, *, *, married, *, *, male, *, 93097
17 - 25, *, *, married, *, *, male, *, 66087
17 - 25, *, *, married, *, *, male, *, 86701
17 - 25, *, *, married, *, *, male, *, 80894
17 - 25, *, *, married, *, *, male, *, 90956
17 - 25, *, *, married, *, *, male, *, 82928
17 - 25, *, *, married, *, *, male, *, 101129
17 - 25, *, *, married, *, *, male, *, 72946
17 - 25, *, *, married, *, *, male, *, 70011
17 - 25, *, *, married, *, *, male, *, 70135
17 - 25, *, *, married, *, *, male, *, 53091
17 - 25, *, *, married, *, *, male, *, 87040
17 - 25, *, *, married, *, *, male, *, 72054
17 - 25, *, *, married, *, *, male, *, 37763
17 - 25, *, *, married, *, *, male, *, 55586
17 - 25, *, *, married, *, *, male, *, 60018
17 - 25, *, *, married, *, *, male, *, 86174
17 - 25, *, *, married, *, *, male, *, 48218
17 - 25, *, *, married, *, *, male, *, 47539
17 - 25, *, *, married, *, *, male, *, 123995
17 - 25, *, *, married, *, *, male, *, 92338
17 - 25, *, *, married, *, *, male, *, 63196
17 - 25, *, *, married, *, *, male, *, 136277
17 - 25, *, *, married, *, *, male, *, 35889
17 - 25, *, *, married, *, *, male, *, 78162
17 - 25, *, *, married, *, *, male, *, 56468
17 - 25, *, *, married, *, *, male, *, 38689
17 - 25, *, *, married, *, *, male, *, 79658
17 - 25, *, *, married, *, *, male, *, 104726
17 - 25, *, *, married, *, *, male, *, 47892
17 - 25, *, *, married, *, *, male, *, 78331
17 - 25, *, *, married, *, *, male, *, 57658
17 - 25, *, *, married, *, *, male, *, 67952
17 - 25, *, *, married, *, *, male, *, 64904
17 - 25, *, *, married, *, *, male, *, 93766
17 - 25, *, *, married, *, *, male, *, 70073
17 - 25, *, *, married, *, *, male, *, 60507
17 - 25, *, *, married, *, *, male, *, 139437
17 - 25, *, *, married, *, *, male, *, 56291
17 - 25, *, *, married, *, *, male, *, 57214
17 - 25, *, *, married, *, *, male, *, 45943
17 - 25, *, *, married, *, *, male, *, 65890
17 - 25, *, *, married, *, *, male, *, 79686
17 - 25, *, *, married, *, *, male, *, 46914
17 - 25, *, *, married, *, *, male, *, 63192
17 - 25, *, *, married, *, *, male, *, 57305
17 - 25, *, *, married, *, *, male, *, 53222
17 - 25, *, *, married, *, *, male, *, 51862
17 - 25, *, *, married, *, *, male, *, 80706
17 - 25, *, *, married, *, *, male, *, 72802
17 - 25, *, *, married, *, *, male, *, 59325
17 - 25, *, *, married, *, *, male, *, 102846
17 - 25, *, *, married, *, *, male, *, 39747
17 - 25, *, *, married, *, *, male, *, 59537
17 - 25, *, *, married, *, *, male, *, 88084
17 - 25, *, *, married, *, *, male, *, 37007
17 - 25, *, *, married, *, *, male, *, 72436
17 - 25, *, *, married, *, *, male, *, 41440
17 - 25, *, *, married, *, *, male, *, 62430
17 - 25, *, *, married, *, *, male, *, 62412
17 - 25, *, *, married, *, *, male, *, 55124
17 - 25, *, *, married, *, *, male, *, 42952
17 - 25, *, *, married, *, *, male, *, 71041
17 - 25, *, *, married, *, *, male, *, 19484
17 - 25, *, *, married, *, *, male, *, 42913
17 - 25, *, *, married, *, *, male, *, 55276
17 - 25, *, *, married, *, *, male, *, 64642
17 - 25, *, *, married, *, *, male, *, 89968
17 - 25, *, *, married, *, *, male, *, 69900
17 - 25, *, *, married, *, *, male, *, 54851
17 - 25, *, *, married, *, *, male, *, 49572
17 - 25, *, *, married, *, *, male, *, 73816
17 - 25, *, *, married, *, *, male, *, 49622
17 - 25, *, *, married, *, *, male, *, 75634
17 - 25, *, *, married, *, *, male, *, 43959
17 - 25, *, *, married, *, *, male, *, 56221
17 - 25, *, *, married, *, *, male, *, 78667
17 - 25, *, *, married, *, *, male, *, 45445
17 - 25, *, *, married, *, *, male, *, 81747
17 - 25, *, *, married, *, *, male, *, 68536
17 - 25, *, *, married, *, *, male, *, 44260
17 - 25, *, *, married, *, *, male, *, 49024
17 - 25, *, *, married, *, *, male, *, 71223
17 - 25, *, *, married, *, *, male, *, 61221
17 - 25, *, *, married, *, *, male, *, 63208
17 - 25, *, *, married, *, *, male, *, 46070
17 - 25, *, *, married, *, *, male, *, 46827
17 - 25, *, *, married, *, *, male, *, 60030
17 - 25, *, *, married, *, *, male, *, 35265
17 - 25, *, *, married, *, *, male, *, 63540
17 - 25, *, *, married, *, *, male, *, 80090
17 - 25, *, *, married, *, *, male, *, 37204
17 - 25, *, *, married, *, *, male, *, 42962
17 - 25, *, *, married, *, *, male, *, 31881
17 - 25, *, *, married, *, *, male, *, 75299
17 - 25, *, *, married, *, *, male, *, 55564
17 - 25, *, *, married, *, *, male, *, 74973
17 - 25, *, *, married, *, *, male, *, 55992
17 - 25, *, *, married, *, *, male, *, 67790
17 - 25, *, *, married, *, *, male, *, 47923
17 - 25, *, *, married, *, *, male, *, 44702
17 - 25, *, *, married, *, *, male, *, 41911
17 - 25, *, *, married, *, *, male, *, 73748
17 - 25, *, *, married, *, *, male, *, 92424
17 - 25, *, *, married, *, *, male, *, 77572
17 - 25, *, *, married, *, *, male, *, 47004
17 - 25, *, *, married, *, *, male, *, 93806
17 - 25, *, *, married, *, *, male, *, 82668
17 - 25, *, *, married, *, *, male, *, 70637
17 - 25, *, *, married, *, *, male, *, 92090
17 - 25, *, *, married, *, *, male, *, 57384
17 - 25, *, *, married, *, *, male, *, 86889
17 - 25, *, *, married, *, *, male, *, 31556
17 - 25, *, *, married, *, *, male, *, 73423
17 - 25, *, *, married, *, *, male, *, 88314
17 - 25, *, *, married, *, *, male, *, 89236
17 - 25, *, *, married, *, *, male, *, 66099
17 - 25, *, *, married, *, *, male, *, 56409
17 - 25, *, *, married, *, *, male, *, 33761
17 - 25, *, *, married, *, *, male, *, 88264
17 - 25, *, *, married, *, *, male, *, 60809
17 - 25, *, *, married, *, *, male, *, 63455
17 - 25, *, *, married, *, *, male, *, 114908
17 - 25, *, *, married, *, *, male, *, 32264
17 - 25, *, *, married, *, *, male, *, 62634
17 - 25, *, *, married, *, *, male, *, 48152
17 - 25, *, *, married, *, *, male, *, 69983
17 - 25, *, *, married, *, *, male, *, 69482
17 - 25, *, *, married, *, *, male, *, 66350
17 - 25, *, *, married, *, *, male, *, 43015
17 - 25, *, *, married, *, *, male, *, 81181
17 - 25, *, *, married, *, *, male, *, 57913
17 - 25, *, *, married, *, *, male, *, 35292
17 - 25, *, *, married, *, *, male, *, 79572
17 - 25, *, *, married, *, *, male, *, 92889
17 - 25, *, *, married, *, *, male, *, 128021
17 - 25, *, *, married, *, *, male, *, 40705
17 - 25, *, *, married, *, *, male, *, 65806
17 - 25, *, *, married, *, *, male, *, 65789
17 - 25, *, *, married, *, *, male, *, 51780
17 - 25, *, *, married, *, *, male, *, 40855
17 - 25, *, *, married, *, *, male, *, 61671
17 - 25, *, *, married, *, *, male, *, 59289
17 - 25, *, *, married, *, *, male, *, 41696
17 - 25, *, *, married, *, *, male, *, 49559
17 - 25, *, *, married, *, *, male, *, 90041
17 - 25, *, *, married, *, *, male, *, 90864
17 - 25, *, *, married, *, *, male, *, 70058
17 - 25, *, *, married, *, *, male, *, 71426
17 - 25, *, *, married, *, *, male, *, 83980
17 - 25, *, *, married, *, *, male, *, 61225
17 - 25, *, *, married, *, *, male, *, 70784
17 - 25, *, *, married, *, *, male, *, 88080
17 - 25, *, *, married, *, *, male, *, 77304
17 - 25, *, *, married, *, *, male, *, 69256
17 - 25, *, *, married, *, *, male, *, 91106
17 - 25, *, *, married, *, *, male, *, 39667
17 - 25, *, *, married, *, *, male, *, 83515
17 - 25, *, *, married, *, *, male, *, 90758
17 - 25, *, *, married, *, *, male, *, 43552
17 - 25, *, *, married, *, *, male, *, 58723
17 - 25, *, *, married, *, *, male, *, 40742
17 - 25, *, *, married, *, *, male, *, 73519
17 - 25, *, *, married, *, *, male, *, 86063
17 - 25, *, *, married, *, *, male, *, 49554
17 - 25, *, *, married, *, *, male, *, 98606
17 - 25, *, *, married, *, *, male, *, 94593
17 - 25, *, *, married, *, *, male, *, 52549
17 - 25, *, *, married, *, *, male, *, 81572
17 - 25, *, *, married, *, *, male, *, 37771
17 - 25, *, *, married, *, *, male, *, 65734
17 - 25, *, *, married, *, *, male, *, 72199
17 - 25, *, *, married, *, *, male, *, 24439
17 - 25, *, *, married, *, *, male, *, 75749
17 - 25, *, *, married, *, *, male, *, 77007
17 - 25, *, *, married, *, *, male, *, 99969
17 - 25, *, *, married, *, *, male, *, 66042
17 - 25, *, *, married, *, *, male, *, 78559
17 - 25, *, *, married, *, *, male, *, 73241
17 - 25, *, *, married, *, *, male, *, 87125
17 - 25, *, *, married, *, *, male, *, 54014
17 - 25, *, *, married, *, *, male, *, 62636
17 - 25, *, *, married, *, *, male, *, 40036
17 - 25, *, *, married, *, *, male, *, 77061
17 - 25, *, *, married, *, *, male, *, 25117
17 - 25, *, *, married, *, *, male, *, 136705
17 - 25, *, *, married, *, *, male, *, 80659
17 - 25, *, *, married, *, *, male, *, 83913
17 - 25, *, *, married, *, *, male, *, 74430
17 - 25, *, *, married, *, *, male, *, 73303
17 - 25, *, *, married, *, *, male, *, 67084
17 - 25, *, *, married, *, *, male, *, 68831
17 - 25, *, *, married, *, *, male, *, 57621
17 - 25, *, *, married, *, *, male, *, 43405
17 - 25, *, *, married, *, *, male, *, 86818
17 - 25, *, *, married, *, *, male, *, 63608
17 - 25, *, *, married, *, *, male, *, 61918
17 - 25, *, *, married, *, *, male, *, 95021
17 - 25, *, *, married, *, *, male, *, 52775
17 - 25, *, *, married, *, *, male, *, 113258
17 - 25, *, *, married, *, *, male, *, 106900
17 - 25, *, *, married, *, *, male, *, 93778
17 - 25, *, *, married, *, *, male, *, 74204
17 - 25, *, *, married, *, *, male, *, 69618
17 - 25, *, *, married, *, *, male, *, 56276
17 - 25, *, *, married, *, *, male, *, 84694
17 - 25, *, *, married, *, *, male, *, 64242
17 - 25, *, *, married, *, *, male, *, 85350
17 - 25, *, *, married, *, *, male, *, 90111
17 - 25, *, *, married, *, *, male, *, 112168
17 - 25, *, *, married, *, *, male, *, 85045
17 - 25, *, *, married, *, *, male, *, 88014
17 - 25, *, *, married, *, *, male, *, 44283
17 - 25, *, *, married, *, *, male, *, 95501
17 - 25, *, *, married, *, *, male, *, 111594
17 - 25, *, *, married, *, *, male, *, 55727
17 - 25, *, *, married, *, *, male, *, 102254
17 - 25, *, *, married, *, *, male, *, 84327
17 - 25, *, *, married, *, *, male, *, 56527
17 - 25, *, *, married, *, *, male, *, 91641
17 - 25, *, *, married, *, *, male, *, 111672
17 - 25, *, *, married, *, *, male, *, 52556
17 - 25, *, *, married, *, *, male, *, 89897
17 - 25, *, *, married, *, *, male, *, 77179
17 - 25, *, *, married, *, *, male, *, 61894
17 - 25, *, *, married, *, *, male, *, 63618
17 - 25, *, *, married, *, *, male, *, 67002
17 - 25, *, *, married, *, *, male, *, 42069
17 - 25, *, *, married, *, *, male, *, 55884
17 - 25, *, *, married, *, *, male, *, 43956
17 - 25, *, *, married, *, *, male, *, 59780
17 - 25, *, *, married, *, *, male, *, 74457
17 - 25, *, *, married, *, *, male, *, 51398
17 - 25, *, *, married, *, *, male, *, 86849
17 - 25, *, *, married, *, *, male, *, 90281
17 - 25, *, *, married, *, *, male, *, 87123
17 - 25, *, *, married, *, *, male, *, 61462
17 - 25, *, *, married, *, *, male, *, 66763
17 - 25, *, *, married, *, *, male, *, 78690
17 - 25, *, *, married, *, *, male, *, 117671
17 - 25, *, *, married, *, *, male, *, 96541
17 - 25, *, *, married, *, *, male, *, 64091
17 - 25, *, *, married, *, *, male, *, 54537
17 - 25, *, *, married, *, *, male, *, 45716
17 - 25, *, *, married, *, *, male, *, 80084
17 - 25, *, *, married, *, *, male, *, 88934
17 - 25, *, *, married, *, *, male, *, 68082
17 - 25, *, *, married, *, *, male, *, 78266
17 - 25, *, *, married, *, *, male, *, 102343
17 - 25, *, *, married, *, *, male, *, 89609
17 - 25, *, *, married, *, *, male, *, 76647
17 - 25, *, *, married, *, *, male, *, 60641
17 - 25, *, *, married, *, *, male, *, 65919
17 - 25, *, *, married, *, *, male, *, 103849
17 - 25, *, *, married, *, *, male, *, 61282
17 - 25, *, *, married, *, *, male, *, 46052
17 - 25, *, *, married, *, *, male, *, 76733
17 - 25, *, *, married, *, *, male, *, 55753
17 - 25, *, *, married, *, *, male, *, 89583
17 - 25, *, *, married, *, *, male, *, 50399
17 - 25, *, *, married, *, *, male, *, 78999
17 - 25, *, *, married, *, *, male, *, 39917
17 - 25, *, *, married, *, *, male, *, 59560
17 - 25, *, *, married, *, *, male, *, 83240
17 - 25, *, *, married, *, *, male, *, 65836
17 - 25, *, *, married, *, *, male, *, 67753
17 - 25, *, *, married, *, *, male, *, 71425
17 - 25, *, *, married, *, *, male, *, 56000
17 - 25, *, *, married, *, *, male, *, 93464
17 - 25, *, *, married, *, *, male, *, 61995
17 - 25, *, *, married, *, *, male, *, 48986
17 - 25, *, *, married, *, *, male, *, 85209
17 - 25, *, *, married, *, *, male, *, 57619
17 - 25, *, *, married, *, *, male, *, 36712
17 - 25, *, *, married, *, *, male, *, 84920
17 - 25, *, *, married, *, *, male, *, 35068
17 - 25, *, *, married, *, *, male, *, 67195
17 - 25, *, *, married, *, *, male, *, 85188
17 - 25, *, *, married, *, *, male, *, 73572
17 - 25, *, *, married, *, *, male, *, 18926
17 - 25, *, *, married, *, *, male, *, 42894
17 - 25, *, *, married, *, *, male, *, 94758
17 - 25, *, *, married, *, *, male, *, 74903
17 - 25, *, *, married, *, *, male, *, 68967
17 - 25, *, *, married, *, *, male, *, 46418
17 - 25, *, *, married, *, *, male, *, 52865
17 - 25, *, *, married, *, *, male, *, 53320
17 - 25, *, *, married, *, *, male, *, 107489
17 - 25, *, *, married, *, *, male, *, 38317
17 - 25, *, *, married, *, *, male, *, 75886
17 - 25, *, *, married, *, *, male, *, 65346
17 - 25, *, *, married, *, *, male, *, 117733
17 - 25, *, *, married, *, *, male, *, 63456
17 - 25, *, *, married, *, *, male, *, 45040
17 - 25, *, *, married, *, *, male, *, 66791
17 - 25, *, *, married, *, *, male, *, 56331
17 - 25, *, *, married, *, *, male, *, 41594
17 - 25, *, *, married, *, *, male, *, 41413
17 - 25, *, *, married, *, *, male, *, 45102
17 - 25, *, *, married, *, *, male, *, 35475
17 - 25, *, *, married, *, *, male, *, 63538
17 - 25, *, *, married, *, *, male, *, 50926
17 - 25, *, *, married, *, *, male, *, 66361
17 - 25, *, *, married, *, *, male, *, 90814
17 - 25, *, *, married, *, *, male, *, 58006
17 - 25, *, *, married, *, *, male, *, 54785
17 - 25, *, *, married, *, *, male, *, 84857
17 - 25, *, *, married, *, *, male, *, 61237
17 - 25, *, *, married, *, *, male, *, 53871
17 - 25, *, *, married, *, *, male, *, 52112
17 - 25, *, *, married, *, *, male, *, 43795
17 - 25, *, *, married, *, *, male, *, 71442
17 - 25, *, *, married, *, *, male, *, 99998
17 - 25, *, *, married, *, *, male, *, 56211
17 - 25, *, *, married, *, *, male, *, 58120
17 - 25, *, *, married, *, *, male, *, 36343
17 - 25, *, *, married, *, *, male, *, 53460
17 - 25, *, *, married, *, *, male, *, 89399
17 - 25, *, *, married, *, *, male, *, 39116
17 - 25, *, *, married, *, *, male, *, 85044
17 - 25, *, *, married, *, *, male, *, 73301
17 - 25, *, *, married, *, *, male, *, 92468
17 - 25, *, *, married, *, *, male, *, 75115
17 - 25, *, *, married, *, *, male, *, 59480
17 - 25, *, *, married, *, *, male, *, 36849
17 - 25, *, *, married, *, *, male, *, 76129
17 - 25, *, *, married, *, *, male, *, 58589
17 - 25, *, *, married, *, *, male, *, 40113
17 - 25, *, *, married, *, *, male, *, 88749
17 - 25, *, *, married, *, *, male, *, 68517
17 - 25, *, *, married, *, *, male, *, 79769
17 - 25, *, *, married, *, *, male, *, 55785
17 - 25, *, *, married, *, *, male, *, 54859
17 - 25, *, *, married, *, *, male, *, 76765
17 - 25, *, *, married, *, *, male, *, 93945
17 - 25, *, *, married, *, *, male, *, 60823
17 - 25, *, *, married, *, *, male, *, 88189
17 - 25, *, *, married, *, *, male, *, 21231
17 - 25, *, *, married, *, *, male, *, 49833
17 - 25, *, *, married, *, *, male, *, 44414
17 - 25, *, *, married, *, *, male, *, 39889
17 - 25, *, *, married, *, *, male, *, 91998
17 - 25, *, *, married, *, *, male, *, 56932
17 - 25, *, *, married, *, *, male, *, 98142
17 - 25, *, *, married, *, *, male, *, 71214
17 - 25, *, *, married, *, *, male, *, 33718
17 - 25, *, *, married, *, *, male, *, 69207
17 - 25, *, *, married, *, *, male, *, 68270
17 - 25, *, *, married, *, *, male, *, 60204
17 - 25, *, *, married, *, *, male, *, 63036
17 - 25, *, *, married, *, *, male, *, 83579
17 - 25, *, *, married, *, *, male, *, 78907
17 - 25, *, *, married, *, *, male, *, 35850
17 - 25, *, *, married, *, *, male, *, 66757
17 - 25, *, *, married, *, *, male, *, 52371
17 - 25, *, *, married, *, *, male, *, 63906
17 - 25, *, *, married, *, *, male, *, 42398
26 - 27, *, *, married, *, *, male, *, 99793
26 - 27, *, *, married, *, *, male, *, 48314
26 - 27, *, *, married, *, *, male, *, 78192
26 - 27, *, *, married, *, *, male, *, 116766
26 - 27, *, *, married, *, *, male, *, 43768
