*, *, pre-primary, married, *, *, *, *, 19264
*, *, pre-primary, married, *, *, *, *, 5788
*, *, pre-primary, married, *, *, *, *, 5586
*, *, pre-primary, married, *, *, *, *, 19185
*, *, pre-primary, married, *, *, *, *, 15411
*, *, pre-primary, married, *, *, *, *, 17270
*, *, pre-primary, married, *, *, *, *, 5022
*, *, pre-primary, married, *, *, *, *, 10145
*, *, pre-primary, married, *, *, *, *, 6578
*, *, pre-primary, married, *, *, *, *, 8417
*, *, pre-primary, married, *, *, *, *, 14868
*, *, pre-primary, married, *, *, *, *, 9553
*, *, pre-primary, married, *, *, *, *, 6389
*, *, pre-primary, married, *, *, *, *, 19740
*, *, pre-primary, married, *, *, *, *, 19986
*, *, pre-primary, married, *, *, *, *, 12526
*, *, pre-primary, married, *, *, *, *, 6086
*, *, pre-primary, married, *, *, *, *, 14281
*, *, pre-primary, married, *, *, *, *, 7478
*, *, pre-primary, married, *, *, *, *, 12323
*, *, pre-primary, married, *, *, *, *, 9512
*, *, pre-primary, married, *, *, *, *, 5033
*, *, pre-primary, married, *, *, *, *, 18648
*, *, pre-primary, married, *, *, *, *, 16295
*, *, pre-primary, married, *, *, *, *, 5046
*, *, pre-primary, married, *, *, *, *, 7607
*, *, pre-primary, married, *, *, *, *, 6023
*, *, pre-primary, married, *, *, *, *, 14063
*, *, pre-primary, married, *, *, *, *, 10153
*, *, pre-primary, married, *, *, *, *, 12256
*, *, pre-primary, married, *, *, *, *, 5922
*, *, pre-primary, married, *, *, *, *, 17280
*, *, pre-primary, married, *, *, *, *, 16921
*, *, pre-primary, married, *, *, *, *, 5017
*, *, pre-primary, married, *, *, *, *, 5032
*, *, pre-primary, married, *, *, *, *, 10283
*, *, pre-primary, married, *, *, *, *, 9968
*, *, pre-primary, married, *, *, *, *, 8881
*, *, pre-primary, married, *, *, *, *, 12794
*, *, pre-primary, married, *, *, *, *, 10089
*, *, pre-primary, married, *, *, *, *, 12018
*, *, pre-primary, married, *, *, *, *, 12178
*, *, pre-primary, married, *, *, *, *, 14633
*, *, pre-primary, married, *, *, *, *, 11103
*, *, pre-primary, married, *, *, *, *, 17472
*, *, pre-primary, married, *, *, *, *, 12327
*, *, pre-primary, married, *, *, *, *, 13015
*, *, pre-primary, married, *, *, *, *, 11510
*, *, pre-primary, married, *, *, *, *, 18570
*, *, pre-primary, married, *, *, *, *, 7612
*, *, pre-primary, married, *, *, *, *, 19002
*, *, pre-primary, married, *, *, *, *, 9732
*, *, pre-primary, married, *, *, *, *, 7235
*, *, pre-primary, married, *, *, *, *, 19612
*, *, pre-primary, married, *, *, *, *, 12938
*, *, pre-primary, married, *, *, *, *, 12272
*, *, pre-primary, married, *, *, *, *, 17782
*, *, pre-primary, married, *, *, *, *, 11126
*, *, pre-primary, married, *, *, *, *, 16703
*, *, pre-primary, married, *, *, *, *, 6525
*, *, pre-primary, married, *, *, *, *, 10971
*, *, pre-primary, married, *, *, *, *, 15811
*, *, pre-primary, married, *, *, *, *, 7176
*, *, pre-primary, married, *, *, *, *, 11445
*, *, pre-primary, married, *, *, *, *, 18202
*, *, pre-primary, married, *, *, *, *, 18996
*, *, pre-primary, married, *, *, *, *, 9544
*, *, pre-primary, married, *, *, *, *, 9007
*, *, pre-primary, married, *, *, *, *, 12420
*, *, pre-primary, married, *, *, *, *, 5923
*, *, pre-primary, married, *, *, *, *, 15868
*, *, pre-primary, married, *, *, *, *, 17275
*, *, pre-primary, married, *, *, *, *, 9926
*, *, pre-primary, married, *, *, *, *, 6379
*, *, pre-primary, married, *, *, *, *, 19169
*, *, pre-primary, married, *, *, *, *, 14299
*, *, pre-primary, married, *, *, *, *, 17975
*, *, pre-primary, married, *, *, *, *, 10245
*, *, pre-primary, married, *, *, *, *, 17716
*, *, pre-primary, married, *, *, *, *, 14247
*, *, pre-primary, married, *, *, *, *, 6355
*, *, pre-primary, married, *, *, *, *, 17375
*, *, pre-primary, married, *, *, *, *, 9347
*, *, pre-primary, married, *, *, *, *, 7350
*, *, pre-primary, married, *, *, *, *, 15251
*, *, pre-primary, married, *, *, *, *, 13098
*, *, pre-primary, married, *, *, *, *, 13531
*, *, pre-primary, married, *, *, *, *, 18678
*, *, pre-primary, married, *, *, *, *, 13466
*, *, pre-primary, married, *, *, *, *, 18643
*, *, pre-primary, married, *, *, *, *, 13867
*, *, pre-primary, married, *, *, *, *, 6418
*, *, pre-primary, married, *, *, *, *, 11116
*, *, pre-primary, married, *, *, *, *, 18610
*, *, pre-primary, married, *, *, *, *, 13432
*, *, pre-primary, married, *, *, *, *, 17580
*, *, pre-primary, married, *, *, *, *, 5864
*, *, pre-primary, married, *, *, *, *, 12162
*, *, pre-primary, married, *, *, *, *, 6881
*, *, pre-primary, married, *, *, *, *, 10788
*, *, pre-primary, married, *, *, *, *, 12340
*, *, pre-primary, married, *, *, *, *, 9407
*, *, pre-primary, married, *, *, *, *, 12584
*, *, pre-primary, married, *, *, *, *, 12873
*, *, pre-primary, married, *, *, *, *, 14919
*, *, pre-primary, married, *, *, *, *, 11833
*, *, pre-primary, married, *, *, *, *, 18046
*, *, pre-primary, married, *, *, *, *, 9924
*, *, pre-primary, married, *, *, *, *, 6875
*, *, pre-primary, married, *, *, *, *, 12190
*, *, pre-primary, married, *, *, *, *, 6186
*, *, pre-primary, married, *, *, *, *, 10095
*, *, pre-primary, married, *, *, *, *, 19484
*, *, pre-primary, married, *, *, *, *, 19103
*, *, pre-primary, married, *, *, *, *, 12377
*, *, pre-primary, married, *, *, *, *, 7928
*, *, pre-primary, married, *, *, *, *, 12650
*, *, pre-primary, married, *, *, *, *, 10848
*, *, pre-primary, married, *, *, *, *, 11626
*, *, pre-primary, married, *, *, *, *, 6976
*, *, pre-primary, married, *, *, *, *, 10818
*, *, pre-primary, married, *, *, *, *, 8053
*, *, pre-primary, married, *, *, *, *, 17279
*, *, pre-primary, married, *, *, *, *, 17685
*, *, pre-primary, married, *, *, *, *, 10401
*, *, pre-primary, married, *, *, *, *, 14030
*, *, pre-primary, married, *, *, *, *, 12334
*, *, pre-primary, married, *, *, *, *, 16121
*, *, pre-primary, married, *, *, *, *, 17835
*, *, pre-primary, married, *, *, *, *, 17165
*, *, pre-primary, married, *, *, *, *, 11027
*, *, pre-primary, married, *, *, *, *, 7862
*, *, pre-primary, married, *, *, *, *, 9970
*, *, pre-primary, married, *, *, *, *, 10906
*, *, pre-primary, married, *, *, *, *, 12890
*, *, pre-primary, married, *, *, *, *, 14947
*, *, pre-primary, married, *, *, *, *, 16013
*, *, pre-primary, married, *, *, *, *, 18926
*, *, pre-primary, married, *, *, *, *, 5735
*, *, pre-primary, married, *, *, *, *, 18916
*, *, pre-primary, married, *, *, *, *, 5703
*, *, pre-primary, married, *, *, *, *, 10734
*, *, pre-primary, married, *, *, *, *, 16434
*, *, pre-primary, married, *, *, *, *, 5351
*, *, pre-primary, married, *, *, *, *, 11637
*, *, pre-primary, married, *, *, *, *, 14679
*, *, pre-primary, married, *, *, *, *, 5777
*, *, pre-primary, married, *, *, *, *, 17155
*, *, pre-primary, married, *, *, *, *, 17282
*, *, pre-primary, married, *, *, *, *, 10622
*, *, pre-primary, married, *, *, *, *, 12911
*, *, pre-primary, married, *, *, *, *, 11928
*, *, pre-primary, married, *, *, *, *, 18407
*, *, pre-primary, married, *, *, *, *, 17967
*, *, pre-primary, married, *, *, *, *, 11240
*, *, pre-primary, married, *, *, *, *, 16241
*, *, pre-primary, married, *, *, *, *, 18971
*, *, pre-primary, married, *, *, *, *, 7722
*, *, pre-primary, married, *, *, *, *, 10863
*, *, pre-primary, married, *, *, *, *, 19277
*, *, pre-primary, not-married, *, *, *, *, 9010
*, *, pre-primary, not-married, *, *, *, *, 15186
*, *, pre-primary, not-married, *, *, *, *, 7495
*, *, pre-primary, not-married, *, *, *, *, 5622
*, *, pre-primary, not-married, *, *, *, *, 10445
*, *, pre-primary, not-married, *, *, *, *, 8042
*, *, pre-primary, not-married, *, *, *, *, 10544
*, *, pre-primary, not-married, *, *, *, *, 17136
*, *, pre-primary, not-married, *, *, *, *, 18806
*, *, pre-primary, not-married, *, *, *, *, 10282
*, *, pre-primary, not-married, *, *, *, *, 17058
*, *, pre-primary, not-married, *, *, *, *, 18184
*, *, pre-primary, not-married, *, *, *, *, 5226
*, *, pre-primary, not-married, *, *, *, *, 6311
*, *, pre-primary, not-married, *, *, *, *, 11163
*, *, pre-primary, not-married, *, *, *, *, 12169
*, *, pre-primary, not-married, *, *, *, *, 16831
*, *, pre-primary, not-married, *, *, *, *, 12529
*, *, pre-primary, not-married, *, *, *, *, 14002
*, *, pre-primary, not-married, *, *, *, *, 6673
*, *, pre-primary, not-married, *, *, *, *, 5800
*, *, pre-primary, not-married, *, *, *, *, 12587
*, *, pre-primary, not-married, *, *, *, *, 18833
*, *, pre-primary, not-married, *, *, *, *, 6939
*, *, pre-primary, not-married, *, *, *, *, 7624
*, *, pre-primary, not-married, *, *, *, *, 8622
*, *, pre-primary, not-married, *, *, *, *, 5605
*, *, pre-primary, not-married, *, *, *, *, 7790
*, *, pre-primary, not-married, *, *, *, *, 18197
*, *, pre-primary, not-married, *, *, *, *, 8461
*, *, pre-primary, not-married, *, *, *, *, 17203
*, *, pre-primary, not-married, *, *, *, *, 10075
*, *, pre-primary, not-married, *, *, *, *, 16558
*, *, pre-primary, not-married, *, *, *, *, 8180
*, *, pre-primary, not-married, *, *, *, *, 17461
*, *, pre-primary, not-married, *, *, *, *, 9475
*, *, pre-primary, not-married, *, *, *, *, 5592
*, *, pre-primary, not-married, *, *, *, *, 15016
*, *, pre-primary, not-married, *, *, *, *, 7564
*, *, pre-primary, not-married, *, *, *, *, 13243
*, *, pre-primary, not-married, *, *, *, *, 18883
*, *, pre-primary, not-married, *, *, *, *, 8209
*, *, pre-primary, not-married, *, *, *, *, 19231
*, *, pre-primary, not-married, *, *, *, *, 8059
*, *, pre-primary, not-married, *, *, *, *, 17178
*, *, pre-primary, not-married, *, *, *, *, 17622
*, *, pre-primary, not-married, *, *, *, *, 10514
*, *, pre-primary, not-married, *, *, *, *, 9254
*, *, pre-primary, not-married, *, *, *, *, 17616
*, *, pre-primary, not-married, *, *, *, *, 11398
*, *, pre-primary, not-married, *, *, *, *, 5677
*, *, pre-primary, not-married, *, *, *, *, 13049
*, *, pre-primary, not-married, *, *, *, *, 6319
*, *, pre-primary, not-married, *, *, *, *, 10488
*, *, pre-primary, not-married, *, *, *, *, 16167
*, *, pre-primary, not-married, *, *, *, *, 12819
*, *, pre-primary, not-married, *, *, *, *, 18145
*, *, pre-primary, not-married, *, *, *, *, 12951
*, *, pre-primary, not-married, *, *, *, *, 16058
*, *, pre-primary, not-married, *, *, *, *, 11518
*, *, pre-primary, not-married, *, *, *, *, 7928
*, *, pre-primary, not-married, *, *, *, *, 6531
*, *, pre-primary, not-married, *, *, *, *, 6697
*, *, pre-primary, not-married, *, *, *, *, 15108
*, *, pre-primary, not-married, *, *, *, *, 17428
*, *, pre-primary, not-married, *, *, *, *, 15763
*, *, pre-primary, not-married, *, *, *, *, 15849
*, *, pre-primary, not-married, *, *, *, *, 16888
*, *, pre-primary, not-married, *, *, *, *, 12338
*, *, pre-primary, not-married, *, *, *, *, 18214
*, *, pre-primary, not-married, *, *, *, *, 16093
*, *, pre-primary, not-married, *, *, *, *, 13360
*, *, pre-primary, not-married, *, *, *, *, 19274
*, *, pre-primary, not-married, *, *, *, *, 8259
*, *, pre-primary, not-married, *, *, *, *, 11582
*, *, pre-primary, not-married, *, *, *, *, 14741
*, *, pre-primary, not-married, *, *, *, *, 18032
*, *, pre-primary, not-married, *, *, *, *, 16015
*, *, pre-primary, not-married, *, *, *, *, 8829
*, *, pre-primary, not-married, *, *, *, *, 12509
*, *, pre-primary, not-married, *, *, *, *, 19091
*, *, pre-primary, not-married, *, *, *, *, 12938
*, *, pre-primary, not-married, *, *, *, *, 17509
*, *, pre-primary, not-married, *, *, *, *, 9007
*, *, pre-primary, not-married, *, *, *, *, 13945
*, *, pre-primary, not-married, *, *, *, *, 13407
*, *, pre-primary, not-married, *, *, *, *, 18158
*, *, pre-primary, not-married, *, *, *, *, 6776
*, *, pre-primary, not-married, *, *, *, *, 18237
*, *, pre-primary, not-married, *, *, *, *, 12157
*, *, pre-primary, not-married, *, *, *, *, 19771
*, *, pre-primary, not-married, *, *, *, *, 13231
*, *, pre-primary, not-married, *, *, *, *, 10967
*, *, pre-primary, not-married, *, *, *, *, 6962
*, *, pre-primary, not-married, *, *, *, *, 19606
*, *, pre-primary, not-married, *, *, *, *, 14384
*, *, pre-primary, not-married, *, *, *, *, 19667
*, *, pre-primary, not-married, *, *, *, *, 10214
*, *, pre-primary, not-married, *, *, *, *, 9694
*, *, pre-primary, not-married, *, *, *, *, 7518
*, *, pre-primary, not-married, *, *, *, *, 7839
*, *, pre-primary, not-married, *, *, *, *, 19347
*, *, pre-primary, not-married, *, *, *, *, 5247
*, *, pre-primary, not-married, *, *, *, *, 17403
*, *, pre-primary, not-married, *, *, *, *, 6427
*, *, pre-primary, not-married, *, *, *, *, 14525
*, *, pre-primary, not-married, *, *, *, *, 12148
*, *, pre-primary, not-married, *, *, *, *, 11703
*, *, pre-primary, not-married, *, *, *, *, 17908
*, *, pre-primary, not-married, *, *, *, *, 6884
*, *, pre-primary, not-married, *, *, *, *, 17894
*, *, pre-primary, not-married, *, *, *, *, 7128
*, *, pre-primary, not-married, *, *, *, *, 12832
*, *, pre-primary, not-married, *, *, *, *, 17457
*, *, pre-primary, not-married, *, *, *, *, 9435
*, *, pre-primary, not-married, *, *, *, *, 19090
*, *, pre-primary, not-married, *, *, *, *, 16431
*, *, pre-primary, not-married, *, *, *, *, 11416
*, *, pre-primary, not-married, *, *, *, *, 10144
*, *, pre-primary, not-married, *, *, *, *, 8595
*, *, pre-primary, not-married, *, *, *, *, 16904
*, *, pre-primary, not-married, *, *, *, *, 5587
*, *, pre-primary, not-married, *, *, *, *, 9073
*, *, pre-primary, not-married, *, *, *, *, 19769
*, *, pre-primary, not-married, *, *, *, *, 5511
*, *, pre-primary, not-married, *, *, *, *, 17429
*, *, pre-primary, not-married, *, *, *, *, 18628
*, *, pre-primary, not-married, *, *, *, *, 12948
*, *, pre-primary, not-married, *, *, *, *, 9024
*, *, pre-primary, not-married, *, *, *, *, 11495
*, *, pre-primary, not-married, *, *, *, *, 19843
*, *, pre-primary, not-married, *, *, *, *, 12286
*, *, pre-primary, not-married, *, *, *, *, 10811
*, *, pre-primary, not-married, *, *, *, *, 10127
*, *, pre-primary, not-married, *, *, *, *, 18172
*, *, pre-primary, not-married, *, *, *, *, 11497
*, *, pre-primary, not-married, *, *, *, *, 6626
*, *, pre-primary, not-married, *, *, *, *, 9318
*, *, pre-primary, not-married, *, *, *, *, 15854
*, *, pre-primary, not-married, *, *, *, *, 11214
*, *, pre-primary, not-married, *, *, *, *, 13892
*, *, pre-primary, not-married, *, *, *, *, 6731
*, *, pre-primary, not-married, *, *, *, *, 16032
*, *, pre-primary, not-married, *, *, *, *, 12154
*, *, pre-primary, not-married, *, *, *, *, 6274
*, *, pre-primary, not-married, *, *, *, *, 18387
*, *, pre-primary, not-married, *, *, *, *, 14886
*, *, pre-primary, not-married, *, *, *, *, 12295
*, *, pre-primary, not-married, *, *, *, *, 9749
*, *, pre-primary, not-married, *, *, *, *, 18694
*, *, pre-primary, not-married, *, *, *, *, 11517
*, *, pre-primary, not-married, *, *, *, *, 14139
*, *, pre-primary, not-married, *, *, *, *, 11365
*, *, pre-primary, not-married, *, *, *, *, 14656
*, *, pre-primary, not-married, *, *, *, *, 15354
*, *, pre-primary, not-married, *, *, *, *, 8800
*, *, pre-primary, not-married, *, *, *, *, 7428
*, *, pre-primary, not-married, *, *, *, *, 19688
*, *, pre-primary, not-married, *, *, *, *, 9182
*, *, pre-primary, not-married, *, *, *, *, 5232
*, *, pre-primary, not-married, *, *, *, *, 15603
*, *, pre-primary, not-married, *, *, *, *, 7799
*, *, pre-primary, not-married, *, *, *, *, 18900
*, *, pre-primary, not-married, *, *, *, *, 17411
*, *, pre-primary, not-married, *, *, *, *, 10790
*, *, pre-primary, not-married, *, *, *, *, 9487
*, *, pre-primary, not-married, *, *, *, *, 18693
*, *, pre-primary, not-married, *, *, *, *, 10868
*, *, pre-primary, not-married, *, *, *, *, 14984
*, *, pre-primary, not-married, *, *, *, *, 6600
*, *, pre-primary, not-married, *, *, *, *, 19376
*, *, pre-primary, not-married, *, *, *, *, 16167
*, *, pre-primary, not-married, *, *, *, *, 14685
*, *, pre-primary, not-married, *, *, *, *, 14087
*, *, pre-primary, not-married, *, *, *, *, 14874
*, *, pre-primary, not-married, *, *, *, *, 17795
*, *, pre-primary, not-married, *, *, *, *, 12702
*, *, pre-primary, not-married, *, *, *, *, 14231
*, *, pre-primary, not-married, *, *, *, *, 13260
*, *, pre-primary, not-married, *, *, *, *, 10688
*, *, pre-primary, not-married, *, *, *, *, 18989
*, *, pre-primary, not-married, *, *, *, *, 18366
*, *, pre-primary, not-married, *, *, *, *, 12607
*, *, pre-primary, not-married, *, *, *, *, 9082
*, *, pre-primary, not-married, *, *, *, *, 7037
*, *, pre-primary, not-married, *, *, *, *, 11093
*, *, pre-primary, not-married, *, *, *, *, 13367
*, *, pre-primary, not-married, *, *, *, *, 5674
*, *, pre-primary, not-married, *, *, *, *, 8980
*, *, pre-primary, not-married, *, *, *, *, 9444
*, *, pre-primary, not-married, *, *, *, *, 12031
*, *, pre-primary, not-married, *, *, *, *, 8312
*, *, pre-primary, not-married, *, *, *, *, 16675
*, *, pre-primary, not-married, *, *, *, *, 19762
*, *, pre-primary, not-married, *, *, *, *, 16075
*, *, pre-primary, not-married, *, *, *, *, 10644
*, *, pre-primary, not-married, *, *, *, *, 18137
*, *, pre-primary, not-married, *, *, *, *, 10297
*, *, pre-primary, not-married, *, *, *, *, 7902
*, *, pre-primary, not-married, *, *, *, *, 17024
*, *, pre-primary, not-married, *, *, *, *, 5045
*, *, pre-primary, not-married, *, *, *, *, 8415
*, *, pre-primary, not-married, *, *, *, *, 8011
*, *, pre-primary, not-married, *, *, *, *, 5543
*, *, pre-primary, not-married, *, *, *, *, 6248
*, *, pre-primary, not-married, *, *, *, *, 8639
*, *, pre-primary, not-married, *, *, *, *, 8263
*, *, pre-primary, not-married, *, *, *, *, 6772
*, *, pre-primary, not-married, *, *, *, *, 8356
*, *, pre-primary, not-married, *, *, *, *, 16434
*, *, pre-primary, not-married, *, *, *, *, 9838
*, *, pre-primary, not-married, *, *, *, *, 12982
*, *, pre-primary, not-married, *, *, *, *, 12419
*, *, pre-primary, not-married, *, *, *, *, 13441
*, *, pre-primary, not-married, *, *, *, *, 11892
*, *, prof-school, married, *, *, *, *, 129451
*, *, prof-school, married, *, *, *, *, 63831
*, *, prof-school, married, *, *, *, *, 52622
*, *, prof-school, married, *, *, *, *, 78470
*, *, prof-school, married, *, *, *, *, 71270
*, *, prof-school, married, *, *, *, *, 106304
*, *, prof-school, married, *, *, *, *, 93219
*, *, prof-school, married, *, *, *, *, 107399
*, *, prof-school, married, *, *, *, *, 94525
*, *, prof-school, married, *, *, *, *, 128353
*, *, prof-school, married, *, *, *, *, 100717
*, *, prof-school, married, *, *, *, *, 118686
