Batting average,On-base percentage,Number of runs,Number of hits,Number of doubles,Number of triples,Number of home runs,Number of runs batted in,Number of walks,Number of strike-outs,Number of stolen bases,Number of errors,Indicator of free agency eligibility,Indicator of free agent in 1991/2,Indicator of arbitration eligibility,Indicator of arbitration in 1991/2,Salary (in thousands of dollars)
253,312,65,145,30,3,13,80,46,85,4,23,FALSE,FALSE,TRUE,FALSE,1500
295,358,79,161,23,4,4,46,53,71,19,11,FALSE,FALSE,TRUE,FALSE,1458
285,331,84,170,28,10,8,54,42,65,34,5,FALSE,FALSE,TRUE,FALSE,1210
262,319,44,121,20,7,4,50,40,49,9,10,FALSE,FALSE,FALSE,FALSE,935
214,290,38,72,12,1,11,38,36,92,1,3,TRUE,TRUE,FALSE,FALSE,800
218,327,26,31,3,1,1,11,24,17,16,0,FALSE,FALSE,FALSE,FALSE,395
294,387,79,163,26,4,15,82,75,116,7,12,FALSE,FALSE,FALSE,FALSE,350
254,320,51,120,28,9,13,69,40,101,10,5,FALSE,FALSE,FALSE,FALSE,285
243,270,27,61,13,2,9,36,9,74,4,18,FALSE,FALSE,FALSE,FALSE,139
153,227,11,18,6,0,1,7,12,41,1,1,FALSE,FALSE,FALSE,FALSE,133
265,361,86,134,22,4,28,99,75,125,10,5,TRUE,FALSE,FALSE,FALSE,4050
235,353,39,67,10,0,11,33,48,92,14,3,TRUE,FALSE,FALSE,FALSE,3600
296,401,112,182,13,5,2,38,108,79,38,0,TRUE,FALSE,FALSE,FALSE,3333
264,353,39,91,16,2,8,40,47,32,4,7,TRUE,FALSE,FALSE,FALSE,2183
294,338,29,86,15,3,2,40,17,46,2,3,TRUE,FALSE,FALSE,FALSE,1150
287,349,59,123,16,1,3,38,37,32,12,20,TRUE,FALSE,FALSE,FALSE,840
278,355,24,60,11,2,2,20,25,24,1,4,FALSE,FALSE,TRUE,FALSE,587
222,296,21,38,8,5,2,19,18,52,0,2,TRUE,FALSE,FALSE,FALSE,400
248,286,24,56,5,2,2,13,12,35,2,11,TRUE,TRUE,FALSE,FALSE,350
268,293,3,15,4,0,1,5,2,12,1,0,FALSE,FALSE,FALSE,FALSE,135
214,250,1,3,1,0,0,1,0,5,1,1,FALSE,FALSE,FALSE,FALSE,135
195,345,10,22,2,0,0,3,25,32,3,10,FALSE,FALSE,FALSE,FALSE,135
278,396,84,147,19,1,31,106,105,135,4,14,TRUE,FALSE,FALSE,FALSE,4075
267,296,60,155,22,3,17,87,23,114,8,14,FALSE,FALSE,TRUE,TRUE,3300
317,355,69,158,27,11,4,62,34,19,8,3,TRUE,FALSE,FALSE,FALSE,2387
272,337,81,162,27,5,4,38,55,74,23,20,FALSE,FALSE,TRUE,FALSE,2100
265,322,44,102,17,1,6,51,33,56,3,18,TRUE,TRUE,FALSE,FALSE,1750
262,315,51,94,12,1,21,49,27,66,5,2,FALSE,FALSE,TRUE,FALSE,805
194,277,25,34,12,2,2,22,19,15,5,8,FALSE,FALSE,TRUE,FALSE,725
217,319,41,74,16,0,12,44,51,77,9,9,TRUE,TRUE,FALSE,FALSE,687
228,295,26,84,16,0,10,47,31,90,2,2,FALSE,FALSE,FALSE,FALSE,200
286,444,0,2,0,0,0,0,2,3,0,0,FALSE,FALSE,FALSE,FALSE,130
269,345,4,7,2,1,0,5,3,4,0,0,FALSE,FALSE,TRUE,TRUE,125
246,267,5,14,2,0,0,9,1,9,2,2,FALSE,FALSE,FALSE,FALSE,120
275,298,6,25,3,0,1,6,2,14,0,7,FALSE,FALSE,FALSE,FALSE,117
243,308,13,26,7,2,2,8,9,27,1,1,FALSE,FALSE,FALSE,FALSE,114
301,359,84,170,32,7,29,116,51,91,4,4,TRUE,FALSE,FALSE,FALSE,4275
312,357,67,155,30,3,4,43,34,74,17,6,TRUE,FALSE,FALSE,FALSE,3563
268,310,72,158,24,5,34,98,33,128,5,16,FALSE,FALSE,TRUE,FALSE,2000
262,352,74,129,24,5,19,48,63,95,14,11,TRUE,FALSE,FALSE,FALSE,1600
221,283,23,51,8,4,1,12,20,33,3,11,FALSE,FALSE,TRUE,FALSE,1533
175,216,14,29,4,1,3,17,9,60,0,3,TRUE,FALSE,FALSE,FALSE,940
238,273,31,104,16,2,5,41,18,61,3,0,FALSE,FALSE,TRUE,FALSE,850
264,325,51,92,10,6,0,18,30,31,21,4,FALSE,FALSE,FALSE,FALSE,650
225,271,16,40,9,0,0,19,9,22,1,4,FALSE,FALSE,FALSE,FALSE,360
123,188,12,13,3,0,2,8,7,26,3,3,FALSE,FALSE,FALSE,FALSE,150
246,358,41,55,5,3,1,15,36,30,13,0,FALSE,FALSE,FALSE,FALSE,145
240,306,14,31,7,1,2,14,12,25,0,0,FALSE,FALSE,FALSE,FALSE,140
115,148,0,3,1,0,0,2,1,6,0,3,FALSE,FALSE,FALSE,FALSE,109
120,185,0,3,0,0,0,1,2,11,0,1,FALSE,FALSE,FALSE,FALSE,109
227,307,29,40,9,1,10,28,16,29,4,8,TRUE,TRUE,FALSE,FALSE,3415
323,374,99,210,46,5,34,114,53,46,6,11,TRUE,FALSE,FALSE,FALSE,2100
278,321,57,135,22,1,5,43,28,45,6,1,TRUE,FALSE,FALSE,FALSE,1300
263,373,57,127,17,2,16,70,84,108,0,11,FALSE,FALSE,TRUE,FALSE,1200
260,313,82,158,27,10,19,59,47,115,16,3,TRUE,FALSE,FALSE,FALSE,1025
216,253,24,62,11,1,0,14,15,31,0,7,FALSE,FALSE,TRUE,FALSE,730
233,326,45,74,16,0,23,61,41,99,0,0,FALSE,FALSE,FALSE,FALSE,687
204,255,29,42,9,0,7,18,13,49,0,4,FALSE,FALSE,FALSE,FALSE,380
230,336,40,59,12,3,2,27,36,44,12,3,FALSE,FALSE,FALSE,FALSE,365
243,304,36,83,15,0,11,31,29,61,0,1,FALSE,FALSE,FALSE,FALSE,175
233,302,40,91,17,2,16,45,40,82,1,7,FALSE,FALSE,FALSE,FALSE,150
278,316,15,59,7,0,2,22,12,19,1,3,FALSE,FALSE,FALSE,FALSE,150
269,303,32,58,12,1,13,33,11,51,1,2,FALSE,FALSE,FALSE,FALSE,140
300,350,76,163,26,6,9,83,43,35,15,3,FALSE,FALSE,TRUE,FALSE,3050
249,374,75,120,18,1,26,87,96,133,0,0,TRUE,FALSE,FALSE,FALSE,2900
229,303,54,105,24,1,16,70,49,72,1,3,TRUE,FALSE,FALSE,FALSE,2850
332,421,93,181,42,2,8,51,89,32,1,12,TRUE,FALSE,FALSE,FALSE,2700
231,291,45,107,23,2,5,48,37,53,8,5,TRUE,FALSE,FALSE,FALSE,2400
251,314,56,119,33,3,14,56,39,81,6,2,TRUE,FALSE,FALSE,FALSE,2300
262,312,45,116,25,3,4,41,26,55,11,5,FALSE,FALSE,TRUE,FALSE,1650
283,349,87,175,42,2,5,60,60,53,6,14,FALSE,FALSE,TRUE,TRUE,1600
258,318,64,107,22,3,8,40,35,86,4,24,FALSE,FALSE,TRUE,FALSE,1075
225,272,17,38,6,1,1,4,11,40,4,5,TRUE,TRUE,FALSE,FALSE,550
263,271,10,30,8,0,0,9,1,16,0,3,FALSE,FALSE,FALSE,FALSE,350
295,375,69,141,21,1,11,71,61,66,1,9,FALSE,FALSE,FALSE,FALSE,340
260,339,21,57,12,0,4,32,26,43,2,6,FALSE,FALSE,FALSE,FALSE,155
457,486,6,16,4,2,0,7,2,2,0,2,FALSE,FALSE,FALSE,FALSE,145
262,307,30,111,13,2,0,31,26,27,5,12,FALSE,FALSE,TRUE,FALSE,950
243,279,23,69,14,0,1,24,14,67,0,5,FALSE,FALSE,FALSE,FALSE,700
224,274,28,94,21,1,1,44,27,54,2,7,TRUE,TRUE,FALSE,FALSE,550
217,264,10,40,9,0,0,7,8,24,0,4,FALSE,FALSE,FALSE,FALSE,525
288,346,80,171,28,2,11,69,48,74,3,27,FALSE,FALSE,FALSE,FALSE,525
243,297,46,99,18,7,9,45,30,85,4,7,FALSE,FALSE,FALSE,FALSE,333
258,324,29,57,8,2,8,25,23,54,6,3,FALSE,FALSE,FALSE,FALSE,325
209,293,9,28,5,1,0,11,15,12,0,1,TRUE,TRUE,FALSE,FALSE,300
284,310,22,73,14,0,5,30,10,43,3,8,FALSE,FALSE,FALSE,FALSE,200
282,323,60,130,31,2,26,95,25,99,3,9,FALSE,FALSE,FALSE,FALSE,175
249,309,30,70,12,3,4,22,24,57,10,1,FALSE,FALSE,FALSE,FALSE,158
264,293,29,83,15,1,0,30,15,45,2,9,FALSE,FALSE,FALSE,FALSE,145
261,347,102,163,25,0,44,133,78,151,0,8,TRUE,FALSE,FALSE,FALSE,4500
263,387,85,132,17,2,31,89,101,131,3,6,TRUE,FALSE,FALSE,FALSE,3358
248,320,57,93,20,0,9,55,37,39,11,9,TRUE,FALSE,FALSE,FALSE,2400
279,391,94,131,26,2,23,78,90,45,4,4,TRUE,FALSE,FALSE,FALSE,2200
179,314,64,60,14,2,25,64,89,175,1,7,TRUE,FALSE,FALSE,FALSE,2017
284,371,87,160,28,4,17,72,79,95,10,8,TRUE,FALSE,FALSE,FALSE,1567
247,306,65,114,14,9,6,52,36,60,15,3,TRUE,TRUE,FALSE,FALSE,1050
237,351,23,46,10,1,7,29,35,40,1,1,TRUE,TRUE,FALSE,FALSE,375
260,293,18,66,6,0,4,21,12,26,2,3,TRUE,FALSE,FALSE,FALSE,355
259,309,65,144,36,3,21,91,40,149,12,23,FALSE,FALSE,FALSE,FALSE,300
257,335,77,122,15,7,3,33,52,92,41,6,FALSE,FALSE,FALSE,FALSE,230
289,325,29,46,13,2,5,17,9,24,10,2,FALSE,FALSE,FALSE,FALSE,150
291,341,19,37,5,0,2,11,10,25,2,2,FALSE,FALSE,FALSE,FALSE,120
216,341,37,61,7,5,0,19,54,91,29,6,TRUE,FALSE,FALSE,FALSE,109
325,399,133,216,32,13,17,75,77,62,19,6,TRUE,FALSE,FALSE,FALSE,3453
260,332,66,131,20,4,10,77,54,79,6,2,TRUE,FALSE,FALSE,FALSE,3200
289,319,57,146,19,4,5,68,26,33,5,4,FALSE,FALSE,TRUE,FALSE,2530
213,282,48,77,16,2,11,38,35,71,13,9,TRUE,FALSE,FALSE,FALSE,2167
286,320,63,149,27,4,2,47,27,34,4,12,TRUE,TRUE,FALSE,FALSE,1150
283,337,71,117,13,6,8,54,34,55,14,17,FALSE,FALSE,FALSE,FALSE,750
244,319,81,132,24,5,27,98,62,125,2,2,FALSE,FALSE,FALSE,FALSE,500
311,361,64,125,15,6,1,57,33,38,16,1,FALSE,FALSE,FALSE,FALSE,395
206,262,14,51,18,1,1,28,17,26,0,3,TRUE,TRUE,FALSE,FALSE,300
265,350,28,62,11,3,1,25,29,21,4,11,TRUE,FALSE,FALSE,FALSE,284
238,272,53,106,18,3,15,59,22,107,14,7,FALSE,FALSE,FALSE,FALSE,230
364,364,2,4,1,0,1,1,0,4,0,0,FALSE,FALSE,FALSE,FALSE,109
316,397,78,153,35,3,31,100,65,121,6,7,TRUE,TRUE,FALSE,FALSE,5300
288,339,64,169,35,0,9,68,46,42,2,5,TRUE,FALSE,FALSE,FALSE,3620
268,308,52,122,20,0,24,77,25,49,3,6,TRUE,FALSE,FALSE,FALSE,2500
225,312,37,64,12,0,17,48,36,80,1,0,TRUE,FALSE,FALSE,FALSE,2167
267,333,68,130,22,2,20,69,45,77,32,4,FALSE,FALSE,TRUE,FALSE,2150
247,343,67,119,15,4,12,49,67,84,6,12,TRUE,TRUE,FALSE,FALSE,1950
285,321,67,140,23,2,19,80,26,40,0,3,FALSE,FALSE,TRUE,FALSE,1300
245,322,19,45,11,1,1,15,18,43,3,15,FALSE,FALSE,FALSE,FALSE,360
230,257,34,106,23,1,12,53,16,75,3,15,FALSE,FALSE,FALSE,FALSE,280
220,333,69,110,14,1,23,63,83,128,5,6,FALSE,FALSE,FALSE,FALSE,255
242,288,35,72,12,4,3,23,15,52,12,18,FALSE,FALSE,FALSE,FALSE,147
238,336,43,76,19,4,3,34,48,57,10,5,FALSE,FALSE,FALSE,FALSE,125
308,310,4,8,1,0,0,3,1,3,0,0,FALSE,FALSE,FALSE,FALSE,109
273,330,89,174,42,3,33,108,49,112,20,8,TRUE,FALSE,FALSE,FALSE,3742
252,308,58,108,18,2,20,65,31,70,12,13,TRUE,FALSE,FALSE,FALSE,3633
295,354,88,188,41,11,9,69,57,86,53,15,FALSE,FALSE,TRUE,FALSE,2983
282,342,110,181,40,10,17,60,55,135,33,1,TRUE,FALSE,FALSE,FALSE,2383
262,326,75,149,27,4,28,86,56,109,7,2,TRUE,TRUE,FALSE,FALSE,2300
250,342,37,72,15,0,12,48,36,76,4,2,TRUE,FALSE,FALSE,FALSE,1375
244,271,22,71,17,0,5,36,11,45,0,4,FALSE,FALSE,TRUE,FALSE,1000
234,274,41,104,18,3,0,29,24,107,7,19,FALSE,FALSE,TRUE,FALSE,1000
216,318,20,40,5,1,1,21,29,21,0,3,TRUE,FALSE,FALSE,FALSE,900
250,364,27,60,12,1,2,24,44,44,0,0,TRUE,FALSE,FALSE,FALSE,775
243,286,27,85,6,2,0,27,22,49,5,22,TRUE,TRUE,FALSE,FALSE,600
256,353,64,116,30,1,17,68,68,84,0,5,FALSE,FALSE,FALSE,FALSE,387
275,361,17,44,7,0,4,20,19,43,0,14,FALSE,FALSE,FALSE,FALSE,117
246,293,58,144,22,1,18,66,33,104,5,17,TRUE,FALSE,FALSE,FALSE,2700
238,322,48,85,11,1,16,50,44,62,3,5,TRUE,FALSE,FALSE,FALSE,2317
296,352,92,179,28,8,2,50,52,74,48,5,FALSE,FALSE,TRUE,TRUE,1650
263,321,32,65,10,2,2,26,11,55,7,3,FALSE,FALSE,FALSE,FALSE,640
258,295,38,94,14,1,3,20,14,26,4,11,FALSE,FALSE,FALSE,FALSE,190
200,258,11,23,7,0,1,13,8,34,1,3,FALSE,FALSE,FALSE,FALSE,170
211,274,5,12,2,0,0,3,3,2,0,4,FALSE,FALSE,FALSE,FALSE,135
203,313,7,14,4,0,0,3,10,17,0,1,FALSE,FALSE,FALSE,FALSE,130
293,354,8,17,7,0,0,9,6,12,1,1,FALSE,FALSE,FALSE,FALSE,130
285,323,63,159,27,0,25,86,32,62,2,10,TRUE,FALSE,FALSE,FALSE,3650
304,345,85,198,38,2,10,56,41,38,31,10,TRUE,FALSE,FALSE,FALSE,3575
268,359,102,163,20,6,5,50,83,68,51,3,TRUE,FALSE,FALSE,FALSE,3500
259,358,71,106,22,5,18,66,62,86,0,6,TRUE,TRUE,FALSE,FALSE,2500
273,284,52,143,20,3,3,49,11,38,21,21,FALSE,FALSE,TRUE,FALSE,1900
241,299,42,111,25,0,18,74,32,86,1,6,TRUE,TRUE,FALSE,FALSE,1350
284,367,92,172,25,1,23,100,80,67,2,18,FALSE,FALSE,TRUE,FALSE,740
246,310,25,41,13,0,5,22,15,42,0,4,FALSE,FALSE,TRUE,FALSE,650
318,453,104,178,31,2,32,109,138,112,1,2,FALSE,FALSE,FALSE,FALSE,620
274,304,72,161,14,13,0,49,26,58,26,2,FALSE,FALSE,FALSE,FALSE,565
241,313,37,55,2,3,0,18,20,21,11,10,FALSE,FALSE,FALSE,FALSE,235
165,218,15,19,4,1,1,5,7,25,0,0,FALSE,FALSE,FALSE,FALSE,225
281,386,37,63,16,3,6,31,38,40,1,10,FALSE,FALSE,FALSE,FALSE,200
251,361,42,61,10,2,3,25,39,48,14,2,FALSE,FALSE,FALSE,FALSE,145
217,250,4,5,0,0,0,0,1,7,1,1,FALSE,FALSE,FALSE,FALSE,120
225,333,71,8,16,4,0,3,14,12,25,0,FALSE,FALSE,TRUE,FALSE,109
301,360,79,166,34,3,21,96,52,66,2,8,TRUE,TRUE,FALSE,FALSE,4200
259,322,65,135,32,1,16,74,49,46,6,2,TRUE,FALSE,FALSE,FALSE,3417
255,327,77,129,40,2,10,61,58,75,2,1,TRUE,FALSE,FALSE,FALSE,3100
301,333,47,113,22,3,2,47,20,35,5,5,TRUE,TRUE,FALSE,FALSE,1650
272,338,59,132,19,2,9,62,47,38,26,17,FALSE,FALSE,TRUE,FALSE,1150
250,279,11,57,10,0,1,23,11,46,0,1,TRUE,FALSE,FALSE,FALSE,900
277,330,34,74,18,2,13,41,17,52,1,3,FALSE,FALSE,TRUE,FALSE,740
280,336,41,77,22,1,4,23,23,44,14,10,FALSE,FALSE,FALSE,FALSE,575
252,301,15,35,5,1,5,22,10,23,1,0,FALSE,FALSE,TRUE,FALSE,425
188,243,20,36,9,1,2,18,15,40,2,2,TRUE,TRUE,FALSE,FALSE,400
277,320,24,51,9,0,2,13,11,42,15,4,FALSE,FALSE,FALSE,FALSE,287
261,289,86,164,28,9,8,64,24,99,20,3,FALSE,FALSE,FALSE,FALSE,275
217,283,45,80,16,4,5,34,30,75,17,16,FALSE,FALSE,FALSE,FALSE,183
251,315,22,58,8,0,3,31,23,42,2,6,FALSE,FALSE,FALSE,FALSE,170
216,267,20,51,7,0,1,17,16,45,3,12,FALSE,FALSE,FALSE,FALSE,153
271,328,74,161,22,6,12,58,49,133,23,17,TRUE,TRUE,FALSE,FALSE,109
284,373,72,131,20,1,20,89,67,48,4,8,TRUE,FALSE,FALSE,FALSE,3100
319,352,92,195,29,6,15,89,31,78,11,6,TRUE,FALSE,FALSE,FALSE,2992
277,385,84,148,34,1,29,93,95,117,5,0,TRUE,FALSE,FALSE,FALSE,2800
311,336,54,137,28,1,10,69,14,22,1,8,TRUE,TRUE,FALSE,FALSE,2500
265,310,52,108,23,3,8,42,26,72,11,9,FALSE,FALSE,TRUE,FALSE,1933
279,322,36,102,20,0,6,36,21,55,1,11,TRUE,TRUE,FALSE,FALSE,1200
310,363,79,137,27,8,18,74,34,79,13,7,FALSE,FALSE,TRUE,FALSE,1075
286,361,34,73,14,1,2,19,30,21,2,3,FALSE,FALSE,TRUE,FALSE,950
303,401,21,50,10,1,6,23,24,25,0,2,FALSE,FALSE,FALSE,FALSE,450
281,351,78,159,24,6,1,50,59,40,25,18,FALSE,FALSE,FALSE,FALSE,360
