20 - 26, non-government, pre-primary, married, *, *, male, *, 43685
26 - 29, *, pre-primary, never-married, *, *, male, *, 60415
26 - 29, *, pre-primary, never-married, *, *, male, *, 66272
26 - 29, *, pre-primary, never-married, *, *, male, *, 75730
26 - 29, *, pre-primary, never-married, *, *, male, *, 89136
26 - 29, *, pre-primary, never-married, *, *, male, *, 85656
26 - 29, *, pre-primary, never-married, *, *, male, *, 78281
26 - 29, *, pre-primary, never-married, *, *, male, *, 76080
26 - 29, *, pre-primary, never-married, *, *, male, *, 66818
26 - 29, *, pre-primary, never-married, *, *, male, *, 23623
26 - 29, *, pre-primary, never-married, *, *, male, *, 164723
26 - 29, *, pre-primary, never-married, *, *, male, *, 158597
26 - 29, *, pre-primary, never-married, *, *, male, *, 41190
26 - 29, *, pre-primary, never-married, *, *, male, *, 10963
26 - 29, *, pre-primary, never-married, *, *, male, *, 115366
26 - 29, *, pre-primary, never-married, *, *, male, *, 157856
26 - 29, *, pre-primary, never-married, *, *, male, *, 33064
30 - 37, *, pre-primary, not-married, *, *, male, north-america, 121057
30 - 37, *, pre-primary, not-married, *, *, male, north-america, 116833
30 - 37, *, pre-primary, not-married, *, *, male, north-america, 121141
30 - 37, *, pre-primary, not-married, *, *, male, north-america, 13613
30 - 37, *, pre-primary, not-married, *, *, male, north-america, 25375
30 - 37, *, pre-primary, not-married, *, *, male, north-america, 189803
30 - 37, *, pre-primary, not-married, *, *, male, north-america, 84984
30 - 37, *, pre-primary, not-married, *, *, male, north-america, 142806
30 - 37, *, pre-primary, not-married, *, *, male, north-america, 70821
30 - 37, *, pre-primary, not-married, *, *, male, north-america, 70577
30 - 37, *, pre-primary, not-married, *, *, male, north-america, 168285
30 - 37, *, pre-primary, not-married, *, *, male, north-america, 153114
30 - 37, *, pre-primary, not-married, *, *, male, north-america, 176327
30 - 37, *, pre-primary, not-married, *, *, male, north-america, 195143
30 - 37, *, pre-primary, not-married, *, *, male, north-america, 193033
30 - 37, *, pre-primary, not-married, *, *, male, north-america, 155672
30 - 37, *, pre-primary, not-married, *, *, male, north-america, 178085
21 - 28, *, pre-primary, never-married, *, *, female, *, 83368
21 - 28, *, pre-primary, never-married, *, *, female, *, 122962
21 - 28, *, pre-primary, never-married, *, *, female, *, 132944
21 - 28, *, pre-primary, never-married, *, *, female, *, 176460
21 - 28, *, pre-primary, never-married, *, *, female, *, 30915
21 - 28, *, pre-primary, never-married, *, *, female, *, 46415
21 - 28, *, pre-primary, never-married, *, *, female, *, 175168
21 - 28, *, pre-primary, never-married, *, *, female, *, 78032
21 - 28, *, pre-primary, never-married, *, *, female, *, 113286
21 - 28, *, pre-primary, never-married, *, *, female, *, 105671
21 - 28, *, pre-primary, never-married, *, *, female, *, 67253
21 - 28, *, pre-primary, never-married, *, *, female, *, 147088
21 - 28, *, pre-primary, never-married, *, *, female, *, 137261
21 - 28, *, pre-primary, never-married, *, *, female, *, 125609
21 - 28, *, pre-primary, never-married, *, *, female, *, 147225
21 - 28, *, pre-primary, never-married, *, *, female, *, 10728
21 - 28, *, pre-primary, never-married, *, *, female, *, 162620
21 - 28, *, pre-primary, never-married, *, *, female, *, 35159
21 - 28, *, pre-primary, never-married, *, *, female, *, 57112
21 - 28, *, pre-primary, never-married, *, *, female, *, 60394
29 - 37, *, pre-primary, not-married, *, *, female, north-america, 194928
29 - 37, *, pre-primary, not-married, *, *, female, north-america, 53017
29 - 37, *, pre-primary, not-married, *, *, female, north-america, 103362
29 - 37, *, pre-primary, not-married, *, *, female, north-america, 67331
29 - 37, *, pre-primary, not-married, *, *, female, north-america, 55128
29 - 37, *, pre-primary, not-married, *, *, female, north-america, 40239
29 - 37, *, pre-primary, not-married, *, *, female, north-america, 158078
29 - 37, *, pre-primary, not-married, *, *, female, north-america, 110841
29 - 37, *, pre-primary, not-married, *, *, female, north-america, 129700
29 - 37, *, pre-primary, not-married, *, *, female, north-america, 136613
29 - 37, *, pre-primary, not-married, *, *, female, north-america, 34068
29 - 37, *, pre-primary, not-married, *, *, female, north-america, 185373
29 - 37, *, pre-primary, not-married, *, *, female, north-america, 32521
29 - 37, *, pre-primary, not-married, *, *, female, north-america, 21368
29 - 37, *, pre-primary, not-married, *, *, female, north-america, 191855
29 - 37, *, pre-primary, not-married, *, *, female, north-america, 54693
23 - 36, government, pre-high-school, married, *, *, *, *, 100455
23 - 36, government, pre-high-school, married, *, *, *, *, 70696
23 - 36, government, pre-high-school, married, *, *, *, *, 197342
23 - 36, government, pre-high-school, married, *, *, *, *, 164754
23 - 36, government, pre-high-school, married, *, *, *, *, 77275
23 - 36, government, pre-high-school, married, *, *, *, *, 55017
23 - 36, government, pre-high-school, married, *, *, *, *, 126487
23 - 36, government, pre-high-school, married, *, *, *, *, 118924
23 - 36, government, pre-high-school, married, *, *, *, *, 159437
23 - 36, government, pre-high-school, married, *, *, *, *, 170359
23 - 36, government, pre-high-school, married, *, *, *, *, 148231
23 - 36, government, pre-high-school, married, *, *, *, *, 91506
23 - 36, government, pre-high-school, married, *, *, *, *, 113519
23 - 36, government, pre-high-school, married, *, *, *, *, 56884
23 - 36, government, pre-high-school, married, *, *, *, *, 61304
23 - 36, government, pre-high-school, married, *, *, *, *, 62043
23 - 36, government, pre-high-school, married, *, *, *, *, 140552
23 - 36, government, pre-high-school, married, *, *, *, *, 76572
23 - 36, government, pre-high-school, married, *, *, *, *, 120269
23 - 36, government, pre-high-school, married, *, *, *, *, 24119
23 - 36, government, pre-high-school, married, *, *, *, *, 11964
23 - 36, government, pre-high-school, married, *, *, *, *, 94428
23 - 36, government, pre-high-school, married, *, *, *, *, 119600
23 - 36, government, pre-high-school, married, *, *, *, *, 143705
23 - 36, government, pre-high-school, married, *, *, *, *, 176088
19 - 26, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 25115
19 - 26, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 162549
19 - 26, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 38876
19 - 26, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 95538
19 - 26, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 86635
19 - 26, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 45160
19 - 26, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 120043
19 - 26, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 154785
19 - 26, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 163285
19 - 26, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 92979
19 - 26, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 57140
19 - 26, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 94687
19 - 26, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 87144
19 - 26, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 10541
19 - 26, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 31947
19 - 26, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 14341
27 - 30, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 174881
27 - 30, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 162117
27 - 30, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 164895
27 - 30, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 173637
27 - 30, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 159402
27 - 30, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 44360
27 - 30, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 174080
27 - 30, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 92136
27 - 30, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 100998
27 - 30, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 66997
27 - 30, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 35097
27 - 30, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 121682
27 - 30, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 58906
27 - 30, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 135257
27 - 30, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 192370
27 - 30, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 33463
31 - 34, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 189872
31 - 34, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 171503
31 - 34, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 139488
31 - 34, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 56818
31 - 34, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 119172
31 - 34, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 184521
31 - 34, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 133003
31 - 34, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 173453
31 - 34, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 105021
31 - 34, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 127347
31 - 34, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 84143
31 - 34, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 112063
31 - 34, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 65979
31 - 34, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 193377
31 - 34, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 58367
31 - 34, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 99964
31 - 34, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 117925
31 - 34, non-government, 7th-8th, married-civ-spouse, *, *, male, north-america, 91379
35 - 37, non-government, 7th-8th, married-civ-spouse, *, *, male, *, 60641
35 - 37, non-government, 7th-8th, married-civ-spouse, *, *, male, *, 195060
35 - 37, non-government, 7th-8th, married-civ-spouse, *, *, male, *, 93237
35 - 37, non-government, 7th-8th, married-civ-spouse, *, *, male, *, 117125
35 - 37, non-government, 7th-8th, married-civ-spouse, *, *, male, *, 17252
35 - 37, non-government, 7th-8th, married-civ-spouse, *, *, male, *, 76571
35 - 37, non-government, 7th-8th, married-civ-spouse, *, *, male, *, 169502
35 - 37, non-government, 7th-8th, married-civ-spouse, *, *, male, *, 130412
35 - 37, non-government, 7th-8th, married-civ-spouse, *, *, male, *, 53888
35 - 37, non-government, 7th-8th, married-civ-spouse, *, *, male, *, 97327
35 - 37, non-government, 7th-8th, married-civ-spouse, *, *, male, *, 112583
35 - 37, non-government, 7th-8th, married-civ-spouse, *, *, male, *, 50052
35 - 37, non-government, 7th-8th, married-civ-spouse, *, *, male, *, 163730
35 - 37, non-government, 7th-8th, married-civ-spouse, *, *, male, *, 74048
17 - 27, non-government, 9th, married-civ-spouse, *, *, male, *, 20300
17 - 27, non-government, 9th, married-civ-spouse, *, *, male, *, 46559
17 - 27, non-government, 9th, married-civ-spouse, *, *, male, *, 71133
17 - 27, non-government, 9th, married-civ-spouse, *, *, male, *, 18759
17 - 27, non-government, 9th, married-civ-spouse, *, *, male, *, 182229
17 - 27, non-government, 9th, married-civ-spouse, *, *, male, *, 82570
17 - 27, non-government, 9th, married-civ-spouse, *, *, male, *, 118136
17 - 27, non-government, 9th, married-civ-spouse, *, *, male, *, 58591
17 - 27, non-government, 9th, married-civ-spouse, *, *, male, *, 98873
17 - 27, non-government, 9th, married-civ-spouse, *, *, male, *, 80188
17 - 27, non-government, 9th, married-civ-spouse, *, *, male, *, 75841
17 - 27, non-government, 9th, married-civ-spouse, *, *, male, *, 189685
17 - 27, non-government, 9th, married-civ-spouse, *, *, male, *, 180454
17 - 27, non-government, 9th, married-civ-spouse, *, *, male, *, 167733
17 - 27, non-government, 9th, married-civ-spouse, *, *, male, *, 174423
17 - 27, non-government, 9th, married-civ-spouse, *, *, male, *, 140548
17 - 27, non-government, 9th, married-civ-spouse, *, *, male, *, 27967
17 - 27, non-government, 9th, married-civ-spouse, *, *, male, *, 136784
28 - 31, non-government, 9th, married-civ-spouse, *, *, male, north-america, 141874
28 - 31, non-government, 9th, married-civ-spouse, *, *, male, north-america, 118943
28 - 31, non-government, 9th, married-civ-spouse, *, *, male, north-america, 104894
28 - 31, non-government, 9th, married-civ-spouse, *, *, male, north-america, 66821
28 - 31, non-government, 9th, married-civ-spouse, *, *, male, north-america, 120476
28 - 31, non-government, 9th, married-civ-spouse, *, *, male, north-america, 31661
28 - 31, non-government, 9th, married-civ-spouse, *, *, male, north-america, 53799
28 - 31, non-government, 9th, married-civ-spouse, *, *, male, north-america, 47754
28 - 31, non-government, 9th, married-civ-spouse, *, *, male, north-america, 36975
28 - 31, non-government, 9th, married-civ-spouse, *, *, male, north-america, 78414
28 - 31, non-government, 9th, married-civ-spouse, *, *, male, north-america, 140251
28 - 31, non-government, 9th, married-civ-spouse, *, *, male, north-america, 80268
28 - 31, non-government, 9th, married-civ-spouse, *, *, male, north-america, 97164
28 - 31, non-government, 9th, married-civ-spouse, *, *, male, north-america, 106535
28 - 31, non-government, 9th, married-civ-spouse, *, *, male, north-america, 185727
28 - 31, non-government, 9th, married-civ-spouse, *, *, male, north-america, 177686
28 - 31, non-government, 9th, married-civ-spouse, *, *, male, north-america, 121888
28 - 31, non-government, 9th, married-civ-spouse, *, *, male, north-america, 18855
28 - 31, non-government, 9th, married-civ-spouse, *, *, male, north-america, 25328
32 - 35, non-government, 9th, married-civ-spouse, *, *, male, north-america, 84165
32 - 35, non-government, 9th, married-civ-spouse, *, *, male, north-america, 147124
32 - 35, non-government, 9th, married-civ-spouse, *, *, male, north-america, 17675
32 - 35, non-government, 9th, married-civ-spouse, *, *, male, north-america, 112777
32 - 35, non-government, 9th, married-civ-spouse, *, *, male, north-america, 158787
32 - 35, non-government, 9th, married-civ-spouse, *, *, male, north-america, 70589
32 - 35, non-government, 9th, married-civ-spouse, *, *, male, north-america, 132251
32 - 35, non-government, 9th, married-civ-spouse, *, *, male, north-america, 56958
32 - 35, non-government, 9th, married-civ-spouse, *, *, male, north-america, 105839
32 - 35, non-government, 9th, married-civ-spouse, *, *, male, north-america, 188365
32 - 35, non-government, 9th, married-civ-spouse, *, *, male, north-america, 170174
32 - 35, non-government, 9th, married-civ-spouse, *, *, male, north-america, 42929
32 - 35, non-government, 9th, married-civ-spouse, *, *, male, north-america, 187212
32 - 35, non-government, 9th, married-civ-spouse, *, *, male, north-america, 29727
32 - 35, non-government, 9th, married-civ-spouse, *, *, male, north-america, 91425
32 - 35, non-government, 9th, married-civ-spouse, *, *, male, north-america, 77437
32 - 35, non-government, 9th, married-civ-spouse, *, *, male, north-america, 66204
36 - 37, non-government, 9th, married-civ-spouse, *, *, male, north-america, 39406
36 - 37, non-government, 9th, married-civ-spouse, *, *, male, north-america, 69935
36 - 37, non-government, 9th, married-civ-spouse, *, *, male, north-america, 82288
36 - 37, non-government, 9th, married-civ-spouse, *, *, male, north-america, 49255
36 - 37, non-government, 9th, married-civ-spouse, *, *, male, north-america, 10440
36 - 37, non-government, 9th, married-civ-spouse, *, *, male, north-america, 152058
36 - 37, non-government, 9th, married-civ-spouse, *, *, male, north-america, 25157
36 - 37, non-government, 9th, married-civ-spouse, *, *, male, north-america, 121967
36 - 37, non-government, 9th, married-civ-spouse, *, *, male, north-america, 182151
36 - 37, non-government, 9th, married-civ-spouse, *, *, male, north-america, 160570
36 - 37, non-government, 9th, married-civ-spouse, *, *, male, north-america, 49263
36 - 37, non-government, 9th, married-civ-spouse, *, *, male, north-america, 180891
36 - 37, non-government, 9th, married-civ-spouse, *, *, male, north-america, 48815
36 - 37, non-government, 9th, married-civ-spouse, *, *, male, north-america, 22720
21 - 26, non-government, 10th, married-civ-spouse, *, *, male, *, 144428
21 - 26, non-government, 10th, married-civ-spouse, *, *, male, *, 137178
21 - 26, non-government, 10th, married-civ-spouse, *, *, male, *, 153077
21 - 26, non-government, 10th, married-civ-spouse, *, *, male, *, 122695
21 - 26, non-government, 10th, married-civ-spouse, *, *, male, *, 198874
21 - 26, non-government, 10th, married-civ-spouse, *, *, male, *, 141415
21 - 26, non-government, 10th, married-civ-spouse, *, *, male, *, 135166
21 - 26, non-government, 10th, married-civ-spouse, *, *, male, *, 95924
21 - 26, non-government, 10th, married-civ-spouse, *, *, male, *, 106501
21 - 26, non-government, 10th, married-civ-spouse, *, *, male, *, 21943
21 - 26, non-government, 10th, married-civ-spouse, *, *, male, *, 69263
21 - 26, non-government, 10th, married-civ-spouse, *, *, male, *, 27356
21 - 26, non-government, 10th, married-civ-spouse, *, *, male, *, 61888
21 - 26, non-government, 10th, married-civ-spouse, *, *, male, *, 108603
21 - 26, non-government, 10th, married-civ-spouse, *, *, male, *, 92841
21 - 26, non-government, 10th, married-civ-spouse, *, *, male, *, 173551
21 - 26, non-government, 10th, married-civ-spouse, *, *, male, *, 44510
21 - 26, non-government, 10th, married-civ-spouse, *, *, male, *, 62834
21 - 26, non-government, 10th, married-civ-spouse, *, *, male, *, 19131
21 - 26, non-government, 10th, married-civ-spouse, *, *, male, *, 23503
21 - 26, non-government, 10th, married-civ-spouse, *, *, male, *, 142012
21 - 26, non-government, 10th, married-civ-spouse, *, *, male, *, 172196
21 - 26, non-government, 10th, married-civ-spouse, *, *, male, *, 57445
27 - 30, non-government, 10th, married-civ-spouse, *, *, male, north-america, 35583
27 - 30, non-government, 10th, married-civ-spouse, *, *, male, north-america, 145689
27 - 30, non-government, 10th, married-civ-spouse, *, *, male, north-america, 22420
27 - 30, non-government, 10th, married-civ-spouse, *, *, male, north-america, 37615
27 - 30, non-government, 10th, married-civ-spouse, *, *, male, north-america, 115924
27 - 30, non-government, 10th, married-civ-spouse, *, *, male, north-america, 31746
27 - 30, non-government, 10th, married-civ-spouse, *, *, male, north-america, 71379
27 - 30, non-government, 10th, married-civ-spouse, *, *, male, north-america, 122540
27 - 30, non-government, 10th, married-civ-spouse, *, *, male, north-america, 34495
27 - 30, non-government, 10th, married-civ-spouse, *, *, male, north-america, 151232
27 - 30, non-government, 10th, married-civ-spouse, *, *, male, north-america, 78004
27 - 30, non-government, 10th, married-civ-spouse, *, *, male, north-america, 14709
27 - 30, non-government, 10th, married-civ-spouse, *, *, male, north-america, 61984
27 - 30, non-government, 10th, married-civ-spouse, *, *, male, north-america, 78872
27 - 30, non-government, 10th, married-civ-spouse, *, *, male, north-america, 135861
27 - 30, non-government, 10th, married-civ-spouse, *, *, male, north-america, 119146
27 - 30, non-government, 10th, married-civ-spouse, *, *, male, north-america, 150991
27 - 30, non-government, 10th, married-civ-spouse, *, *, male, north-america, 86551
27 - 30, non-government, 10th, married-civ-spouse, *, *, male, north-america, 58025
31 - 34, non-government, 10th, married-civ-spouse, *, *, male, *, 27514
31 - 34, non-government, 10th, married-civ-spouse, *, *, male, *, 173425
31 - 34, non-government, 10th, married-civ-spouse, *, *, male, *, 166701
31 - 34, non-government, 10th, married-civ-spouse, *, *, male, *, 15358
