22 - 35, government, 5th-6th, never-married, manual-labour, white, male, north-america, 18585
25 - 37, federal-gov, some-college, married, professional, white, male, united-states, 91561
25 - 37, federal-gov, some-college, married, professional, white, male, united-states, 155617
25 - 37, federal-gov, some-college, married, professional, white, male, united-states, 57304
25 - 27, local-gov, pre-university, married-civ-spouse, exec-managerial, white, male, united-states, 171100
25 - 27, local-gov, pre-university, married-civ-spouse, exec-managerial, white, male, united-states, 161104
25 - 27, local-gov, pre-university, married-civ-spouse, exec-managerial, white, male, united-states, 186848
28 - 31, local-gov, some-college, married-civ-spouse, exec-managerial, white, male, united-states, 95710
28 - 31, local-gov, some-college, married-civ-spouse, exec-managerial, white, male, united-states, 39529
26 - 29, local-gov, some-college, married-civ-spouse, prof-specialty, white, male, united-states, 174075
26 - 29, local-gov, some-college, married-civ-spouse, prof-specialty, white, male, united-states, 167869
36, local-gov, hs-grad, married-civ-spouse, exec-managerial, white, male, united-states, 71662
36, local-gov, hs-grad, married-civ-spouse, exec-managerial, white, male, united-states, 108143
34 - 35, local-gov, some-college, married-civ-spouse, exec-managerial, white, male, united-states, 181829
34 - 35, local-gov, some-college, married-civ-spouse, exec-managerial, white, male, united-states, 66738
32 - 36, local-gov, pre-university, married, prof-specialty, white, male, *, 91429
32 - 36, local-gov, pre-university, married, prof-specialty, white, male, *, 57661
32 - 36, local-gov, pre-university, married, prof-specialty, white, male, *, 87049
23 - 26, state-gov, pre-university, married-civ-spouse, exec-managerial, white, male, united-states, 14261
23 - 26, state-gov, pre-university, married-civ-spouse, exec-managerial, white, male, united-states, 111683
23 - 24, state-gov, some-college, married-civ-spouse, prof-specialty, white, male, united-states, 68434
23 - 24, state-gov, some-college, married-civ-spouse, prof-specialty, white, male, united-states, 32388
36, state-gov, hs-grad, married-civ-spouse, exec-managerial, white, male, united-states, 172488
36, state-gov, hs-grad, married-civ-spouse, exec-managerial, white, male, united-states, 132392
34 - 37, state-gov, some-college, married-civ-spouse, exec-managerial, white, male, united-states, 106463
34 - 37, state-gov, some-college, married-civ-spouse, exec-managerial, white, male, united-states, 15468
34 - 37, state-gov, some-college, married-civ-spouse, exec-managerial, white, male, united-states, 37930
28 - 33, state-gov, some-college, separated, professional, white, male, united-states, 23512
28 - 33, state-gov, some-college, separated, professional, white, male, united-states, 188842
24 - 25, state-gov, some-college, married-civ-spouse, professional, white, female, united-states, 55572
24 - 25, state-gov, some-college, married-civ-spouse, professional, white, female, united-states, 53897
34 - 36, state-gov, some-college, married, exec-managerial, white, female, united-states, 186448
34 - 36, state-gov, some-college, married, exec-managerial, white, female, united-states, 109985
26 - 30, federal-gov, hs-grad, married-civ-spouse, adm-clerical, *, male, united-states, 66493
26 - 30, federal-gov, hs-grad, married-civ-spouse, adm-clerical, *, male, united-states, 198279
31, federal-gov, hs-grad, married-civ-spouse, adm-clerical, *, male, united-states, 93521
31, federal-gov, hs-grad, married-civ-spouse, adm-clerical, *, male, united-states, 52212
29 - 31, federal-gov, hs-grad, married-civ-spouse, tech-support, white, male, united-states, 118621
29 - 31, federal-gov, hs-grad, married-civ-spouse, tech-support, white, male, united-states, 132758
22 - 26, federal-gov, some-college, married-civ-spouse, customer-service, *, male, united-states, 60220
22 - 26, federal-gov, some-college, married-civ-spouse, customer-service, *, male, united-states, 149935
27 - 28, federal-gov, some-college, married-civ-spouse, customer-service, white, male, united-states, 187994
27 - 28, federal-gov, some-college, married-civ-spouse, customer-service, white, male, united-states, 114138
29, federal-gov, some-college, married-civ-spouse, customer-service, white, male, united-states, 115278
29, federal-gov, some-college, married-civ-spouse, customer-service, white, male, united-states, 150484
30, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, north-america, 190598
30, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, north-america, 130178
33 - 34, federal-gov, pre-university, married-civ-spouse, adm-clerical, black, male, united-states, 49758
33 - 34, federal-gov, pre-university, married-civ-spouse, adm-clerical, black, male, united-states, 32814
35 - 37, federal-gov, hs-grad, married-civ-spouse, adm-clerical, black, male, united-states, 189313
35 - 37, federal-gov, hs-grad, married-civ-spouse, adm-clerical, black, male, united-states, 112317
32 - 36, federal-gov, hs-grad, married-civ-spouse, customer-service, white, male, united-states, 97065
32 - 36, federal-gov, hs-grad, married-civ-spouse, customer-service, white, male, united-states, 40841
32 - 36, federal-gov, hs-grad, married-civ-spouse, customer-service, white, male, united-states, 134654
37, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, *, 96512
37, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, *, 164364
37, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, *, 28534
36, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, united-states, 128008
36, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, united-states, 84777
37, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, *, 180199
37, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, *, 21088
37, federal-gov, some-college, married-civ-spouse, adm-clerical, white, male, *, 180252
30 - 36, federal-gov, pre-university, separated, adm-clerical, black, male, united-states, 127165
30 - 36, federal-gov, pre-university, separated, adm-clerical, black, male, united-states, 171208
27 - 30, local-gov, hs-grad, married-civ-spouse, adm-clerical, *, male, united-states, 87449
27 - 30, local-gov, hs-grad, married-civ-spouse, adm-clerical, *, male, united-states, 23858
36, local-gov, some-college, married, customer-service, *, male, united-states, 72849
36, local-gov, some-college, married, customer-service, *, male, united-states, 135804
36, local-gov, some-college, married, customer-service, *, male, united-states, 128065
37, local-gov, some-college, married-civ-spouse, customer-service, white, male, north-america, 37421
37, local-gov, some-college, married-civ-spouse, customer-service, white, male, north-america, 82201
23 - 28, state-gov, some-college, married-civ-spouse, adm-clerical, asian-pac-islander, male, *, 154603
23 - 28, state-gov, some-college, married-civ-spouse, adm-clerical, asian-pac-islander, male, *, 51719
25 - 33, state-gov, some-college, married, adm-clerical, black, male, united-states, 126653
25 - 33, state-gov, some-college, married, adm-clerical, black, male, united-states, 78416
24 - 27, state-gov, hs-grad, married-civ-spouse, tech-support, white, male, united-states, 194391
24 - 27, state-gov, hs-grad, married-civ-spouse, tech-support, white, male, united-states, 54063
30 - 31, state-gov, hs-grad, married-civ-spouse, customer-service, white, male, united-states, 62529
30 - 31, state-gov, hs-grad, married-civ-spouse, customer-service, white, male, united-states, 69797
22 - 29, state-gov, some-college, married, customer-service, white, male, united-states, 130230
22 - 29, state-gov, some-college, married, customer-service, white, male, united-states, 104639
30 - 31, state-gov, some-college, married-civ-spouse, adm-clerical, white, male, united-states, 42464
30 - 31, state-gov, some-college, married-civ-spouse, adm-clerical, white, male, united-states, 136733
34 - 37, state-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 150006
34 - 37, state-gov, hs-grad, married-civ-spouse, adm-clerical, white, male, united-states, 40856
33 - 34, state-gov, hs-grad, married-civ-spouse, tech-support, white, male, united-states, 21562
33 - 34, state-gov, hs-grad, married-civ-spouse, tech-support, white, male, united-states, 67527
33 - 37, state-gov, some-college, separated, customer-service, white, male, united-states, 93573
33 - 37, state-gov, some-college, separated, customer-service, white, male, united-states, 59258
34 - 36, government, pre-university, married, adm-clerical, asian-pac-islander, female, asia, 163638
34 - 36, government, pre-university, married, adm-clerical, asian-pac-islander, female, asia, 143647
19 - 34, government, pre-university, married-af-spouse, customer-service, white, female, united-states, 147525
19 - 34, government, pre-university, married-af-spouse, customer-service, white, female, united-states, 169165
19 - 34, government, pre-university, married-af-spouse, customer-service, white, female, united-states, 102956
31 - 32, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, female, united-states, 199462
31 - 32, federal-gov, hs-grad, married-civ-spouse, adm-clerical, white, female, united-states, 162883
23 - 32, federal-gov, some-college, married-civ-spouse, customer-service, white, female, united-states, 148967
23 - 32, federal-gov, some-college, married-civ-spouse, customer-service, white, female, united-states, 98297
33 - 36, federal-gov, pre-university, married-civ-spouse, customer-service, white, female, united-states, 86976
33 - 36, federal-gov, pre-university, married-civ-spouse, customer-service, white, female, united-states, 74493
24 - 30, local-gov, pre-university, married-civ-spouse, adm-clerical, white, female, united-states, 77401
24 - 30, local-gov, pre-university, married-civ-spouse, adm-clerical, white, female, united-states, 46718
33 - 37, local-gov, pre-university, married-civ-spouse, customer-service, white, female, united-states, 183922
33 - 37, local-gov, pre-university, married-civ-spouse, customer-service, white, female, united-states, 13919
33 - 37, local-gov, pre-university, married-civ-spouse, customer-service, white, female, united-states, 184516
22 - 24, state-gov, some-college, married-civ-spouse, adm-clerical, white, female, united-states, 170648
22 - 24, state-gov, some-college, married-civ-spouse, adm-clerical, white, female, united-states, 130706
25 - 31, state-gov, pre-university, married-civ-spouse, adm-clerical, *, female, united-states, 75876
25 - 31, state-gov, pre-university, married-civ-spouse, adm-clerical, *, female, united-states, 61273
25 - 31, state-gov, pre-university, married-civ-spouse, adm-clerical, *, female, united-states, 69919
37, local-gov, some-college, married-spouse-absent, adm-clerical, black, female, united-states, 132147
37, local-gov, some-college, married-spouse-absent, adm-clerical, black, female, united-states, 148592
23 - 29, government, some-college, married-spouse-absent, adm-clerical, white, female, north-america, 141306
23 - 29, government, some-college, married-spouse-absent, adm-clerical, white, female, north-america, 96970
23 - 29, government, some-college, married-spouse-absent, adm-clerical, white, female, north-america, 187652
28 - 29, local-gov, pre-university, separated, adm-clerical, white, female, united-states, 82597
28 - 29, local-gov, pre-university, separated, adm-clerical, white, female, united-states, 124947
28 - 30, state-gov, pre-university, separated, adm-clerical, *, female, united-states, 18275
28 - 30, state-gov, pre-university, separated, adm-clerical, *, female, united-states, 134742
28 - 30, state-gov, pre-university, separated, adm-clerical, *, female, united-states, 158497
34 - 35, government, hs-grad, separated, adm-clerical, white, female, united-states, 38717
34 - 35, government, hs-grad, separated, adm-clerical, white, female, united-states, 199478
35 - 37, government, some-college, separated, adm-clerical, *, female, united-states, 193612
35 - 37, government, some-college, separated, adm-clerical, *, female, united-states, 72870
35 - 37, government, some-college, separated, adm-clerical, *, female, united-states, 169148
25 - 29, federal-gov, some-college, married-civ-spouse, protective-serv, *, male, united-states, 133235
25 - 29, federal-gov, some-college, married-civ-spouse, protective-serv, *, male, united-states, 183408
30 - 35, federal-gov, pre-university, married-civ-spouse, government, *, male, united-states, 160462
30 - 35, federal-gov, pre-university, married-civ-spouse, government, *, male, united-states, 24276
20 - 23, local-gov, pre-university, married-civ-spouse, protective-serv, black, male, north-america, 82570
20 - 23, local-gov, pre-university, married-civ-spouse, protective-serv, black, male, north-america, 99300
24 - 35, local-gov, pre-university, married-civ-spouse, protective-serv, black, male, united-states, 67810
24 - 35, local-gov, pre-university, married-civ-spouse, protective-serv, black, male, united-states, 55940
24 - 35, local-gov, pre-university, married-civ-spouse, protective-serv, black, male, united-states, 188386
26 - 28, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 182366
26 - 28, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 197808
26 - 28, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 118179
26 - 28, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 153386
30, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 32577
30, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 23623
31, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 82370
31, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 143027
31, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 128512
31, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 70891
32, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 194082
32, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 52700
32, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 64748
33, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 133178
24 - 26, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 154848
24 - 26, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 32244
27 - 28, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 58475
27 - 28, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 31974
27 - 28, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 195627
29 - 30, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 126113
29 - 30, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 125066
31, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 141198
31, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 156528
32 - 33, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 31888
32 - 33, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 138255
32 - 33, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 147050
32 - 33, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 32973
32 - 33, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 93144
32 - 33, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 27205
32 - 33, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 164235
32 - 33, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 122785
32 - 33, local-gov, some-college, married-civ-spouse, protective-serv, white, male, united-states, 70041
34, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 29187
34, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 53607
34, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 89162
34, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 48428
37, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 52459
37, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 19111
37, local-gov, hs-grad, married-civ-spouse, protective-serv, white, male, united-states, 127693
