17-37.0, *, pre-primary, married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
38.0-90, *, pre-primary, not-married, *, *, male, *, <=50K
17-37.0, *, pre-primary, married, *, *, female, *, <=50K
17-37.0, *, pre-primary, married, *, *, female, *, <=50K
17-37.0, *, pre-primary, married, *, *, female, *, <=50K
17-37.0, *, pre-primary, married, *, *, female, *, <=50K
17-37.0, *, pre-primary, married, *, *, female, *, <=50K
17-37.0, *, pre-primary, married, *, *, female, *, <=50K
17-37.0, *, pre-primary, married, *, *, female, *, <=50K
17-37.0, *, pre-primary, married, *, *, female, *, <=50K
17-37.0, *, pre-primary, married, *, *, female, *, <=50K
17-37.0, *, pre-primary, married, *, *, female, *, <=50K
17-37.0, *, pre-primary, married, *, *, female, *, <=50K
17-37.0, *, pre-primary, married, *, *, female, *, <=50K
17-37.0, *, pre-primary, married, *, *, female, *, <=50K
17-37.0, *, pre-primary, married, *, *, female, *, <=50K
17-37.0, *, pre-primary, married, *, *, female, *, <=50K
17-37.0, *, pre-primary, married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
17-37.0, *, pre-primary, not-married, *, *, female, *, <=50K
38.0-90, *, pre-primary, married, *, *, female, *, <=50K
38.0-90, *, pre-primary, married, *, *, female, *, <=50K
38.0-90, *, pre-primary, married, *, *, female, *, <=50K
38.0-90, *, pre-primary, married, *, *, female, *, <=50K
38.0-90, *, pre-primary, married, *, *, female, *, <=50K
38.0-90, *, pre-primary, married, *, *, female, *, <=50K
38.0-90, *, pre-primary, married, *, *, female, *, <=50K
38.0-90, *, pre-primary, married, *, *, female, *, <=50K
38.0-90, *, pre-primary, married, *, *, female, *, <=50K
38.0-90, *, pre-primary, married, *, *, female, *, <=50K
38.0-90, *, pre-primary, married, *, *, female, *, <=50K
38.0-90, *, pre-primary, married, *, *, female, *, <=50K
